"","wt","fiber","misfolded","half","cytosol","mitochondria","ER","Nucleus","Vacuole","Plasma-membrane","budneck","Category","names","nwt","nfiber","nmisfolded","nhalf","ywt","yfiber","ymisfolded","yhalf","rwt","rfiber","rmisfolded","rhalf"
"1",0.438,0.362887096774194,0.404343355045872,0.396041666666667,1,0,0,1,0,0,0,"Chaperone","HSP104",1,62,109,24,681.431,657.031241935484,459.842311926606,279.150041666667,198.556,914.706725806452,887.702394495413,724.741291666667
"2",NA,-0.0685434782608696,-0.0449558823529412,-0.0672142857142857,0,1,0,0,0,0,0,"Chaperone","HSP78",NA,92,68,14,NA,648.97002173913,539.677676470588,514.213785714286,NA,323.23777173913,311.474279411765,359.849
"3",NA,0.0124,-0.0137741935483871,0.0221052631578947,0,1,0,0,0,0,0,"Chaperone","MCX1",NA,70,93,19,NA,666.879585714286,493.19688172043,480.949105263158,NA,47.5920142857143,59.3608602150538,62.6451052631579
"4",NA,0.2398369625,0.195304761904762,0.137891891891892,0,0,0,1,0,0,0,"DNA-related","RVB1",NA,88,105,37,NA,682.375147727273,499.867142857143,275.625810810811,NA,342.432977272727,346.412495238095,254.702324324324
"5",NA,0.287255952325581,0.203863247863248,0.330107142857143,0,0,0,1,0,0,0,"DNA-related","RVB2",NA,86,117,28,NA,607.647244186046,458.74335042735,329.491142857143,NA,256.814302325581,249.342692307692,198.362714285714
"6",NA,0.16041935483871,0.0785961538461538,0.133578947368421,0,0,1,0,0,0,0,"Chaperone","CNE1",NA,62,156,19,NA,779.307516129032,472.986269230769,348.964210526316,NA,26.1078870967742,36.3380897435897,30.0865789473684
"7",NA,0.03062,0.0910103092783505,0.0375,0,0,0,0,0,1,0,"Chaperone","TCP1",NA,100,97,16,NA,649.38453,495.939907216495,507.8625,NA,403.45714,465.861226804124,438.5430625
"8",-0.445,0.0482253263157895,0.0566666666666667,0.132966666666667,1,0,0,0,0,0,0,"Chaperone","CCT2",1,133,168,30,2923.755,642.662090225564,451.924553571429,444.0269,20.087,24.0964060150376,32.3374166666667,46.0904666666667
"9",NA,0.164317948717949,0.18471,0.457173913043478,1,0,0,0,0,0,0,"Chaperone","CCT3",NA,195,100,23,NA,613.489569230769,478.96286,441.934130434783,NA,71.8387179487179,93.3396,127.498391304348
"10",NA,-0.0755849056603774,-0.0247878787878788,0.046,1,0,0,0,0,0,0,"Chaperone","CCT4",NA,53,33,9,NA,391.865358490566,314.027848484849,370.109333333333,NA,231.857735849057,263.357303030303,315.264777777778
"11",0.625,0.0356838376237624,0.03476,0.0596363636363636,1,0,0,0,0,0,0,"Chaperone","CCT5",1,101,75,22,2527.093,694.191346534653,575.00324,576.363272727273,441.844,309.64202970297,367.78592,396.777318181818
"12",NA,0.117983516483516,0.114261538461538,0.0425789473684211,1,0,0,0,0,0,0,"Chaperone","CCT6",NA,182,65,19,NA,605.919494505495,578.264246153846,366.783631578947,NA,38.3598131868132,31.5023384615385,49.8548421052632
"13",NA,-0.08470258,-0.04655,-0.0163333333333333,0,1,0,0,0,0,0,"Chaperone","HSP10",NA,70,60,21,NA,689.922428571429,500.08065,454.197952380952,NA,1384.53044285714,1199.21793333333,1283.79333333333
"14",NA,0.305842857142857,0.416102040816327,0.403642857142857,1,1,0,1,0,0,0,"Chaperone","APJ1",NA,70,49,28,NA,626.861885714286,521.512693877551,377.368928571429,NA,37.9299428571429,47.5281632653061,47.0626428571429
"15",0.532,0.163401709401709,0.111917808219178,0.00133333333333333,1,0,0,1,0,0,0,"Chaperone","CAJ1",1,117,73,18,3369.122,636.000521367521,467.799534246575,339.038444444444,224.021,170.821786324786,175.619534246575,177.635555555556
"16",NA,0.185554347826087,0.19643119266055,0.231653846153846,0,0,0,1,0,0,0,"RNA-related","CWC23",NA,92,109,26,NA,717.4515,422.927091743119,315.793615384615,NA,43.2686195652174,43.2098532110092,23.1645384615385
"17",0.471,0.0608409090909091,0.0361156462585034,0.1785,1,0,1,0,0,0,1,"Peroxisom-related","DJP1",3,176,147,44,588.336,598.585244318182,446.669034013605,328.875386363636,90.3006666666667,191.603340909091,184.225129251701,171.986227272727
"18",NA,-0.00801785714285714,0.0901978021978022,0.0883540041666667,0,0,1,0,0,0,0,"Folding-related","ERJ5",NA,112,91,24,NA,616.894401785714,488.978395604396,400.162208333333,NA,48.5099821428571,47.2287692307692,48.6839166666667
"19",NA,0.165568421052632,0.156613333333333,0.22447619047619,0,0,1,0,0,0,0,"Chaperone","HLJ1",NA,95,75,21,NA,556.785294736842,448.754013333333,413.067761904762,NA,58.1682736842105,65.72348,81.9018571428571
"20",NA,-0.0447058823529412,0.0218729619565217,0.016125,0,1,0,0,0,0,0,"Chaperone","JAC1",NA,51,92,8,NA,642.634529411765,475.465315217391,650.133,NA,27.7300588235294,48.8442608695652,52.1595
"21",NA,0.00838356164383561,0.059855421686747,-0.104823529411765,0,0,1,0,0,0,0,"Chaperone","JEM1",NA,73,83,17,NA,632.048657534247,467.653096385542,457.056823529412,NA,61.7306438356164,66.4287590361446,83.5354117647059
"22",NA,0.0154,0.0301886101265823,0.10175,0,1,0,0,0,0,0,"Chaperone","JID1",NA,160,79,24,NA,629.9510375,494.575962025316,475.177,NA,37.584775,37.1799746835443,42.1459583333333
"23",NA,-0.000383680487804876,-0.00342424242424242,0.0380526315789474,1,1,0,0,0,0,0,"Chaperone","JJJ1",NA,123,99,19,NA,578.285902439024,460.918191919192,551.430157894737,NA,35.0987235772358,41.0800808080808,50.6152105263158
"24",NA,0.193854856862745,0.248253968253968,0.2371,1,0,0,1,0,0,0,"Chaperone","JJJ2",NA,204,63,20,NA,604.355196078431,515.906873015873,453.07775,NA,35.4780245098039,36.5181587301587,52.4132
"25",0.305,0.185576271186441,0.198285714285714,0.297555555555556,1,0,0,1,0,0,0,"Chaperone","JJJ3",1,59,42,18,1330.097,710.293169491525,433.943714285714,378.6505,47.006,57.2016610169492,70.8703333333333,88.2481111111111
"26",NA,-0.0947215189873418,-0.0924558823529412,0.0704,0,1,0,0,0,0,0,"Chaperone","MDJ1",NA,79,68,5,NA,646.97935443038,402.057911764706,478.9032,NA,233.309835443038,263.845852941176,283.2626
"27",NA,0.0373766233766234,0.0394354838709677,0.0616315789473684,0,1,0,0,0,0,0,"Chaperone","MDJ2",NA,77,62,19,NA,599.075493506494,450.684338709677,308.128,NA,26.4175974025974,32.9415806451613,37.7247368421053
"28",NA,-0.113455696202532,-0.0384459951219512,0.157357142857143,0,0,1,0,0,0,0,"Chaperone","SCJ1",NA,79,82,28,NA,643.430683544304,373.4585,280.438035714286,NA,161.728518987342,157.864317073171,133.186821428571
"29",-0.546,-0.0961904761904762,0.124,0.2904,0,1,1,0,0,0,0,"Chaperone","SEC63",1,21,8,5,2004.241,573.162238095238,361.81,142.2426,232.604,111.797285714286,89.441875,144.3536
"30",NA,0.403675,0.411886178861789,0.405324324324324,1,0,0,1,0,0,0,"Chaperone","SIS1",NA,200,123,37,NA,680.99135,526.700707317073,455.47672972973,NA,832.29453,896.164243902439,1009.00167567568
"31",0.537,-0.0970017824817518,-0.0472406015037594,-0.0722758620689655,1,0,0,0,0,0,0,"","SWA2",1,137,133,29,160.618,633.000905109489,436.185443609023,462.321482758621,36.449,69.3861094890511,75.1196917293233,85.1268965517241
"32",-0.169,0.0309019607843137,0.102105263157895,0.03,0,1,0,0,0,0,0,"","TIM14",2,51,38,21,1748.629,727.440568627451,631.196842105263,497.230380952381,126.2275,328.087019607843,338.570605263158,303.692571428571
"33",0.327,0.0192383984375,0.0455174259259259,0.1238,0,1,0,1,0,0,0,"Chaperone","XDJ1",1,128,81,10,2803.595,589.700875,479.337358024691,546.0019,47.227,47.16075,62.7027283950617,46.2081
"34",0.6825,0.338545575867769,0.3197,0.233676470588235,1,0,0,0,0,0,0,"Chaperone","YDJ1",2,121,110,34,998.523,608.525909090909,520.530645454545,496.917558823529,1198.2605,1643.02180991736,1709.95859090909,1943.14741176471
"35",0.5,-0.195035087719298,-0.182246575342466,-0.175882352941176,1,1,0,1,0,0,0,"Chaperone","ZUO1",1,114,73,17,2363.27,594.023315789474,468.469945205479,520.268058823529,980.672,887.763877192982,860.265150684932,1040.93329411765
"36",NA,0.0798987007751938,0.1162,0.0975135135135135,0,1,0,0,0,0,0,"Chaperone","HSP60",NA,129,50,37,NA,772.924031007752,604.32414,475.440972972973,NA,11.6963565891473,21.67154,17.2338378378378
"37",0.227,-0.120216666666667,-0.0821206896551724,-0.0813333333333333,0,0,1,0,0,0,0,"Chaperone","KAR2",1,60,58,15,1788.156,576.446966666667,453.569793103448,415.3528,864.686,1563.48085,1414.59667241379,1407.87546666667
"38",NA,-0.0634576271186441,0.0186356931506849,0.00228571428571428,0,0,1,0,0,0,0,"Chaperone","LHS1",NA,59,73,14,NA,592.12613559322,446.998,319.212642857143,NA,36.9693220338983,49.1517534246575,40.821
"39",NA,0.281893333333333,0.246687317567568,0.4058,1,0,0,1,1,0,0,"Chaperone","SSA1",NA,75,74,20,NA,684.265106666667,442.0085,326.6064,NA,4328.40616,3989.12251351351,4042.5283
