"","wt","fiber","misfolded","half","cytosol","mitochondria","ER","Nucleus","Vacuole","Plasma-membrane","budneck","Category","names","nwt","nfiber","nmisfolded","nhalf","ywt","yfiber","ymisfolded","yhalf","rwt","rfiber","rmisfolded","rhalf"
"1",0.001140625,0.0792218309859155,0.0897625778004073,0.0282047477744807,1,0,0,1,0,0,0,"Chaperone","HSP104",384,284,491,337,2260.08934375,566.502176056338,394.570462321792,381.217201780415,811.0543828125,850.866834507042,846.903710794297,784.02675074184
"2",0,-0.0153430656934307,-0.00821774193548387,-0.00262849162011173,0,1,0,0,0,0,0,"Chaperone","HSP78",336,411,372,358,2445.42614583333,590.23501459854,387.685440860215,350.988636871508,275.283630952381,297.191618004866,267.625709677419,261.544472067039
"3",0,0.00256047197640118,-0.00275483870967742,0.00125748502994012,0,1,0,0,0,0,0,"Chaperone","MCX1",418,339,465,334,2388.4320430622,586.715690265487,384.996103225806,351.10228742515,46.3535693779904,43.9363864306785,50.8245483870968,45.8535479041916
"4",0,0.0514772017073171,0.0408505976095618,0.00904609929078014,0,0,0,1,0,0,0,"DNA-related","RVB1",468,410,502,564,2438.70849358974,580.950890243902,392.618932270916,331.527111702128,304.368367521368,294.169024390244,300.057926294821,304.87745035461
"5",0,0.0522283549682875,0.0409828178694158,0.0162442882249561,0,0,0,1,0,0,0,"DNA-related","RVB2",409,473,582,569,2485.15730806846,540.961416490486,376.401300687285,334.106646748682,235.725985330073,225.788395348837,229.196563573883,235.072179261863
"6",0,0.0262427440633245,0.0179516837481698,0.00567785234899329,0,0,1,0,0,0,0,"Chaperone","CNE1",526,379,683,447,2515.60371102662,583.794778364116,395.175237188873,345.15136689038,20.5341311787072,16.0039868073879,20.3933997071742,16.5772348993289
"7",0,0.00680444444444444,0.0182020618556701,0.00147420147420147,0,0,0,0,0,1,0,"Chaperone","TCP1",514,450,485,407,2398.04943774319,547.45288,376.570224742268,337.496916461916,326.554365758755,349.673428888889,400.310420618557,379.231049140049
"8",-0.00075809199318569,0.0159551452736318,0.0174358974358974,0.00748405253283302,1,0,0,0,0,0,0,"Chaperone","CCT2",587,402,546,533,2472.65169505963,579.96707960199,374.22486996337,335.105934333959,14.8892436115843,15.9461218905473,19.113119047619,17.6971688555347
"9",0,0.03464,0.0362176470588235,0.0129814814814815,1,0,0,0,0,0,0,"Chaperone","CCT3",608,925,510,810,2484.06615131579,527.218904864865,421.909417647059,357.814341975309,76.1367960526316,66.2475556756757,73.0149823529412,71.7488790123457
"10",0,-0.0185462962962963,-0.0061044776119403,0.00316030534351145,1,0,0,0,0,0,0,"Chaperone","CCT4",150,216,134,131,1768.91644666667,369.609416666667,252.846462686567,252.685954198473,184.97334,203.034671296296,210.357813432836,215.578480916031
"11",0.000944108761329305,0.00603696415410385,0.00596567505720824,0.00309433962264151,1,0,0,0,0,0,0,"Chaperone","CCT5",662,597,437,424,2438.38297129909,604.154686767169,444.281739130435,400.155188679245,283.341055891239,283.252162479062,311.577702517162,296.688278301887
"12",0,0.0331885625965997,0.0221041666666667,0.0025046439628483,1,0,0,0,0,0,0,"Chaperone","CCT6",503,647,336,323,2414.4305387674,552.821536321484,432.852375,348.486866873065,15.4497892644135,18.0269984544049,14.2056220238095,16.8839814241486
"13",0,-0.0174387664705882,-0.00809565217391304,-0.000786697247706422,0,1,0,0,0,0,0,"Chaperone","HSP10",362,340,345,436,2493.10445303867,587.014638235294,425.21808115942,351.56698853211,1351.12290331492,1361.11246764706,1355.47452753623,1390.71611009174
"14",0,0.0584945355191257,0.0738731884057971,0.0226947791164659,1,1,0,1,0,0,0,"Chaperone","APJ1",388,366,276,498,2517.30925773196,541.599579234973,409.631326086957,313.947967871486,24.3002989690722,22.7402049180328,25.416652173913,22.5758293172691
"15",0.00220746887966805,0.0338971631205674,0.0217287234042553,5.51724137931035e-05,1,0,0,1,0,0,0,"Chaperone","CAJ1",241,564,376,435,2518.50668879668,552.43554787234,371.53939893617,310.956174712644,160.803526970954,154.809466312057,156.233627659574,157.881622988506
"16",0,0.0394249422632794,0.0359244966442953,0.0115162523900574,0,0,0,1,0,0,0,"RNA-related","CWC23",481,433,596,523,2430.31968191268,571.973660508083,340.419538590604,306.9062791587,27.7425197505198,28.7432886836028,26.5353322147651,24.1720898661568
"17",0.00309868421052632,0.021416,0.0122327188940092,0.013425641025641,1,0,1,0,0,0,1,"Peroxisom-related","DJP1",456,500,434,585,2430.77635087719,545.398008,390.665306451613,303.854,177.765776315789,181.225508,179.520605990783,179.817704273504
"18",0,-0.0020089485458613,0.0166153846153846,0.00456020666666667,0,0,1,0,0,0,0,"Folding-related","ERJ5",450,447,494,465,2438.54929333333,529.720407158837,381.574437246964,309.977694623656,40.3528577777778,36.6406532438479,35.0463259109312,36.173135483871
