,wt,fiber,half,3n75 wt,cytosol,mitochondria,ER,Nucleus,Vacuole,Plasma-membrane,budneck,Category,names,nwt,nfiber,nhalf,n3n75 wt,ywt,yfiber,yhalf,y3n75 wt,rwt,rfiber,rhalf,r3n75 wt
1,NA,0.010989583333333,NA,0.036777777777778,1,0,0,1,0,0,0,Chaperone,HSP104,NA,96,NA,18,NA,85.77140625,NA,606.258222222222,NA,583.23796875,NA,321.701666666667
2,0,0.015343137254902,0.310101190476191,0.22125,0,1,0,0,0,0,0,Chaperone,HSP78,1,204,504,4,60.222,76.5397745098039,29.0400476190476,134.71875,541.018,205.65212745098,192.485369047619,290.61425
3,0.359,0.03645703125,0.262659210526316,0.079833333333333,0,1,0,0,0,0,0,Chaperone,MCX1,3,256,760,6,125.415333333333,79.83266796875,29.0852684210526,513.3425,97.4963333333333,43.11090234375,38.1409,19.0596666666667
4,0,0.035675786705202,-0.004323903818953,0.158388888888889,0,0,0,1,0,0,0,DNA-related,RVB1,2,173,707,18,69.245,81.4426820809249,26.8511923620934,508.000111111111,101.95,258.755757225434,240.028683168317,99.3647222222222
5,0.086,0.036003787878788,0.007341920374707,0.259428571428571,0,0,0,1,0,0,0,DNA-related,RVB2,1,264,427,21,578.47,78.0048863636364,26.0391264637002,686.050857142857,182.116,198.824064393939,184.062985948478,85.3976666666667
6,0,0.014174757281553,-0.011025254843517,0.0065,0,0,1,0,0,0,0,Chaperone,CNE1,1,206,671,8,186.079,79.1994029126214,27.1848315946349,601.426625,22.341,12.7023009708738,11.3055901639344,36.028625
7,NA,-0.007749103942652,0.041398061087268,-0.0158,0,0,0,0,0,1,0,Chaperone,TCP1,NA,279,699,5,NA,77.7202043010753,27.7348025751073,809.0156,NA,254.318254480287,226.977114449213,140.025
8,NA,0.024094121601942,0.020476646655232,0,1,0,0,0,0,0,0,Chaperone,CCT2,NA,412,583,1,NA,77.3490655339806,26.6763910806175,53.268,NA,12.4691650485437,7.74343739279588,21.719
9,0,0.01075486381323,-0.114504120879121,0,1,0,0,0,0,0,0,Chaperone,CCT3,2,257,728,1,62.115,72.4472412451362,26.597521978022,1423.091,58.6705,54.0287392996109,52.7696497252747,59.017
10,0.185666666666667,0.022306818181818,0.056666666666667,0,1,0,0,0,0,0,0,Chaperone,CCT4,3,88,165,2,199.920333333333,60.586625,29.1170060606061,77.7465,104.937666666667,145.899431818182,130.494575757576,150.186
11,0,-0.013511278195489,0.079113333333333,0.1846,1,0,0,0,0,0,0,Chaperone,CCT5,2,266,450,5,173.319,70.4708684210526,24.8615511111111,801.5236,131.955,219.317127819549,198.639835555556,315.43
12,0.504,0.0264013752,0.020318965517241,NA,1,0,0,0,0,0,0,Chaperone,CCT6,1,250,464,NA,78.689,79.67454,27.118849137931,NA,111.944,10.960988,7.24569181034483,NA
