,wt,fiber,half,3n75 wt,cytosol,mitochondria,ER,Nucleus,Vacuole,Plasma-membrane,budneck,Category,names,nwt,nfiber,nhalf,n3n75 wt,ywt,yfiber,yhalf,y3n75 wt,rwt,rfiber,rhalf,r3n75 wt
1,NA,563.145729166667,NA,312.519166666667,1,0,0,1,0,0,0,Chaperone,HSP104,NA,96,NA,18,NA,82.202125,NA,591.882333333333,NA,563.145729166667,NA,312.519166666667
2,536.926,199.292215384615,191.457725490196,285.83275,0,1,0,0,0,0,0,Chaperone,HSP78,1,195,612,4,56.559,73.4995333333333,27.0043954248366,128.1005,536.926,199.292215384615,191.457725490196,285.83275
3,94.181,40.3718835341365,35.2839231788079,16.281,0,1,0,0,0,0,0,Chaperone,MCX1,3,249,755,7,121.678666666667,76.814297188755,26.3919112582781,602.305714285714,94.181,40.3718835341365,35.2839231788079,16.281
4,88.5926666666667,253.817894409938,234.816800569801,93.4255263157895,0,0,0,1,0,0,0,DNA-related,RVB1,3,161,702,19,61.6996666666667,78.1665962732919,24.2590982905983,468.976263157895,88.5926666666667,253.817894409938,234.816800569801,93.4255263157895
5,166.918,194.547578947368,179.218284722222,80.9298095238095,0,0,0,1,0,0,0,DNA-related,RVB2,1,247,432,21,531.877,75.4719109311741,23.6253287037037,669.269,166.918,194.547578947368,179.218284722222,80.9298095238095
6,18.294,10.089648241206,8.33394799405646,33.306875,0,0,1,0,0,0,0,Chaperone,CNE1,1,199,673,8,177.538,75.9207688442211,24.5193566121843,587.667875,18.294,10.089648241206,8.33394799405646,33.306875
7,82.434,250.167796296296,220.544186246418,135.284,0,0,0,0,0,1,0,Chaperone,TCP1,1,270,698,5,34.118,74.5588333333333,25.2041232091691,801.1534,82.434,250.167796296296,220.544186246418,135.284
8,75.159,10.0874093137255,5.9448006993007,19.07,1,0,0,0,0,0,0,Chaperone,CCT2,1,408,572,1,39.126,73.7093382352941,24.3541765734266,43.642,75.159,10.0874093137255,5.9448006993007,19.07
9,75.00325,49.7527071129707,48.1953861111111,56.226,1,0,0,0,0,0,0,Chaperone,CCT3,4,239,720,1,70.93275,70.2176234309623,24.0975777777778,1413.318,75.00325,49.7527071129707,48.1953861111111,56.226
10,101.043333333333,140.910658823529,125.69398757764,146.9445,1,0,0,0,0,0,0,Chaperone,CCT4,3,85,161,2,196.001666666667,57.4520588235294,26.7615093167702,75.4715,101.043333333333,140.910658823529,125.69398757764,146.9445
11,125.614,213.86359437751,192.91540625,307.396,1,0,0,0,0,0,0,Chaperone,CCT5,2,249,448,5,167.83,67.5490200803213,22.5002946428571,777.3122,125.614,213.86359437751,192.91540625,307.396
12,108.493,8.07905592105263,5.69322197802198,NA,1,0,0,0,0,0,0,Chaperone,CCT6,1,304,455,NA,75.261,75.4926578947368,24.8347318681319,NA,108.493,8.07905592105263,5.69322197802198,NA
13,NA,1077.5346980198,927.774468033776,650.9261,0,1,0,0,0,0,0,Chaperone,HSP10,NA,202,829,10,NA,71.0711188118812,28.8262448733414,707.5502,NA,1077.5346980198,927.774468033776,650.9261
14,70.868,17.9420093896714,11.6153989290495,4.836,1,1,0,1,0,0,0,Chaperone,APJ1,2,213,747,6,44.043,74.6391596244131,24.5427751004016,637.377666666667,70.868,17.9420093896714,11.6153989290495,4.836
15,96.04,119.885519774011,119.299742388759,75.1042857142857,1,0,0,1,0,0,0,Chaperone,CAJ1,2,177,427,14,165.6815,72.412384180791,25.6637259953162,632.796285714286,96.04,119.885519774011,119.299742388759,75.1042857142857
16,12.95,18.1267657142857,16.2083481646274,8.00723529411765,0,0,0,1,0,0,0,RNA-related,CWC23,1,175,899,17,38.528,73.6541714285714,23.1208754171301,553.330764705882,12.95,18.1267657142857,16.2083481646274,8.00723529411765
17,66.268,143.008121580547,138.131633408072,82.2817777777778,1,0,1,0,0,0,1,Peroxisom-related,DJP1,3,329,892,27,76.2563333333333,74.3259635258359,24.7523598654709,558.223296296296,66.268,143.008121580547,138.131633408072,82.2817777777778
18,NA,33.440637755102,23.1208711018711,12.0705,0,0,1,0,0,0,0,Folding-related,ERJ5,NA,196,481,8,NA,74.9647193877551,24.0869875259875,837.892,NA,33.440637755102,23.1208711018711,12.0705
19,NA,29.76671,23.3684277620397,50.319,0,0,1,0,0,0,0,Chaperone,HLJ1,NA,200,706,1,NA,75.749055,25.9082818696884,3115.192,NA,29.76671,23.3684277620397,50.319
20,NA,19.0563854166667,16.2456928213689,22.243,0,1,0,0,0,0,0,Chaperone,JAC1,NA,192,599,1,NA,79.14128125,24.1718614357262,42.948,NA,19.0563854166667,16.2456928213689,22.243
21,NA,37.1218456375839,36.7722552147239,49.184,0,0,1,0,0,0,0,Chaperone,JEM1,NA,149,815,1,NA,74.2933959731544,24.8946981595092,846.217,NA,37.1218456375839,36.7722552147239,49.184
22,94.525,15.5896850649351,8.6996547029703,13.0335,0,1,0,0,0,0,0,Chaperone,JID1,1,308,808,2,45.454,79.1308506493506,23.7937896039604,40.151,94.525,15.5896850649351,8.6996547029703,13.0335
23,144.9565,17.7132,14.9282111111111,NA,1,1,0,0,0,0,0,Chaperone,JJJ1,2,185,450,NA,87.275,74.3120918918919,24.3338,NA,144.9565,17.7132,14.9282111111111,NA
24,31.1915,12.5932204081633,8.88787072243346,110.13,1,0,0,1,0,0,0,Chaperone,JJJ2,4,245,526,1,128.86975,81.0401918367347,25.451030418251,99.711,31.1915,12.5932204081633,8.88787072243346,110.13
25,82.85275,40.0561568627451,34.8290346232179,16.392625,1,0,0,1,0,0,0,Chaperone,JJJ3,4,153,491,16,105.6515,80.7682745098039,24.6829022403259,693.551375,82.85275,40.0561568627451,34.8290346232179,16.392625
26,NA,199.40482967033,178.10989953271,91.070125,0,1,0,0,0,0,0,Chaperone,MDJ1,NA,182,856,8,NA,73.1712637362637,26.3028352803738,666.10425,NA,199.40482967033,178.10989953271,91.070125
27,115.118,15.8818486486486,8.65400224719101,12.4704642857143,0,1,0,0,0,0,0,Chaperone,MDJ2,1,185,445,28,54.836,71.4227405405405,22.8374112359551,608.564178571429,115.118,15.8818486486486,8.65400224719101,12.4704642857143
28,181.093,139.043149171271,123.657335974643,80.0359,0,0,1,0,0,0,0,Chaperone,SCJ1,1,181,631,20,55.66,80.6052320441989,23.5807099841521,671.0207,181.093,139.043149171271,123.657335974643,80.0359
