,wt,fiber,half,3n75 wt,cytosol,mitochondria,ER,Nucleus,Vacuole,Plasma-membrane,budneck,Category,names,nwt,nfiber,nhalf,n3n75 wt,ywt,yfiber,yhalf,y3n75 wt,rwt,rfiber,rhalf,r3n75 wt
1,NA,0.401031647676746,NA,0.450464837044168,1,0,0,1,0,0,0,Chaperone,HSP104,NA,96,NA,18,NA,82.202125,NA,591.882333333333,NA,563.145729166667,NA,312.519166666667
2,0.676470588235294,0.266294686780168,0.641333017687774,0.471360422523213,0,1,0,0,0,0,0,Chaperone,HSP78,1,195,612,4,56.559,73.4995333333333,27.0043954248366,128.1005,536.926,199.292215384615,191.457725490196,285.83275
3,0.41656959452761,0.265017716941813,0.644041927508184,0.076632337946212,0,1,0,0,0,0,0,Chaperone,MCX1,3,249,755,7,121.678666666667,76.814297188755,26.3919112582781,602.305714285714,94.181,40.3718835341365,35.2839231788079,16.281
4,0.612258154384537,0.405639441688126,0.060513530068002,0.350874020372864,0,0,0,1,0,0,0,DNA-related,RVB1,3,161,702,19,61.6996666666667,78.1665962732919,24.2590982905983,468.976263157895,88.5926666666667,253.817894409938,234.816800569801,93.4255263157895
5,0.168141592920354,0.423641139611888,0.044444804423936,0.455472785444271,0,0,0,1,0,0,0,DNA-related,RVB2,1,247,432,21,531.877,75.4719109311741,23.6253287037037,669.269,166.918,194.547578947368,179.218284722222,80.9298095238095
6,0.375,0.190306872639941,0.119262385877061,0.289183698271747,0,0,1,0,0,0,0,Chaperone,CNE1,1,199,673,8,177.538,75.9207688442211,24.5193566121843,587.667875,18.294,10.089648241206,8.33394799405646,33.306875
7,0.662790697674419,0.069193802284228,0.077438173385488,0.532384640128309,0,0,0,0,0,1,0,Chaperone,TCP1,1,270,698,5,34.118,74.5588333333333,25.2041232091691,801.1534,82.434,250.167796296296,220.544186246418,135.284
8,0.326315789473684,0.242761010461913,0.157899055203055,0.300751879699248,1,0,0,0,0,0,0,Chaperone,CCT2,1,408,572,1,39.126,73.7093382352941,24.3541765734266,43.642,75.159,10.0874093137255,5.9448006993007,19.07
9,0.391173245614035,0.065771151263836,0.082888348817645,0.644628099173554,1,0,0,0,0,0,0,Chaperone,CCT3,4,239,720,1,70.93275,70.2176234309623,24.0975777777778,1413.318,75.00325,49.7527071129707,48.1953861111111,56.226
10,0.504282209289056,0.054836511319958,0.064901885430726,0.51564558629776,1,0,0,0,0,0,0,Chaperone,CCT4,3,85,161,2,196.001666666667,57.4520588235294,26.7615093167702,75.4715,101.043333333333,140.910658823529,125.69398757764,146.9445
11,0.385483691003087,0.043444496386114,0.068823725960142,0.180602062718778,1,0,0,0,0,0,0,Chaperone,CCT5,2,249,448,5,167.83,67.5490200803213,22.5002946428571,777.3122,125.614,213.86359437751,192.91540625,307.396
12,0.610778443113772,0.169224047881503,0.143756787546268,NA,1,0,0,0,0,0,0,Chaperone,CCT6,1,304,455,NA,75.261,75.4926578947368,24.8347318681319,NA,108.493,8.07905592105263,5.69322197802198,NA
13,NA,0.438898554815895,0.63079272765673,0.188850205851865,0,1,0,0,0,0,0,Chaperone,HSP10,NA,202,829,10,NA,71.0711188118812,28.8262448733414,707.5502,NA,1077.5346980198,927.774468033776,650.9261
14,0.725050403225806,0.389398798052292,0.057467965481779,0.233788297733867,1,1,0,1,0,0,0,Chaperone,APJ1,2,213,747,6,44.043,74.6391596244131,24.5427751004016,637.377666666667,70.868,17.9420093896714,11.6153989290495,4.836
15,0.412821788334784,0.261332102346509,0.054249723917889,0.320958352912901,1,0,0,1,0,0,0,Chaperone,CAJ1,2,177,427,14,165.6815,72.412384180791,25.6637259953162,632.796285714286,96.04,119.885519774011,119.299742388759,75.1042857142857
