,wt,fiber,half,3n75 wt,cytosol,mitochondria,ER,Nucleus,Vacuole,Plasma-membrane,budneck,Category,names,nwt,nfiber,nhalf,n3n75 wt,ywt,yfiber,yhalf,y3n75 wt,rwt,rfiber,rhalf,r3n75 wt
1,NA,0.952177083333333,NA,0.984611111111111,1,0,0,1,0,0,0,Chaperone,HSP104,NA,96,NA,18,NA,82.202125,NA,591.882333333333,NA,563.145729166667,NA,312.519166666667
2,0.971,0.94734358974359,0.949746732026144,0.9795,0,1,0,0,0,0,0,Chaperone,HSP78,1,195,612,4,56.559,73.4995333333333,27.0043954248366,128.1005,536.926,199.292215384615,191.457725490196,285.83275
3,0.981333333333333,0.951144578313253,0.944729801324503,0.988285714285714,0,1,0,0,0,0,0,Chaperone,MCX1,3,249,755,7,121.678666666667,76.814297188755,26.3919112582781,602.305714285714,94.181,40.3718835341365,35.2839231788079,16.281
4,0.97,0.932913043478261,0.823675213675214,0.964947368421053,0,0,0,1,0,0,0,DNA-related,RVB1,3,161,702,19,61.6996666666667,78.1665962732919,24.2590982905983,468.976263157895,88.5926666666667,253.817894409938,234.816800569801,93.4255263157895
5,0.983,0.938761133603239,0.843252314814815,0.988285714285714,0,0,0,1,0,0,0,DNA-related,RVB2,1,247,432,21,531.877,75.4719109311741,23.6253287037037,669.269,166.918,194.547578947368,179.218284722222,80.9298095238095
6,0.95,0.941678391959799,0.88891381872214,0.986375,0,0,1,0,0,0,0,Chaperone,CNE1,1,199,673,8,177.538,75.9207688442211,24.5193566121843,587.667875,18.294,10.089648241206,8.33394799405646,33.306875
7,0.947,0.939466666666667,0.895989971346705,0.9774,0,0,0,0,0,1,0,Chaperone,TCP1,1,270,698,5,34.118,74.5588333333333,25.2041232091691,801.1534,82.434,250.167796296296,220.544186246418,135.284
8,0.951,0.942049019607843,0.884262237762238,0.888,1,0,0,0,0,0,0,Chaperone,CCT2,1,408,572,1,39.126,73.7093382352941,24.3541765734266,43.642,75.159,10.0874093137255,5.9448006993007,19.07
9,0.97025,0.9418410041841,0.891911111111111,0.992,1,0,0,0,0,0,0,Chaperone,CCT3,4,239,720,1,70.93275,70.2176234309623,24.0975777777778,1413.318,75.00325,49.7527071129707,48.1953861111111,56.226
10,0.98,0.929811764705882,0.911664596273292,0.9625,1,0,0,0,0,0,0,Chaperone,CCT4,3,85,161,2,196.001666666667,57.4520588235294,26.7615093167702,75.4715,101.043333333333,140.910658823529,125.69398757764,146.9445
11,0.9685,0.942971887550201,0.902589285714286,0.9658,1,0,0,0,0,0,0,Chaperone,CCT5,2,249,448,5,167.83,67.5490200803213,22.5002946428571,777.3122,125.614,213.86359437751,192.91540625,307.396
12,0.933,0.938490131578947,0.880472527472527,NA,1,0,0,0,0,0,0,Chaperone,CCT6,1,304,455,NA,75.261,75.4926578947368,24.8347318681319,NA,108.493,8.07905592105263,5.69322197802198,NA
13,NA,0.964930693069307,0.953010856453559,0.9873,0,1,0,0,0,0,0,Chaperone,HSP10,NA,202,829,10,NA,71.0711188118812,28.8262448733414,707.5502,NA,1077.5346980198,927.774468033776,650.9261
14,0.9695,0.941568075117371,0.872022757697457,0.981166666666667,1,1,0,1,0,0,0,Chaperone,APJ1,2,213,747,6,44.043,74.6391596244131,24.5427751004016,637.377666666667,70.868,17.9420093896714,11.6153989290495,4.836
15,0.957,0.943050847457627,0.891030444964871,0.987285714285714,1,0,0,1,0,0,0,Chaperone,CAJ1,2,177,427,14,165.6815,72.412384180791,25.6637259953162,632.796285714286,96.04,119.885519774011,119.299742388759,75.1042857142857
16,0.935,0.9372,0.863215795328142,0.975176470588235,0,0,0,1,0,0,0,RNA-related,CWC23,1,175,899,17,38.528,73.6541714285714,23.1208754171301,553.330764705882,12.95,18.1267657142857,16.2083481646274,8.00723529411765
17,0.948666666666667,0.944413373860182,0.881875560538117,0.958925925925926,1,0,1,0,0,0,1,Peroxisom-related,DJP1,3,329,892,27,76.2563333333333,74.3259635258359,24.7523598654709,558.223296296296,66.268,143.008121580547,138.131633408072,82.2817777777778
18,NA,0.944515306122449,0.880162162162162,0.993125,0,0,1,0,0,0,0,Folding-related,ERJ5,NA,196,481,8,NA,74.9647193877551,24.0869875259875,837.892,NA,33.440637755102,23.1208711018711,12.0705
19,NA,0.948255,0.897978753541076,0.99,0,0,1,0,0,0,0,Chaperone,HLJ1,NA,200,706,1,NA,75.749055,25.9082818696884,3115.192,NA,29.76671,23.3684277620397,50.319
20,NA,0.940338541666667,0.934452420701169,0.944,0,1,0,0,0,0,0,Chaperone,JAC1,NA,192,599,1,NA,79.14128125,24.1718614357262,42.948,NA,19.0563854166667,16.2456928213689,22.243
21,NA,0.945402684563758,0.891662576687117,0.991,0,0,1,0,0,0,0,Chaperone,JEM1,NA,149,815,1,NA,74.2933959731544,24.8946981595092,846.217,NA,37.1218456375839,36.7722552147239,49.184
22,0.939,0.943970779220779,0.919035891089109,0.9445,0,1,0,0,0,0,0,Chaperone,JID1,1,308,808,2,45.454,79.1308506493506,23.7937896039604,40.151,94.525,15.5896850649351,8.6996547029703,13.0335
23,0.9785,0.943664864864865,0.889693333333333,NA,1,1,0,0,0,0,0,Chaperone,JJJ1,2,185,450,NA,87.275,74.3120918918919,24.3338,NA,144.9565,17.7132,14.9282111111111,NA
24,0.96025,0.951844897959184,0.880595057034221,0.988,1,0,0,1,0,0,0,Chaperone,JJJ2,4,245,526,1,128.86975,81.0401918367347,25.451030418251,99.711,31.1915,12.5932204081633,8.88787072243346,110.13
25,0.97175,0.941516339869281,0.881761710794297,0.9859375,1,0,0,1,0,0,0,Chaperone,JJJ3,4,153,491,16,105.6515,80.7682745098039,24.6829022403259,693.551375,82.85275,40.0561568627451,34.8290346232179,16.392625
26,NA,0.943456043956044,0.947663551401869,0.98425,0,1,0,0,0,0,0,Chaperone,MDJ1,NA,182,856,8,NA,73.1712637362637,26.3028352803738,666.10425,NA,199.40482967033,178.10989953271,91.070125
27,0.959,0.940502702702703,0.906357303370786,0.986464285714286,0,1,0,0,0,0,0,Chaperone,MDJ2,1,185,445,28,54.836,71.4227405405405,22.8374112359551,608.564178571429,115.118,15.8818486486486,8.65400224719101,12.4704642857143
28,0.958,0.946209944751381,0.872044374009509,0.98135,0,0,1,0,0,0,0,Chaperone,SCJ1,1,181,631,20,55.66,80.6052320441989,23.5807099841521,671.0207,181.093,139.043149171271,123.657335974643,80.0359
29,NA,0.929933333333333,0.886857142857143,0.992833333333333,0,1,1,0,0,0,0,Chaperone,SEC63,NA,15,105,6,NA,63.6471333333333,22.2936571428571,666.166,NA,118.5836,99.7026,72.625
30,NA,0.944543918918919,0.873137855579869,0.99,1,0,0,1,0,0,0,Chaperone,SIS1,NA,296,457,2,NA,86.5174425675676,25.629420131291,755.6635,NA,668.661114864865,533.776822757112,262.513
31,0.975,0.941476014760148,0.884668027210884,0.981,1,0,0,0,0,0,0,,SWA2,1,271,735,1,13.021,75.4077749077491,24.5425265306122,895.581,21.127,45.1387970479705,37.1751714285714,189.04
32,0.978,0.968423529411765,0.965053691275168,0.971,0,1,0,0,0,0,0,,TIM14,1,85,149,1,37.677,67.7343176470588,38.743744966443,53.85,83.269,203.581764705882,207.092758389262,351.568
33,0.985666666666667,0.945838383838384,0.919764516129032,0.972333333333333,0,1,0,1,0,0,0,Chaperone,XDJ1,3,198,620,3,108.896,77.500904040404,23.6180709677419,125.876666666667,12.8316666666667,28.2760101010101,22.7157064516129,138.291666666667
34,0.955,0.942475609756098,0.887067946824225,0.936,1,0,0,0,0,0,0,Chaperone,YDJ1,1,328,677,1,35.219,82.7115304878049,27.1803190546529,70.902,100.087,1295.52949695122,1105.22937961595,488.263
35,0.9835,0.943789473684211,0.896878048780488,NA,1,1,0,1,0,0,0,Chaperone,ZUO1,2,247,615,NA,217.275,80.6467570850202,27.3873170731707,NA,400.35,714.065076923077,669.663040650407,NA
36,NA,0.949998043052838,0.866603260869565,0.96575,0,1,0,0,0,0,0,Chaperone,HSP60,NA,511,552,4,NA,88.4644500978474,24.9550760869565,214.31575,NA,5.89462230919765,6.58145652173913,90.5195
37,0.969833333333333,0.948008695652174,0.874621153846154,0.987590909090909,0,0,1,0,0,0,0,Chaperone,KAR2,6,115,520,22,44.3101666666667,85.3107565217391,27.4530134615385,605.488181818182,295.166666666667,1370.83306086957,1182.42529423077,511.328818181818
38,NA,0.939403846153846,0.863161194029851,0.969444444444444,0,0,1,0,0,0,0,Chaperone,LHS1,NA,156,670,9,NA,74.5182243589744,24.1592746268657,455.250666666667,NA,21.2542820512821,18.4958268656716,25.8083333333333
39,0.9715,0.949743902439024,0.891413084112149,0.9708125,1,0,0,1,1,0,0,Chaperone,SSA1,2,164,535,16,92.2925,96.3764024390244,28.2776261682243,618.6723125,1850.6485,2724.95028658537,2128.81152336449,1623.2391875
40,0.961666666666667,0.951012578616352,0.89373595505618,0.978448275862069,1,1,0,0,0,1,0,Chaperone,SSA2,3,159,178,29,356.121333333333,115.095371069182,38.2866685393258,453.761620689655,7622.27133333333,8924.68383647799,6218.84369101124,4618.63427586207
