,wt,fiber,half,3n75 wt,cytosol,mitochondria,ER,Nucleus,Vacuole,Plasma-membrane,budneck,Category,names,nwt,nfiber,nhalf,n3n75 wt,ywt,yfiber,yhalf,y3n75 wt,rwt,rfiber,rhalf,r3n75 wt
1,NA,0.955489583333333,NA,0.9745,1,0,0,1,0,0,0,Chaperone,HSP104,NA,96,NA,18,NA,82.202125,NA,591.882333333333,NA,563.145729166667,NA,312.519166666667
2,0.965,0.65105641025641,0.892001633986928,0.80525,0,1,0,0,0,0,0,Chaperone,HSP78,1,195,612,4,56.559,73.4995333333333,27.0043954248366,128.1005,536.926,199.292215384615,191.457725490196,285.83275
3,0.968,0.691453815261044,0.905758940397351,0.793571428571429,0,1,0,0,0,0,0,Chaperone,MCX1,3,249,755,7,121.678666666667,76.814297188755,26.3919112582781,602.305714285714,94.181,40.3718835341365,35.2839231788079,16.281
4,0.987666666666667,0.80944099378882,0.674633903133903,0.830315789473684,0,0,0,1,0,0,0,DNA-related,RVB1,3,161,702,19,61.6996666666667,78.1665962732919,24.2590982905983,468.976263157895,88.5926666666667,253.817894409938,234.816800569801,93.4255263157895
5,0.99,0.846570850202429,0.776847222222222,0.956190476190476,0,0,0,1,0,0,0,DNA-related,RVB2,1,247,432,21,531.877,75.4719109311741,23.6253287037037,669.269,166.918,194.547578947368,179.218284722222,80.9298095238095
6,0.981,0.85021608040201,0.838212481426449,0.933,0,0,1,0,0,0,0,Chaperone,CNE1,1,199,673,8,177.538,75.9207688442211,24.5193566121843,587.667875,18.294,10.089648241206,8.33394799405646,33.306875
7,0.986,0.956959259259259,0.954510028653295,0.983,0,0,0,0,0,1,0,Chaperone,TCP1,1,270,698,5,34.118,74.5588333333333,25.2041232091691,801.1534,82.434,250.167796296296,220.544186246418,135.284
8,0.968,0.795051470588235,0.771384615384615,0.984,1,0,0,0,0,0,0,Chaperone,CCT2,1,408,572,1,39.126,73.7093382352941,24.3541765734266,43.642,75.159,10.0874093137255,5.9448006993007,19.07
9,0.9865,0.958309623430962,0.937234722222222,0.988,1,0,0,0,0,0,0,Chaperone,CCT3,4,239,720,1,70.93275,70.2176234309623,24.0975777777778,1413.318,75.00325,49.7527071129707,48.1953861111111,56.226
10,0.985333333333333,0.961905882352941,0.95472049689441,0.9835,1,0,0,0,0,0,0,Chaperone,CCT4,3,85,161,2,196.001666666667,57.4520588235294,26.7615093167702,75.4715,101.043333333333,140.910658823529,125.69398757764,146.9445
