"","wt","fiber","misfolded","half","cytosol","mitochondria","ER","Nucleus","Vacuole","Plasma-membrane","budneck","Category","names","nwt","nfiber","nmisfolded","nhalf","ywt","yfiber","ymisfolded","yhalf","rwt","rfiber","rmisfolded","rhalf"
"1",0.426904761904762,0.0528443496801706,NA,NA,1,0,0,1,0,0,0,"Chaperone","HSP104",21,469,185,NA,128.445285714286,268.857906183369,53.3749891891892,NA,125.657142857143,717.270405117271,255.850540540541,NA
"2",0.0574594594594595,-0.043971148,-0.0185151692857143,-0.818,0,1,0,0,0,0,0,"Chaperone","HSP78",37,325,140,1,78.5232702702703,345.567686153846,77.9196785714286,3.34999999999999,18.2785135135135,197.354581538462,122.303835714286,3.02
"3",0.1232,-0.0182487684729064,0.0367317073170732,0.088,0,1,0,0,0,0,0,"Chaperone","MCX1",10,406,123,1,77.8155,298.668433497537,110.039926829268,4.51600000000001,8.6568,41.3841305418719,51.564406504065,3.967
"4",0.02576,-0.0421069043165468,0.077975,NA,0,0,0,1,0,0,0,"DNA-related","RVB1",25,417,40,1,85.35896,284.852606714628,115.9442,3.855,33.66328,244.136287769784,197.18085,2.97
"5",0.249681818181818,-0.00946651270207852,0.0952264150943396,-0.707,0,0,0,1,0,0,0,"DNA-related","RVB2",22,433,53,1,85.6146363636364,272.829863741339,131.308037735849,4.179,27.0010909090909,191.007247113164,179.404830188679,3.092
"6",0.06425,0.040489604805492,-0.0887888631578947,NA,0,0,1,0,0,0,0,"Chaperone","CNE1",16,437,57,NA,161.0356875,293.266878718535,123.190859649123,NA,12.848,18.0715789473684,42.951649122807,NA
"7",0.459571428571429,0.000914871315789472,0.06165625,0.257,0,0,0,0,0,1,0,"Chaperone","TCP1",21,380,32,1,87.9478571428571,309.422284210526,139.79340625,4.261,43.4447619047619,286.327518421053,292.49665625,3.379
"8",0.0624166666666667,0.086796884,0.0745151515151515,NA,1,0,0,0,0,0,0,"Chaperone","CCT2",12,550,66,NA,96.34425,316.977578181818,153.614560606061,NA,9.12275,18.87144,43.6534242424242,NA
"9",0.4155,0.0116703314442413,0.0109516852459016,-0.74,1,0,0,0,0,0,0,"Chaperone","CCT3",10,547,61,1,54.7089,342.807658135283,123.315606557377,3.621,16.7395,64.3693254113346,91.1327213114754,2.976
"10",0.223,0.0745092024539877,0.237888888888889,-0.532,1,0,0,0,0,0,0,"Chaperone","CCT4",8,163,18,1,63.817375,195.404680981595,82.4951111111111,4.395,41.150125,172.891576687117,157.852444444444,3.37
"11",0.512923076923077,0.0711047835990888,0.11125,0.333,1,0,0,0,0,0,0,"Chaperone","CCT5",13,439,36,1,99.7384615384615,287.663637813212,160.271472222222,4.33,43.4453076923077,253.810519362187,239.233916666667,3.02
"12",0.0765384615384615,0.0701719044806517,-0.0504583333333333,0.066,1,0,0,0,0,0,0,"Chaperone","CCT6",13,491,24,2,164.684538461538,316.748796334012,149.048208333333,4.4005,12.0398461538462,13.5682016293279,48.1594166666667,3.709
"13",0.0858235294117647,0.0137182071559633,NA,-0.067,0,1,0,0,0,0,0,"Chaperone","HSP10",17,545,169,2,43.4015882352941,333.658148623853,56.4715384615385,4.1435,72.2388235294118,993.930666055046,378.957307692308,3.3995
"14",0.0226326530612245,NA,0.0938510638297872,-0.814,1,1,0,1,0,0,0,"Chaperone","APJ1",49,330,94,1,92.4726530612245,284.685554545455,67.0109574468085,2.842,5.76848979591837,20.072903030303,20.9595,2.883
"15",NA,0.0874209349845201,0.0688681318681319,0.026,1,0,0,1,0,0,0,"Chaperone","CAJ1",22,323,91,2,86.9557727272727,328.554848297214,75.4890989010989,3.6585,28.2346818181818,134.865547987616,54.1870659340659,3.172
"16",0.0350625,0.0182371428571429,0.0724698795180723,-0.064,0,0,0,1,0,0,0,"RNA-related","CWC23",16,350,83,1,43.69375,284.195154285714,108.834036144578,3.93899999999999,3.6925625,23.9158,38.9183855421687,3.60599999999999
"17",0.285515151515151,NA,0.115625,NA,1,0,1,0,0,0,1,"Peroxisom-related","DJP1",33,366,80,NA,130.418151515152,318.301601092896,132.9352375,NA,32.6096666666667,154.348357923497,140.8973375,NA
"18",0.0053125,0.0244346825613079,0.0956938775510204,NA,0,0,1,0,0,0,0,"Folding-related","ERJ5",16,367,49,NA,214.646,292.816283378747,122.384489795918,NA,22.4651875,33.3225040871935,52.0685510204082,NA
"19",0.182055555555556,0.0585419448186529,0.169425,0.722,0,0,1,0,0,0,0,"Chaperone","HLJ1",18,386,40,2,72.3958333333333,343.618940414508,166.69265,3.54499999999999,8.75733333333333,38.8563523316062,86.703,2.848
"20",0.117111111111111,0.016104,0.160766666666667,0.111,0,1,0,0,0,0,0,"Chaperone","JAC1",9,375,30,1,93.2958888888889,327.636130666667,136.472466666667,3.271,20.7626666666667,23.3755813333333,41.9944666666667,2.825
"21",0.167764705882353,0.032440210106383,0.0669545454545454,-0.056,0,0,1,0,0,0,0,"Chaperone","JEM1",17,564,44,2,127.288,325.867769503546,139.959931818182,3.4525,28.4693529411765,49.3623581560284,67.0238181818182,3.2585
"22",0.0727,0.0305810661896243,0.0582127659574468,NA,0,1,0,0,0,0,0,"Chaperone","JID1",20,559,47,NA,141.22175,300.814833631485,131.517510638298,NA,18.04305,19.0927835420394,45.970829787234,NA
"23",0.131,0.0646996362660944,0.039906976744186,NA,1,1,0,0,0,0,0,"Chaperone","JJJ1",7,466,43,NA,112.238714285714,311.58486695279,120.006558139535,NA,6.36785714285714,23.210635193133,39.6331162790698,NA
"24",0.0931875,0.0172269399707174,0.0872083333333333,NA,1,0,0,1,0,0,0,"Chaperone","JJJ2",16,683,48,NA,103.2175,267.508106881406,113.468083333333,NA,6.7345625,12.3500761346999,31.7319375,NA
"25",0.4610494505,0.0645432732240437,0.0616764705882353,NA,1,0,0,1,0,0,0,"Chaperone","JJJ3",20,366,102,NA,142.3462,299.620147540984,38.3709019607843,NA,13.8914,45.8825109289618,17.4005294117647,NA
"26",0.28296,-0.0321811855855856,0.00621100917431193,NA,0,1,0,0,0,0,0,"Chaperone","MDJ1",25,333,109,NA,79.69804,311.545882882883,84.9064862385321,NA,12.31036,169.348507507508,126.279770642202,NA
"27",0.1556,0.0646372526442308,0.020474358974359,-0.408,0,1,0,0,0,0,0,"Chaperone","MDJ2",20,416,78,1,46.0325,285.307685096154,86.0259871794872,3.828,3.73725,13.8998076923077,14.5128333333333,3.134
"28",0.1508,-0.0188362831858407,0.130348661538462,0.42575,0,0,1,0,0,0,0,"Chaperone","SCJ1",25,452,91,4,85.21636,329.501811946903,108.440175824176,3.5125,12.44936,136.073438053097,112.801736263736,2.9215
"29",-0.0544285714285714,0.0299444444444444,0.0229411764705882,NA,0,1,1,0,0,0,0,"Chaperone","SEC63",7,36,17,NA,198.149714285714,404.397972222222,115.953,NA,66.3221428571429,114.905138888889,114.856176470588,NA
"30",0.412125,0.0414100146666667,0.233851351351351,NA,1,0,0,1,0,0,0,"Chaperone","SIS1",16,375,74,NA,65.0050625,332.979157333333,140.772797297297,NA,46.161875,591.274725333333,675.949621621622,NA
"31",0.206928571428571,0.0568018953580902,0.0722786885245902,NA,1,0,0,0,0,0,0,"","SWA2",14,754,61,NA,87.6199285714286,300.532912466844,131.927032786885,NA,22.2350714285714,51.954124668435,68.5059016393443,NA
"32",0.1195,-0.023522406779661,0.242942857142857,NA,0,1,0,0,0,0,0,"","TIM14",4,118,35,NA,11.014,260.598601694915,109.903542857143,NA,6.29075,217.870559322034,220.721057142857,NA
"33",0.155,0.0593564356435644,0.164390243902439,NA,0,1,0,1,0,0,0,"Chaperone","XDJ1",11,303,41,NA,217.337909090909,373.518435643564,117.899048780488,NA,15.3334545454545,31.2694884488449,51.6068536585366,NA
"34",0.848,0.0117112561904762,0.188981818181818,NA,1,0,0,0,0,0,0,"Chaperone","YDJ1",3,420,55,NA,43.2776666666667,340.589119047619,148.652654545455,NA,74.1303333333333,1258.21497857143,1254.91401818182,NA
