"","wt","fiber","misfolded","half","cytosol","mitochondria","ER","Nucleus","Vacuole","Plasma-membrane","budneck","Category","names","nwt","nfiber","nmisfolded","nhalf","ywt","yfiber","ymisfolded","yhalf","rwt","rfiber","rmisfolded","rhalf"
"1",-0.042,0,0.0737854545454545,0.0152162162162162,1,0,0,1,0,0,0,"Chaperone","HSP104",2,10,275,296,5.03599999999999,731.3303,180.810516363636,38.6559425675676,13.2785,992.148,662.930581818182,670.520222972973
"2",NA,0.0278571428571429,-0.0261256281407035,0.22213358778626,0,1,0,0,0,0,0,"Chaperone","HSP78",NA,14,398,262,NA,656.906,181.138766331658,35.4937938931298,NA,348.888285714286,228.527891959799,250.473083969466
"3",NA,0.03988,-0.0410562935064935,0.196114416475973,0,1,0,0,0,0,0,"Chaperone","MCX1",NA,25,308,437,NA,772.53116,169.978003246753,37.0148100686499,NA,75.71044,43.3633733766234,46.3210983981693
"4",0.194,0.0532941176470588,0.0964540540540541,-0.0032083736,0,0,0,1,0,0,0,"DNA-related","RVB1",3,34,370,375,555.438666666667,751.596,186.901383783784,36.0833866666667,199.320666666667,371.598176470588,297.931175675676,244.861973333333
"5",-0.013,0.035425,0.112023404255319,-0.0072851711026616,0,0,0,1,0,0,0,"DNA-related","RVB2",2,40,470,263,384.251,624.774775,173.023921276596,36.191319391635,140.2545,269.134425,234.908355319149,203.291851711027
"6",NA,-0.00565217391304348,-0.00203188405797101,-0.005374352,0,0,1,0,0,0,0,"Chaperone","CNE1",NA,23,345,400,NA,737.636,192.533649275362,36.2175375,NA,28.0686086956522,15.6874956521739,15.25015
"7",NA,0.0220689655172414,0.00035593220338983,0.0075,0,0,0,0,0,1,0,"Chaperone","TCP1",NA,29,354,244,NA,483.851344827586,174.821183615819,37.266381147541,NA,350.587034482759,315.693129943503,286.76118852459
"8",NA,0.0506521739130435,-0.00706880864197531,8e-04,1,0,0,0,0,0,0,"Chaperone","CCT2",NA,23,324,285,NA,711.01147826087,189.969277777778,37.2917929824561,NA,40.4690434782609,13.7757222222222,10.0667824561404
"9",NA,0.0294193548387097,-0.00647883597883598,-0.0458312883435583,1,0,0,0,0,0,0,"Chaperone","CCT3",NA,31,378,326,NA,735.909677419355,200.759735449735,36.3488987730061,NA,80.9633225806452,64.6887962962963,60.776263803681
"10",NA,0.0867272727272727,0.00745238095238095,0.0147391304347826,1,0,0,0,0,0,0,"Chaperone","CCT4",NA,11,84,92,NA,403.853545454545,122.039083333333,38.7843695652174,NA,213.401363636364,177.210202380952,178.616347826087
"11",0.389,0.0186285714285714,-0.0286302083333333,0.0342367021276596,1,0,0,0,0,0,0,"Chaperone","CCT5",2,35,192,376,356.7995,778.524714285714,220.336385416667,37.1840585106383,215.5965,315.539971428571,262.046010416667,256.433231382979
"12",NA,0.0625789473684211,-0.020638783269962,0.0125837837837838,1,0,0,0,0,0,0,"Chaperone","CCT6",NA,19,263,185,NA,776.233421052632,182.130718631179,38.0758216216216,NA,38.3891578947368,10.4199049429658,10.1330864864865
"13",NA,0.0527777777777778,-0.00451612903225806,0.29587987012987,0,1,0,0,0,0,0,"Chaperone","HSP10",NA,9,124,308,NA,745.015333333333,172.812540322581,41.420711038961,NA,1522.523,1244.89979032258,1268.09742207792
"14",0.241,0.0941739130434783,0.0653484848484849,0.00952857142857143,1,1,0,1,0,0,0,"Chaperone","APJ1",1,23,198,280,155.166,630.892869565217,169.211666666667,34.5589464285714,5.80800000000001,60.8046956521739,19.9360050505051,16.5376107142857
"15",NA,-0.0607058823529412,0.0228728323699422,-0.00549289099526066,1,0,0,1,0,0,0,"Chaperone","CAJ1",NA,17,173,211,NA,740.287647058823,170.987768786127,34.7447914691943,NA,187.922470588235,140.47736416185,140.250497630332
"16",NA,-0.0220588235294118,0.105397810218978,0.00371194379391101,0,0,0,1,0,0,0,"RNA-related","CWC23",NA,17,274,427,NA,666.681117647059,161.252142335766,34.4682365339578,NA,68.4250588235294,23.2016678832117,20.6310421545667
"17",0,0.0045,0.019030303030303,0.00794285714285714,1,0,1,0,0,0,1,"Peroxisom-related","DJP1",1,38,330,315,496.193,741.643552631579,166.732684848485,36.7086412698413,205.65,224.478552631579,166.14603030303,159.111184126984
"18",0.255,0.0383529411764706,-0.0121268436578171,-0.0193884297520661,0,0,1,0,0,0,0,"Folding-related","ERJ5",1,17,339,242,10.178,729.255058823529,174.697501474926,35.9316239669421,12.402,64.5017058823529,32.4947079646018,32.9903966942149
"19",0,0.0446666666666667,0.059133152173913,0.0018894472361809,0,0,1,0,0,0,0,"Chaperone","HLJ1",1,27,368,398,723.652,705.544,153.832394021739,35.8797311557789,80.967,82.4266666666667,44.4570625,36.2726105527638
"20",0,-0.0314,-0.0203741496598639,0.200705882352941,0,1,0,0,0,0,0,"Chaperone","JAC1",1,15,294,323,5.622,751.648533333333,161.702993197279,34.8019783281734,4.759,61.2917333333333,25.187537414966,22.2045851393189
"21",0.1855,0.0474074074074074,-0.0174172661870504,-0.0138274038724374,0,0,1,0,0,0,0,"Chaperone","JEM1",2,27,417,439,145.846,643.556,159.031381294964,35.9010751708428,34.7235,100.407,53.0945827338129,46.8437425968109
"22",NA,0.00594117647058824,-0.0361794690288714,0.127294117647059,0,1,0,0,0,0,0,"Chaperone","JID1",NA,17,381,374,NA,658.844352941176,164.822225721785,34.7595721925134,NA,64.0942352941177,15.0505905511811,13.6576417112299
"23",0.262,0,-0.033508237254902,0.0119492283410138,1,1,0,0,0,0,0,"Chaperone","JJJ1",2,10,357,434,1021.405,684.4865,162.444635854342,35.2560967741936,98.1015,58.7319,23.7599691876751,20.0178847926267
"24",-0.28,0,0.0675403225806452,-0.00566991842105263,1,0,0,1,0,0,0,"Chaperone","JJJ2",1,10,248,228,566.704,605.6906,189.915125,35.6331885964912,43.761,25.3634,13.9353064516129,10.6386798245614
