"","wt","fiber","misfolded","half","cytosol","mitochondria","ER","Nucleus","Vacuole","Plasma-membrane","budneck","Category","names","nwt","nfiber","nmisfolded","nhalf","ywt","yfiber","ymisfolded","yhalf","rwt","rfiber","rmisfolded","rhalf"
"1",71,2418.4,1289.60931899642,1169.7417218543,1,0,0,1,0,0,0,"Chaperone","HSP104",2,10,279,302,5.036,724.8795,176.656379928315,36.7568278145695,9.9335,981.9623,650.029670250896,664.889678807947
"2",NA,3050.92307692308,2281.39386189258,2643.00289017341,0,1,0,0,0,0,0,"Chaperone","HSP78",NA,13,391,346,NA,627.384692307692,178.477148337596,34.7369768786127,NA,344.228076923077,222.222043478261,251.413647398844
"3",NA,414.774193548387,357.99674267101,388.949425287356,0,1,0,0,0,0,0,"Chaperone","MCX1",NA,31,307,435,NA,753.772322580645,166.884508143322,35.0884206896552,NA,66.7057096774193,40.9821791530945,43.6360459770115
"4",2271,2233.34375,1795.49865951743,1437.54330708661,0,0,0,1,0,0,0,"DNA-related","RVB1",3,32,373,381,546.279,737.77425,183.232,34.0330787401575,194.244333333333,361.1455625,293.189431635389,238.132700787402
"5",794,1336.82857142857,1122.58526315789,930.805243445693,0,0,0,1,0,0,0,"DNA-related","RVB2",2,35,475,267,376.9205,627.422942857143,169.258383157895,33.8635393258427,135.643,263.9494,230.858728421053,197.611696629213
"6",NA,61.5909090909091,47.6849710982659,46.355,0,0,1,0,0,0,0,"Chaperone","CNE1",NA,22,346,400,NA,735.869454545455,188.65263583815,34.4900775,NA,21.7593636363636,13.3441156069364,12.7923425
"7",NA,572.740740740741,607.595441595442,581.216326530612,0,0,0,0,0,1,0,"Chaperone","TCP1",NA,27,351,245,NA,477.972185185185,172.325102564103,35.392906122449,NA,344.260259259259,309.617541310541,280.269967346939
"8",NA,90.6666666666667,50.328125,46.2321428571429,1,0,0,0,0,0,0,"Chaperone","CCT2",NA,21,384,280,NA,687.413047619048,185.302786458333,35.4471964285714,NA,40.8468095238095,12.2884010416667,8.32905
"9",NA,175.833333333333,130.18085106383,122.433846153846,1,0,0,0,0,0,0,"Chaperone","CCT3",NA,30,376,325,NA,731.840333333333,198.453550531915,34.7177630769231,NA,77.2218333333333,61.0198058510638,56.4862092307692
"10",NA,386.6,277.975609756098,281.311827956989,1,0,0,0,0,0,0,"Chaperone","CCT4",NA,10,82,93,NA,379.8607,120.208658536585,37.1584408602151,NA,208.2177,171.896914634146,174.634129032258
"11",614.5,509.363636363636,409.379679144385,399.706666666667,1,0,0,0,0,0,0,"Chaperone","CCT5",2,33,187,375,352.514,752.149333333333,218.988700534759,35.3090613333333,211.5625,312.606181818182,253.99343315508,249.489794666667
"12",NA,102.388888888889,45.8076923076923,48.7704918032787,1,0,0,0,0,0,0,"Chaperone","CCT6",NA,18,260,183,NA,777.669277777778,179.695419230769,36.5145409836066,NA,36.0093333333333,8.9686,9.26416393442623
"13",NA,13550.8888888889,11206.3008130081,11596.0689655172,0,1,0,0,0,0,0,"Chaperone","HSP10",NA,9,123,406,NA,737.107777777778,170.245016260163,38.3400862068966,NA,1503.76388888889,1234.58160162602,1215.80413546798
"14",14,245.608695652174,77,65.6107142857143,1,1,0,1,0,0,0,"Chaperone","APJ1",1,23,199,280,152.226,624.598347826087,165.769949748744,32.9406214285714,3.815,58.1008260869565,17.9207135678392,14.5346071428571
"15",NA,285.294117647059,194.971098265896,192.314285714286,1,0,0,1,0,0,0,"Chaperone","CAJ1",NA,17,173,210,NA,733.685294117647,167.808075144509,33.218319047619,NA,183.171764705882,135.557184971098,135.98110952381
"16",NA,169.588235294118,87.1970802919708,77.9400921658986,0,0,0,1,0,0,0,"RNA-related","CWC23",NA,17,274,434,NA,660.354705882353,158.386072992701,32.478698156682,NA,65.8142941176471,21.0607481751825,18.4857442396313
"17",394,396.611111111111,294.241590214067,268.694267515924,1,0,1,0,0,0,1,"Peroxisom-related","DJP1",1,36,327,314,492.441,729.269722222222,164.330217125382,34.5351082802548,201.942,221.197888888889,161.506354740061,153.560748407643
"18",163.666666666667,136.529411764706,90.6706231454006,101.622881355932,0,0,1,0,0,0,0,"Folding-related","ERJ5",3,17,337,236,37.4276666666667,721.667647058823,171.63403264095,34.4195889830509,42.3346666666667,61.433,29.5784183976261,30.0748983050847
"19",NA,180.068965517241,103.027777777778,86.713216957606,0,0,1,0,0,0,0,"Chaperone","HLJ1",NA,29,360,401,NA,670.569655172414,152.498522222222,34.0423067331671,NA,82.2963103448276,41.7244583333333,32.8675162094763
"20",46,221.571428571429,134.640410958904,139.117834394904,0,1,0,0,0,0,0,"Chaperone","JAC1",1,14,292,314,3.77,774.068357142857,158.445410958904,32.9204872611465,3.826,62.4019285714286,23.032448630137,19.7144904458599
"21",143.5,178.851851851852,132.871921182266,127.901098901099,0,0,1,0,0,0,0,"Chaperone","JEM1",2,27,406,455,142.782,636.62437037037,156.72707635468,34.1929538461538,32.178,96.9233333333333,49.8394458128079,43.3557054945055
"22",NA,151.176470588235,60.5602094240838,64.1277173913043,0,1,0,0,0,0,0,"Chaperone","JID1",NA,17,382,368,NA,653.032529411765,162.011539267016,33.2407554347826,NA,61.7253529411765,13.2401570680628,11.9778451086957
"23",209,95.9,56.8555240793201,53.5435779816514,1,1,0,0,0,0,0,"Chaperone","JJJ1",2,10,353,436,1012.6205,677.9815,160.360949008499,33.504254587156,95.764,56.1302,21.2328753541076,17.5404334862385
"24",102,67.1,55.6907630522088,51.2212389380531,1,0,0,1,0,0,0,"Chaperone","JJJ2",1,10,249,226,560.777,598.4315,186.403176706827,33.9845663716814,40.927,23.3074,12.1209477911647,8.78862831858407
"25",196,121.666666666667,82.2797619047619,79.6040609137056,1,0,0,1,0,0,0,"Chaperone","JJJ3",1,6,168,197,1529.393,778.735833333333,161.522327380952,33.0120507614213,82.249,64.2761666666667,43.9267619047619,41.617076142132
"26",NA,2319.76923076923,1965.85531914894,2183.9212962963,0,1,0,0,0,0,0,"Chaperone","MDJ1",NA,13,235,216,NA,705.716076923077,170.307165957447,36.111,NA,252.632615384615,191.011621276596,238.088421296296
"27",NA,196.833333333333,59.8628318584071,46.8810289389068,0,1,0,0,0,0,0,"Chaperone","MDJ2",NA,12,226,311,NA,673.235916666667,167.246792035398,31.7370675241158,NA,94.5798333333333,16.2835575221239,10.378347266881
"28",NA,513.052631578947,638.794258373206,625.132780082988,0,0,1,0,0,0,0,"Chaperone","SCJ1",NA,19,209,241,NA,732.583210526316,169.57309569378,31.3064024896266,NA,183.426684210526,146.244468899522,135.239062240664
"29",332,572.1875,324.103448275862,492.098591549296,0,1,1,0,0,0,0,"Chaperone","SEC63",1,16,29,71,833.004,480.6439375,166.789448275862,30.3911126760563,112.175,158.4195625,98.0786896551724,144.318563380282
"30",NA,3932.32258064516,2079.14285714286,1846.99392097264,1,0,0,1,0,0,0,"Chaperone","SIS1",NA,31,385,329,NA,694.780419354839,180.031535064935,37.3139331306991,NA,1137.843,745.647594805195,694.68556231003
"31",NA,176.909090909091,127.772321428571,122.53591160221,1,0,0,0,0,0,0,"","SWA2",NA,22,448,362,NA,788.985136363636,151.100305803571,33.2146657458564,NA,82.6817272727273,49.922984375,49.4887569060773
"32",269,2373.04761904762,1915.46774193548,1926.85245901639,0,1,0,0,0,0,0,"","TIM14",1,21,62,122,27.421,596.372952380952,176.220532258065,46.0583114754098,51.848,272.502619047619,211.468629032258,221.078885245902
"33",NA,152.230769230769,106.158075601375,112.075471698113,0,1,0,1,0,0,0,"Chaperone","XDJ1",NA,13,291,424,NA,626.088769230769,165.369611683849,34.4418183962264,NA,67.2986923076923,31.1385429553265,29.1924056603774
"34",348,4039.64705882353,2905.60860215054,2397.1316872428,1,0,0,0,0,0,0,"Chaperone","YDJ1",1,34,465,243,45.752,766.577970588235,171.448361290323,38.4561893004115,135.513,2027.26311764706,1519.76263010753,1276.04688888889
"35",621.5,1806.69230769231,1306.24539877301,1237.3358490566,1,1,0,1,0,0,0,"Chaperone","ZUO1",2,13,326,265,65.318,688.211307692308,172.591303680982,35.0717547169811,175.586,976.115307692308,732.174530674847,704.698543396226
"36",48,47.1891891891892,38.5044642857143,43.1698924731183,0,1,0,0,0,0,0,"Chaperone","HSP60",1,37,448,465,1242.396,672.035189189189,197.672332589286,35.1723139784946,11.146,13.9596756756757,6.24463839285714,6.69369677419355
"37",NA,7263.6875,5827.9022556391,6587.55018587361,0,0,1,0,0,0,0,"Chaperone","KAR2",NA,16,266,269,NA,746.988875,157.022988721805,34.526531598513,NA,2146.5755,1320.24014661654,1259.89296654275
"38",NA,150.454545454545,98.0268817204301,112.671296296296,0,0,1,0,0,0,0,"Chaperone","LHS1",NA,11,186,216,NA,776.894363636364,147.429650537634,32.9779675925926,NA,54.5893636363636,18.8064677419355,20.3594398148148
"39",5087,8885.95,5224.19090909091,3788.20786516854,1,0,0,1,1,0,0,"Chaperone","SSA1",1,20,330,178,477.821,720.5278,162.97413030303,36.999808988764,2029.413,5453.8318,3536.63813636364,2587.00271910112
"40",NA,20986.2105263158,13890.9516129032,12148.3636363636,1,1,0,0,0,1,0,"Chaperone","SSA2",NA,19,372,55,NA,663.90552631579,192.463201612903,42.9775272727273,NA,12510.4547368421,9539.49419892473,7785.1768
"41",NA,170.083333333333,51.0225080385852,48.8754716981132,1,0,0,0,0,0,0,"Chaperone","SSA3",NA,12,311,265,NA,601.186083333333,157.769209003215,30.6218113207547,NA,94.2489166666667,21.1958263665595,18.479358490566
"42",NA,407.785714285714,242.035989717224,228.35343035343,1,0,0,1,0,0,0,"Chaperone","SSA4",NA,28,389,481,NA,649.595821428571,155.067362467866,32.3206735966736,NA,247.901464285714,156.297362467866,149.326752598753
"43",NA,7711.63636363636,5466.83056478405,5481.46296296296,1,0,0,0,0,1,0,"Chaperone","SSB1",NA,44,301,162,NA,730.229409090909,180.845122923588,45.4098580246914,NA,4374.69652272727,3037.91911627907,3106.8807962963
"44",NA,5918.85,4013.99090909091,3889.95698924731,1,0,0,0,0,1,0,"Chaperone","SSB2",NA,20,330,186,NA,776.93705,172.316184848485,40.5917419354839,NA,3398.34395,2269.7266030303,2213.42301612903
"45",194.5,68.4375,45.7883211678832,45.2354048964218,1,0,0,1,1,1,0,"Metabolism","TOR1",2,16,274,531,76.832,663.2750625,136.614284671533,32.3923333333333,68.6495,29.7716875,13.3300620437956,10.2718719397363
"46",NA,509.142857142857,401.905844155844,449.090566037736,0,1,0,0,0,0,0,"Chaperone","SSC2/SSQ1",NA,21,308,265,NA,644.515095238095,176.468451298701,32.7930679245283,NA,103.477333333333,48.0722175324675,50.0847509433962
"47",NA,132.684210526316,54.4517374517375,43.7223796033994,0,1,0,0,0,0,0,"Chaperone","SSC3/ECM10",NA,19,518,353,NA,678.992210526316,153.245602316602,32.725209631728,NA,62.3222105263158,13.3938996138996,8.57159490084986
