"","wt","fiber","misfolded","half","cytosol","mitochondria","ER","Nucleus","Vacuole","Plasma-membrane","budneck","Category","names","nwt","nfiber","nmisfolded","nhalf","ywt","yfiber","ymisfolded","yhalf","rwt","rfiber","rmisfolded","rhalf"
"1",0,0.0348571428571429,0.0231462264150943,0.0200674603174603,1,0,0,1,0,0,0,"Chaperone","HSP104",5,77,212,252,656.2206,550.749649350649,49.7421556603774,42.4275,1238.5818,1009.17507792208,745.705273584906,687.745591269841
"2",0.051,-0.0114166666666667,0.143854304635762,0.18905303030303,0,1,0,0,0,0,0,"Chaperone","HSP78",3,48,302,264,627.469,515.4670625,47.632178807947,42.1195265151515,234.338666666667,273.608958333333,263.939152317881,262.120265151515
"3",0.297,0.00259701492537313,0.155401935638298,0.172353846153846,0,1,0,0,0,0,0,"Chaperone","MCX1",1,67,188,195,572.915,535.911671641791,44.0239680851064,40.0191076923077,72.778,44.841223880597,42.199670212766,45.5366461538462
"4",0,0.0088875,-0.00221164021164021,-0.0108554381516588,0,0,0,1,0,0,0,"DNA-related","RVB1",1,80,189,422,1735.81,510.6286125,46.2546455026455,43.2271563981043,382.544,341.84765,262.732708994709,255.891822274882
"5",0.137666666666667,0.00103738317757009,-0.00780628272251309,-0.003478125,0,0,0,1,0,0,0,"DNA-related","RVB2",6,107,191,320,724.309333333333,506.877327102804,46.8250209424084,43.01943125,282.768833333333,254.91646728972,212.597036649215,209.1143625
"6",-0.054,0.00523958333333333,0.000397379912663756,0.00168556701030928,0,0,1,0,0,0,0,"Chaperone","CNE1",3,96,229,194,734.329666666667,503.354770833333,46.7932925764192,41.5025154639175,45.7076666666667,13.7282916666667,13.8252052401747,15.1627164948454
"7",0,0.0226078431372549,-0.0408279569892473,-0.00625874125874126,0,0,0,0,0,1,0,"Chaperone","TCP1",2,102,186,286,559.4835,526.724764705882,48.0578655913978,43.0579965034965,327.939,336.050431372549,291.497387096774,286.458241258741
"8",0.1615,0.0159555555555556,-0.00368301886792453,0.019004048582996,1,0,0,0,0,0,0,"Chaperone","CCT2",2,45,265,247,503.2215,520.115822222222,49.1429735849057,41.8224291497976,46.63,24.2876222222222,11.8761320754717,9.51435222672065
"9",NA,-0.0128290598290598,-0.0346973684210526,-0.0793991228070175,1,0,0,0,0,0,0,"Chaperone","CCT3",NA,117,228,228,NA,475.534760683761,47.1920394736842,43.0710175438596,NA,67.6418461538461,61.3404824561404,61.950850877193
"10",0,0,0.00961111111111111,-0.0183703703703704,1,0,0,0,0,0,0,"Chaperone","CCT4",2,2,72,81,545.5165,334.063,50.1992916666667,45.1441111111111,172.104,242.526,176.660625,169.502259259259
"11",0,0.00742622950819672,0.021469964664311,0.00877218934911243,1,0,0,0,0,0,0,"Chaperone","CCT5",3,61,283,338,1337.45366666667,530.243967213115,45.5210318021201,40.0126479289941,473.549333333333,281.598049180328,251.564512367491,247.503420118343
"12",0,0.00600990099009901,0.0102777777777778,-0.00204137931034483,1,0,0,0,0,0,0,"Chaperone","CCT6",3,101,126,145,665.347,467.955801980198,48.2983333333333,41.3145793103448,37.5083333333333,8.36151485148515,9.94727777777778,8.16303448275862
