,wt,fiber,half,nothing,cytosol,mitochondria,ER,Nucleus,Vacuole,Plasma-membrane,budneck,Category,names,nwt,nfiber,nhalf,nnothing,ywt,yfiber,yhalf,ynothing,rwt,rfiber,rhalf,rnothing
1,902.414342629482,1121.12213740458,1054.51030927835,NA,1,0,0,1,0,0,0,Chaperone,HSP104,753,393,776,NA,708.397363877822,568.444933842239,134.983390463918,NA,500.656730411687,582.930473282443,569.241182989691,NA
2,1842.44802867384,2033.0447284345,1793.86846846847,NA,0,1,0,0,0,0,0,Chaperone,HSP78,558,313,555,NA,723.479016129032,487.45449201278,129.963618018018,NA,171.34429390681,203.997476038339,175.774551351351,NA
3,327.303605313093,308.906313645621,310.798601398601,NA,0,1,0,0,0,0,0,Chaperone,MCX1,527,491,715,NA,773.272749525617,532.111912423625,130.28753006993,NA,37.0705256166983,34.3368553971487,33.2830307692308,NA
4,1398.49909255898,1556.56143079316,1386.74791086351,NA,0,0,0,1,0,0,0,DNA-related,RVB1,551,643,718,NA,787.377938294011,537.029706065319,136.035077994429,NA,229.590876588022,252.17366874028,224.606513927577,NA
5,943.773770491803,980.570895522388,915.360060514372,NA,0,0,0,1,0,0,0,DNA-related,RVB2,610,536,661,NA,780.446449180328,523.104117537313,133.675139183056,NA,179.021054098361,188.542582089552,180.119735249622,NA
6,48.5661252900232,48.7486136783734,38.5670103092784,NA,0,0,1,0,0,0,0,Chaperone,CNE1,431,541,776,NA,785.423412993039,503.003449168207,130.204134020619,NA,10.8715870069606,11.5536598890943,11.6604716494845,NA
7,451.365354330709,491.112554112554,420.802721088435,NA,0,0,0,0,0,1,0,Chaperone,TCP1,635,693,735,NA,814.501453543307,484.206744588745,132.596278911565,NA,241.353738582677,253.319731601732,225.673046258503,NA
8,50.8259212198221,50.1003134796238,44.0386904761905,NA,1,0,0,0,0,0,0,Chaperone,CCT2,787,638,672,NA,824.963936467599,656.166594043887,122.423438988095,NA,9.70256797966963,10.8994686520376,15.6489241071429,NA
9,113.221899224806,113.462827225131,113.518279569892,NA,1,0,0,0,0,0,0,Chaperone,CCT3,1032,955,465,NA,809.29324127907,629.189388481675,135.501139784946,NA,52.5067073643411,51.3133151832461,54.3549741935484,NA
10,241.779141104294,250.316831683168,246.979591836735,NA,1,0,0,0,0,0,0,Chaperone,CCT4,163,202,196,NA,533.021343558282,273.849549504951,94.3485102040816,NA,147.320570552147,148.665762376238,143.91468877551,NA
11,340.564979480164,331.806539509537,326.851968503937,NA,1,0,0,0,0,0,0,Chaperone,CCT5,731,367,635,NA,889.092082079343,450.971395095368,131.222858267717,NA,212.013852257182,206.758544959128,202.025242519685,NA
12,49.3180026281209,47.0935828877005,33.4920634920635,NA,1,0,0,0,0,0,0,Chaperone,CCT6,761,374,567,NA,791.316207621551,443.731548128342,128.636148148148,NA,8.43342049934297,9.07373529411765,7.28819400352734,NA
13,7135.70512820513,8367.82710280374,6407.82373472949,NA,0,1,0,0,0,0,0,Chaperone,HSP10,702,214,573,NA,838.764978632479,525.645443925234,137.328656195462,NA,815.77597008547,853.071808411215,645.554171029668,NA
