,wt,fiber,half,nothing,cytosol,mitochondria,ER,Nucleus,Vacuole,Plasma-membrane,budneck,Category,names,nwt,nfiber,nhalf,nnothing,ywt,yfiber,yhalf,ynothing,rwt,rfiber,rhalf,rnothing
1,0.7905,0.329280746652893,0.445172043010753,NA,1,0,0,1,0,0,0,Chaperone,HSP104,2,242,93,NA,166.788,797.423367768595,100.116021505376,NA,383.048,609.509723140496,489.61276344086,NA
2,-0.169,-0.066967213114754,0.141928571428571,NA,0,1,0,0,0,0,0,Chaperone,HSP78,3,183,42,NA,509.643,703.636431693989,130.493238095238,NA,141.338333333333,196.707846994536,212.244,NA
3,0.017142857142857,-0.043278683275261,-0.00144,NA,0,1,0,0,0,0,0,Chaperone,MCX1,7,287,50,NA,581.999571428571,775.554554006969,108.69528,NA,69.8382857142857,35.1524529616725,37.35362,NA
4,0.6546,0.395595907928389,0.468206349206349,NA,0,0,0,1,0,0,0,DNA-related,RVB1,5,391,63,NA,469.4526,765.21878516624,143.064587301587,NA,252.8336,276.480071611253,225.738015873016,NA
5,0.842,0.397287983679525,0.439646153846154,NA,0,0,0,1,0,0,0,DNA-related,RVB2,9,337,65,NA,503.255666666667,725.357848664688,99.5584923076923,NA,205.404111111111,197.770005934718,133.600938461538,NA
6,-0.148,0.122394736842105,0.277127659574468,NA,0,0,1,0,0,0,0,Chaperone,CNE1,1,342,47,NA,703.396,683.744470760234,112.381468085106,NA,5.722,12.6376228070175,32.8900212765957,NA
7,0.519714285714286,-0.013094997176471,0.26828,NA,0,0,0,0,0,1,0,Chaperone,TCP1,7,425,50,NA,782.039142857143,687.856696470588,126.3858,NA,233.297714285714,260.515557647059,242.48658,NA
8,0.054333333333333,0.195188916876574,0.142742424242424,NA,1,0,0,0,0,0,0,Chaperone,CCT2,9,397,66,NA,593.501444444444,955.690768261965,132.463924242424,NA,35.322,14.3129420654912,36.4930151515152,NA
9,0.183714285714286,0.144986705610561,0.190835925,NA,1,0,0,0,0,0,0,Chaperone,CCT3,7,606,24,NA,677.666714285714,886.351349834983,132.040666666667,NA,78.49,53.7204372937294,82.8473333333333,NA
10,0.12675,-0.060367647058824,0.344090909090909,NA,1,0,0,0,0,0,0,Chaperone,CCT4,4,68,22,NA,426.6315,484.381147058824,77.9482727272727,NA,241.461,180.6415,146.886045454545,NA
11,0.75,-0.003975799029126,-0.002321428571429,NA,1,0,0,0,0,0,0,Chaperone,CCT5,5,206,28,NA,764.192,661.631859223301,139.193178571429,NA,203.127,214.374640776699,237.774321428571,NA
12,0.138875,0.089056725909091,-0.03055,NA,1,0,0,0,0,0,0,Chaperone,CCT6,8,220,20,NA,564.258375,611.996890909091,141.5111,NA,53.3915,11.1246045454545,26.43555,NA
13,-0.1425,-0.050827868852459,0.056597692537313,NA,0,1,0,0,0,0,0,Chaperone,HSP10,2,122,67,NA,793.4435,760.416581967213,80.5207164179104,NA,756.403,894.101131147541,536.576701492537,NA
14,0.7202,0.38276354679803,0.499322580645161,NA,1,1,0,1,0,0,0,Chaperone,APJ1,5,203,31,NA,712.8716,688.719088669951,136.614516129032,NA,38.2494,22.8122266009852,25.8184193548387,NA
15,0.6865,0.385144736842105,0.283511111111111,NA,1,0,0,1,0,0,0,Chaperone,CAJ1,4,228,45,NA,811.37075,805.846969298246,91.5196888888889,NA,152.95325,138.881469298246,92.8626888888889,NA
16,0.554666666666667,0.41007570977918,0.351941176470588,NA,0,0,0,1,0,0,0,RNA-related,CWC23,9,317,51,NA,859.676777777778,758.414536277603,91.397137254902,NA,60.0866666666667,27.4040914826498,17.1635882352941,NA
17,0.274,0.070247409958506,0.347779816513761,NA,1,0,1,0,0,0,1,Peroxisom-related,DJP1,12,482,109,NA,656.2925,812.731798755187,81.3982568807339,NA,195.830333333333,148.735883817427,117.598440366972,NA
18,0.245,0.090384039900249,0.197333333333333,NA,0,0,1,0,0,0,0,Folding-related,ERJ5,6,401,66,NA,625.2885,871.923266832918,124.243439393939,NA,48.5171666666667,28.8603840399003,28.0978333333333,NA
