,wt,fiber,half,nothing,cytosol,mitochondria,ER,Nucleus,Vacuole,Plasma-membrane,budneck,Category,names,nwt,nfiber,nhalf,nnothing,ywt,yfiber,yhalf,ynothing,rwt,rfiber,rhalf,rnothing
1,0.971,0.987789256198347,0.938118279569892,NA,1,0,0,1,0,0,0,Chaperone,HSP104,2,242,93,NA,166.788,797.423367768595,100.116021505376,NA,383.048,609.509723140496,489.61276344086,NA
2,0.989,0.983114754098361,0.94547619047619,NA,0,1,0,0,0,0,0,Chaperone,HSP78,3,183,42,NA,509.643,703.636431693989,130.493238095238,NA,141.338333333333,196.707846994536,212.244,NA
3,0.985714285714286,0.982867595818815,0.91748,NA,0,1,0,0,0,0,0,Chaperone,MCX1,7,287,50,NA,581.999571428571,775.554554006969,108.69528,NA,69.8382857142857,35.1524529616725,37.35362,NA
4,0.9858,0.988450127877238,0.96,NA,0,0,0,1,0,0,0,DNA-related,RVB1,5,391,63,NA,469.4526,765.21878516624,143.064587301587,NA,252.8336,276.480071611253,225.738015873016,NA
5,0.991444444444444,0.988175074183976,0.940246153846154,NA,0,0,0,1,0,0,0,DNA-related,RVB2,9,337,65,NA,503.255666666667,725.357848664688,99.5584923076923,NA,205.404111111111,197.770005934718,133.600938461538,NA
6,0.986,0.987736842105263,0.937872340425532,NA,0,0,1,0,0,0,0,Chaperone,CNE1,1,342,47,NA,703.396,683.744470760234,112.381468085106,NA,5.722,12.6376228070175,32.8900212765957,NA
7,0.993571428571429,0.986303529411765,0.955,NA,0,0,0,0,0,1,0,Chaperone,TCP1,7,425,50,NA,782.039142857143,687.856696470588,126.3858,NA,233.297714285714,260.515557647059,242.48658,NA
8,0.986555555555556,0.987392947103275,0.960954545454545,NA,1,0,0,0,0,0,0,Chaperone,CCT2,9,397,66,NA,593.501444444444,955.690768261965,132.463924242424,NA,35.322,14.3129420654912,36.4930151515152,NA
9,0.991857142857143,0.988651815181518,0.946875,NA,1,0,0,0,0,0,0,Chaperone,CCT3,7,606,24,NA,677.666714285714,886.351349834983,132.040666666667,NA,78.49,53.7204372937294,82.8473333333333,NA
10,0.981,0.985147058823529,0.921318181818182,NA,1,0,0,0,0,0,0,Chaperone,CCT4,4,68,22,NA,426.6315,484.381147058824,77.9482727272727,NA,241.461,180.6415,146.886045454545,NA
11,0.9816,0.98521359223301,0.961464285714286,NA,1,0,0,0,0,0,0,Chaperone,CCT5,5,206,28,NA,764.192,661.631859223301,139.193178571429,NA,203.127,214.374640776699,237.774321428571,NA
12,0.98875,0.987045454545455,0.9614,NA,1,0,0,0,0,0,0,Chaperone,CCT6,8,220,20,NA,564.258375,611.996890909091,141.5111,NA,53.3915,11.1246045454545,26.43555,NA
13,0.989,0.983885245901639,0.910343283582089,NA,0,1,0,0,0,0,0,Chaperone,HSP10,2,122,67,NA,793.4435,760.416581967213,80.5207164179104,NA,756.403,894.101131147541,536.576701492537,NA
14,0.9938,0.988241379310345,0.938129032258065,NA,1,1,0,1,0,0,0,Chaperone,APJ1,5,203,31,NA,712.8716,688.719088669951,136.614516129032,NA,38.2494,22.8122266009852,25.8184193548387,NA
15,0.991,0.987592105263158,0.890888888888889,NA,1,0,0,1,0,0,0,Chaperone,CAJ1,4,228,45,NA,811.37075,805.846969298246,91.5196888888889,NA,152.95325,138.881469298246,92.8626888888889,NA
16,0.991666666666667,0.988725552050473,0.907647058823529,NA,0,0,0,1,0,0,0,RNA-related,CWC23,9,317,51,NA,859.676777777778,758.414536277603,91.397137254902,NA,60.0866666666667,27.4040914826498,17.1635882352941,NA
17,0.9885,0.987647302904564,0.917733944954128,NA,1,0,1,0,0,0,1,Peroxisom-related,DJP1,12,482,109,NA,656.2925,812.731798755187,81.3982568807339,NA,195.830333333333,148.735883817427,117.598440366972,NA
18,0.993166666666667,0.987760598503741,0.952727272727273,NA,0,0,1,0,0,0,0,Folding-related,ERJ5,6,401,66,NA,625.2885,871.923266832918,124.243439393939,NA,48.5171666666667,28.8603840399003,28.0978333333333,NA
19,0.985428571428571,0.987166276346604,0.960823529411765,NA,0,0,1,0,0,0,0,Chaperone,HLJ1,7,427,51,NA,610.677142857143,803.914035128806,135.013254901961,NA,53.6951428571429,37.202831381733,40.4393137254902,NA
20,0.98275,0.987767361111111,0.953235294117647,NA,0,1,0,0,0,0,0,Chaperone,JAC1,4,288,17,NA,602.196,953.37859375,174.107882352941,NA,79.27,20.2055069444444,16.8234705882353,NA
21,0.987666666666667,0.987,0.97269696969697,NA,0,0,1,0,0,0,0,Chaperone,JEM1,9,363,33,NA,717.290666666667,834.899107438016,165.103545454545,NA,58.8902222222222,40.8919531680441,64.8252121212121,NA
22,0.984333333333333,0.986742616033755,0.972285714285714,NA,0,1,0,0,0,0,0,Chaperone,JID1,9,474,28,NA,546.383444444444,870.232921940928,207.251464285714,NA,47.7355555555556,19.4488670886076,23.5854285714286,NA
23,0.991333333333333,0.985718631178707,0.966869565217391,NA,1,1,0,0,0,0,0,Chaperone,JJJ1,9,263,23,NA,608.755111111111,702.446019011407,159.662869565217,NA,40.8493333333333,20.7076882129278,45.8550869565217,NA
24,0.987333333333333,0.98784355179704,0.97134375,NA,1,0,0,1,0,0,0,Chaperone,JJJ2,12,473,32,NA,654.21775,776.987945031712,197.1668125,NA,28.3236666666667,14.8258583509514,27.04778125,NA
25,0.976142857142857,0.98968125,0.94642,NA,1,0,0,1,0,0,0,Chaperone,JJJ3,7,160,50,NA,500.994142857143,848.89174375,130.6153,NA,69.9964285714286,46.52884375,42.18628,NA
26,0.9845,0.981231213872832,0.9575,NA,0,1,0,0,0,0,0,Chaperone,MDJ1,2,173,32,NA,641.709,892.000971098266,153.54640625,NA,217.2065,162.607728323699,198.845125,NA
27,0.9905,0.988115879828326,0.936961538461538,NA,0,1,0,0,0,0,0,Chaperone,MDJ2,4,233,26,NA,648.029,859.421454935622,116.517576923077,NA,59.32325,15.7612660944206,15.2314615384615,NA
28,0.9925,0.98518253968254,0.933630434782609,NA,0,0,1,0,0,0,0,Chaperone,SCJ1,2,252,46,NA,757.6495,749.628396825397,106.472304347826,NA,227.9175,129.403353174603,94.667152173913,NA
29,0.988384615384615,0.98680487804878,0.960055555555556,NA,0,1,1,0,0,0,0,Chaperone,SEC63,13,41,18,NA,803.559923076923,763.92312195122,94.4168333333333,NA,179.563769230769,110.506414634146,158.528777777778,NA
30,0.991285714285714,0.989696022727273,0.945181818181818,NA,1,0,0,1,0,0,0,Chaperone,SIS1,14,352,77,NA,815.200142857143,914.567886363636,115.399467532468,NA,794.180285714286,580.040332386364,539.141649350649,NA
31,0.9814,0.986330917874396,0.957977272727273,NA,1,0,0,0,0,0,0,,SWA2,5,414,44,NA,921.2624,973.432306763285,146.766863636364,NA,65.8232,49.8597971014493,69.0138409090909,NA
32,0.9715,0.987333333333333,0.978083333333333,NA,0,1,0,0,0,0,0,,TIM14,2,66,12,NA,622.8785,894.259363636364,126.498833333333,NA,247.515,188.3025,271.0165,NA
33,0.986727272727273,0.98829375,0.965217391304348,NA,0,1,0,1,0,0,0,Chaperone,XDJ1,11,320,23,NA,700.478181818182,744.931028125,189.057826086957,NA,64.7089090909091,27.909109375,74.7031739130435,NA
34,0.989,0.988743243243243,0.9742,NA,1,0,0,0,0,0,0,Chaperone,YDJ1,4,370,35,NA,460.88575,820.142627027027,201.925942857143,NA,846.4685,1239.91000810811,1346.24145714286,NA
35,0.9882,0.985510373443983,0.956965517241379,NA,1,1,0,1,0,0,0,Chaperone,ZUO1,5,482,29,NA,724.4706,883.741437759336,178.321931034483,NA,789.9844,707.032197095436,819.402068965517,NA
36,0.986,0.989368338557994,0.966879310344828,NA,0,1,0,0,0,0,0,Chaperone,HSP60,17,638,58,NA,547.103588235294,968.539202194357,195.143482758621,NA,3.31876470588235,8.32369592476489,6.87081034482759,NA
37,0.976,0.986359649122807,0.927660377358491,NA,0,0,1,0,0,0,0,Chaperone,KAR2,3,228,53,NA,492.912666666667,860.614587719298,103.715226415094,NA,876.725,1074.58425877193,703.96841509434,NA
