,wt,fiber,half,nothing,cytosol,mitochondria,ER,Nucleus,Vacuole,Plasma-membrane,budneck,Category,names,nwt,nfiber,nhalf,nnothing,ywt,yfiber,yhalf,ynothing,rwt,rfiber,rhalf,rnothing
1,0.9905,0.881421487603306,0.949225806451613,NA,1,0,0,1,0,0,0,Chaperone,HSP104,2,242,93,NA,166.788,797.423367768595,100.116021505376,NA,383.048,609.509723140496,489.61276344086,NA
2,0.875,0.693972677595628,0.712904761904762,NA,0,1,0,0,0,0,0,Chaperone,HSP78,3,183,42,NA,509.643,703.636431693989,130.493238095238,NA,141.338333333333,196.707846994536,212.244,NA
3,0.921714285714286,0.731087108013937,0.74114,NA,0,1,0,0,0,0,0,Chaperone,MCX1,7,287,50,NA,581.999571428571,775.554554006969,108.69528,NA,69.8382857142857,35.1524529616725,37.35362,NA
4,0.911,0.752140664961637,0.863269841269841,NA,0,0,0,1,0,0,0,DNA-related,RVB1,5,391,63,NA,469.4526,765.21878516624,143.064587301587,NA,252.8336,276.480071611253,225.738015873016,NA
5,0.964222222222222,0.799643916913947,0.8896,NA,0,0,0,1,0,0,0,DNA-related,RVB2,9,337,65,NA,503.255666666667,725.357848664688,99.5584923076923,NA,205.404111111111,197.770005934718,133.600938461538,NA
6,0.927,0.846304093567251,0.906042553191489,NA,0,0,1,0,0,0,0,Chaperone,CNE1,1,342,47,NA,703.396,683.744470760234,112.381468085106,NA,5.722,12.6376228070175,32.8900212765957,NA
7,0.992285714285714,0.872797647058824,0.97044,NA,0,0,0,0,0,1,0,Chaperone,TCP1,7,425,50,NA,782.039142857143,687.856696470588,126.3858,NA,233.297714285714,260.515557647059,242.48658,NA
8,0.936888888888889,0.834758186397985,0.883151515151515,NA,1,0,0,0,0,0,0,Chaperone,CCT2,9,397,66,NA,593.501444444444,955.690768261965,132.463924242424,NA,35.322,14.3129420654912,36.4930151515152,NA
9,0.984714285714286,0.89146204620462,0.945458333333333,NA,1,0,0,0,0,0,0,Chaperone,CCT3,7,606,24,NA,677.666714285714,886.351349834983,132.040666666667,NA,78.49,53.7204372937294,82.8473333333333,NA
10,0.979,0.893205882352941,0.960681818181818,NA,1,0,0,0,0,0,0,Chaperone,CCT4,4,68,22,NA,426.6315,484.381147058824,77.9482727272727,NA,241.461,180.6415,146.886045454545,NA
11,0.9818,0.884859223300971,0.949714285714286,NA,1,0,0,0,0,0,0,Chaperone,CCT5,5,206,28,NA,764.192,661.631859223301,139.193178571429,NA,203.127,214.374640776699,237.774321428571,NA
12,0.9575,0.832340909090909,0.85145,NA,1,0,0,0,0,0,0,Chaperone,CCT6,8,220,20,NA,564.258375,611.996890909091,141.5111,NA,53.3915,11.1246045454545,26.43555,NA
13,0.8765,0.669368852459016,0.783373134328358,NA,0,1,0,0,0,0,0,Chaperone,HSP10,2,122,67,NA,793.4435,760.416581967213,80.5207164179104,NA,756.403,894.101131147541,536.576701492537,NA
14,0.9796,0.841029556650246,0.918709677419355,NA,1,1,0,1,0,0,0,Chaperone,APJ1,5,203,31,NA,712.8716,688.719088669951,136.614516129032,NA,38.2494,22.8122266009852,25.8184193548387,NA
