,wt,fiber,half,nothing,cytosol,mitochondria,ER,Nucleus,Vacuole,Plasma-membrane,budneck,Category,names,nwt,nfiber,nhalf,nnothing,ywt,yfiber,yhalf,ynothing,rwt,rfiber,rhalf,rnothing
1,0.173,0.110681205785124,0.165387096774194,NA,1,0,0,1,0,0,0,Chaperone,HSP104,2,242,93,NA,166.788,797.423367768595,100.116021505376,NA,383.048,609.509723140496,489.61276344086,NA
2,-0.084,-0.02013621420765,0.056,NA,0,1,0,0,0,0,0,Chaperone,HSP78,3,183,42,NA,509.643,703.636431693989,130.493238095238,NA,141.338333333333,196.707846994536,212.244,NA
3,0.016285714285714,0.063745644599303,-0.0161,NA,0,1,0,0,0,0,0,Chaperone,MCX1,7,287,50,NA,581.999571428571,775.554554006969,108.69528,NA,69.8382857142857,35.1524529616725,37.35362,NA
4,0.2476,0.112762148337596,-0.069587301587302,NA,0,0,0,1,0,0,0,DNA-related,RVB1,5,391,63,NA,469.4526,765.21878516624,143.064587301587,NA,252.8336,276.480071611253,225.738015873016,NA
5,0.423333333333333,0.144077151335312,0.14372566,NA,0,0,0,1,0,0,0,DNA-related,RVB2,9,337,65,NA,503.255666666667,725.357848664688,99.5584923076923,NA,205.404111111111,197.770005934718,133.600938461538,NA
6,0.152,0.139905999415205,0.195510638297872,NA,0,0,1,0,0,0,0,Chaperone,CNE1,1,342,47,NA,703.396,683.744470760234,112.381468085106,NA,5.722,12.6376228070175,32.8900212765957,NA
7,0.292285714285714,0.017814117647059,0.01212,NA,0,0,0,0,0,1,0,Chaperone,TCP1,7,425,50,NA,782.039142857143,687.856696470588,126.3858,NA,233.297714285714,260.515557647059,242.48658,NA
8,0.074666666666667,0.236239875566751,0.210166666666667,NA,1,0,0,0,0,0,0,Chaperone,CCT2,9,397,66,NA,593.501444444444,955.690768261965,132.463924242424,NA,35.322,14.3129420654912,36.4930151515152,NA
9,0.274285714285714,0.28157328960396,0.251208333333333,NA,1,0,0,0,0,0,0,Chaperone,CCT3,7,606,24,NA,677.666714285714,886.351349834983,132.040666666667,NA,78.49,53.7204372937294,82.8473333333333,NA
10,-0.1715,0.045161764705882,0.0515,NA,1,0,0,0,0,0,0,Chaperone,CCT4,4,68,22,NA,426.6315,484.381147058824,77.9482727272727,NA,241.461,180.6415,146.886045454545,NA
