,wt,fiber,half,nothing,cytosol,mitochondria,ER,Nucleus,Vacuole,Plasma-membrane,budneck,Category,names,nwt,nfiber,nhalf,nnothing,ywt,yfiber,yhalf,ynothing,rwt,rfiber,rhalf,rnothing
1,0.497,NA,0.025062200956938,NA,1,0,0,1,0,0,0,Chaperone,HSP104,2,NA,209,NA,227.0135,NA,80.0011961722488,NA,189.4065,NA,580.536923444976,NA
2,-0.241,0,-0.008656957928803,NA,0,1,0,0,0,0,0,Chaperone,HSP78,1,1,309,NA,77.547,86.008,84.8579644012945,NA,42.675,292.813,215.069417475728,NA
3,0,0,0.015732718894009,NA,0,1,0,0,0,0,0,Chaperone,MCX1,1,3,434,NA,20.487,110.057,81.3331820276498,NA,4.602,61.0663333333333,42.496569124424,NA
4,-0.232,0.4365,-0.01740404040404,NA,0,0,0,1,0,0,0,DNA-related,RVB1,1,2,297,NA,131.872,156.1755,84.8362861952862,NA,16.479,182.2935,251.620606060606,NA
5,0,0.297125,-0.021660477453581,NA,0,0,0,1,0,0,0,DNA-related,RVB2,5,8,377,NA,382.7166,314.5935,84.4028408488064,NA,93.3964,157.770625,202.515193633952,NA
6,-0.037,0.07,0.013204886138614,NA,0,0,1,0,0,0,0,Chaperone,CNE1,4,1,303,NA,441.208,108.81,84.155798679868,NA,30.438,48.834,13.9166171617162,NA
7,0,NA,0.005434673961219,NA,0,0,0,0,0,1,0,Chaperone,TCP1,1,NA,361,NA,702.657,NA,84.8140914127424,NA,571.71,NA,262.012828254848,NA
8,0.0615,0,0.012200471698113,NA,1,0,0,0,0,0,0,Chaperone,CCT2,2,2,424,NA,119.5325,612.8895,83.4938514150943,NA,85.0995,8.638,11.438570754717,NA
9,0.01625,-0.1715,0.047786129550827,NA,1,0,0,0,0,0,0,Chaperone,CCT3,4,2,423,NA,908.0665,585.4525,81.3025413711584,NA,106.045,98.7675,62.3643451536643,NA
10,0.050333333333333,0.2362,0.018845161290323,NA,1,0,0,0,0,0,0,Chaperone,CCT4,3,5,155,NA,159.271666666667,307.9074,70.6161032258065,NA,84.972,125.6322,149.460625806452,NA
11,0.0825,0.277428571428571,0.003984615384615,NA,1,0,0,0,0,0,0,Chaperone,CCT5,4,7,390,NA,102.48175,210.460571428571,81.300841025641,NA,132.645,104.399714285714,229.71628974359,NA
12,-0.1096,-0.003909090909091,-0.015996904187192,NA,1,0,0,0,0,0,0,Chaperone,CCT6,5,22,406,NA,188.382,308.820681818182,81.0738669950739,NA,35.067,7.9365,10.8134039408867,NA
13,0.35525,NA,0.00780306345733,NA,0,1,0,0,0,0,0,Chaperone,HSP10,4,NA,457,NA,550.14725,NA,87.9967899343545,NA,499.8675,NA,1063.69460612691,NA
14,0.048,0,0.017196666666667,NA,1,1,0,1,0,0,0,Chaperone,APJ1,3,1,300,NA,329.132666666667,68.409,89.0169366666667,NA,25.6133333333333,3.65900000000001,19.3476266666667,NA
