,wt,fiber,half,nothing,cytosol,mitochondria,ER,Nucleus,Vacuole,Plasma-membrane,budneck,Category,names,nwt,nfiber,nhalf,nnothing,ywt,yfiber,yhalf,ynothing,rwt,rfiber,rhalf,rnothing
1,0.002097297297297,0,0.025737288135593,NA,1,0,0,1,0,0,0,Chaperone,HSP104,740,335,472,NA,824.344925675676,854.314797014925,77.1638008474576,NA,563.235606756757,602.953343283582,603.012919491525,NA
2,-3.77358490566038E-05,0,0.017567084078712,NA,0,1,0,0,0,0,0,Chaperone,HSP78,477,502,559,NA,917.432997903564,810.158647410359,81.8094060822898,NA,199.722756813417,193.688892430279,203.212132379249,NA
3,0,0,0.011857263171036,NA,0,1,0,0,0,0,0,Chaperone,MCX1,451,603,801,NA,880.723538802661,821.259218905473,77.4461323345818,NA,40.5249423503326,39.5229635157546,42.7693258426966,NA
4,0.000352033660589,0.001287726358149,0.020051391975309,NA,0,0,0,1,0,0,0,DNA-related,RVB1,713,994,648,NA,909.532373071529,835.096526156942,79.668837962963,NA,254.374652173913,254.451076458753,250.190986111111,NA
5,0,0.002354187689203,0.017936774193548,NA,0,0,0,1,0,0,0,DNA-related,RVB2,749,991,775,NA,888.255861148198,811.995159434914,79.7364103225806,NA,194.928271028037,198.066645812311,198.569825806452,NA
6,0.000152579582876,-0.000315443592552,0.008301589666667,NA,0,0,1,0,0,0,0,Chaperone,CNE1,911,913,690,NA,881.640630076839,841.658579408543,80.8284565217391,NA,14.2193117453348,14.6088795180723,13.8983463768116,NA
7,0,0,0.004172905525847,NA,0,0,0,0,0,1,0,Chaperone,TCP1,943,906,561,NA,900.392747613998,790.444369757174,83.4050053475936,NA,258.650928950159,248.276972406181,268.939795008913,NA
8,0.000926208651399,0,0.001267281105991,NA,1,0,0,0,0,0,0,Chaperone,CCT2,786,602,651,NA,896.409659033079,775.996559800664,81.2222980030722,NA,10.0727061068702,13.1110431893688,13.1132626728111,NA
9,0.001808275862069,0.000435629784273,0.006214383711048,NA,1,0,0,0,0,0,0,Chaperone,CCT3,725,1437,706,NA,920.101186206897,753.191303409882,78.9594362606232,NA,63.3773186206897,59.5765080027836,62.9503555240793,NA
10,0.001980079681275,0.008846774193548,0.015072874493927,NA,1,0,0,0,0,0,0,Chaperone,CCT4,251,248,247,NA,617.987549800797,541.943947580645,68.8100931174089,NA,145.872075697211,156.467451612903,151.513894736842,NA
11,0.000571001494768,0.005859929078014,0.00040450928382,NA,1,0,0,0,0,0,0,Chaperone,CCT5,669,564,754,NA,892.17043348281,855.087808510638,78.5325185676393,NA,221.90576980568,228.843716312057,235.025149867374,NA
12,0.000811053984576,0.000448471121178,-0.002310888252149,NA,1,0,0,0,0,0,0,Chaperone,CCT6,778,883,698,NA,912.051703084833,853.1328799547,80.4494369627507,NA,12.1537210796915,10.1613306908267,12.9511103151862,NA
