,3n75 wt,half,fiber,wt,cytosol,mitochondria,ER,Nucleus,Vacuole,Plasma-membrane,budneck,Peroxisome,golgi,lipid droplet,Category,SGA-hit,names,n3n75 wt,nhalf,nfiber,nwt,y3n75 wt,yhalf,yfiber,ywt,r3n75 wt,rhalf,rfiber,rwt
1,0.4875,0.058310101584507,0.007079013461538,0.06008,1,0,0,0,0,0,0,0,0,0,Oxidative-stress,1,GND1,2,1136,312,50,349.7335,29.9100378521127,95.2443301282051,167.47462,634.7555,1860.13748767606,1907.00906410256,1116.5392
2,0.1162,0.154149553398853,-0.011772004241782,0.08775,0,1,1,0,0,0,0,0,0,1,Lipid-Related,1,ERG6,10,1221,943,4,655.577,23.5924889434889,79.1326256627784,122.19575,274.1052,341.556864045864,298.698173913043,257.77875
3,0.412,0.082543019769674,-0.029096124497487,0.044730769230769,1,0,0,0,0,0,0,0,0,0,Stress-related,0,PUB1,12,521,796,26,976.150416666667,24.0130326295585,79.9100527638191,174.989153846154,263.0445,331.577646833013,305.851822864322,131.312846153846
4,0.227666666666667,NA,0.127297554347826,0,0,0,0,1,0,0,0,0,0,0,Proteasome,0,PRE1,6,NA,736,5,731.896333333333,NA,85.9499782608696,128.377,57.1408333333333,NA,183.040637228261,162.6446
5,0.5295,0.115823053928571,-0.014037974683544,0.072142857142857,1,0,0,0,0,0,0,0,0,0,Protease,0,SDD3,2,1120,395,14,1353.9535,22.3840857142857,79.118546835443,145.516285714286,42.2645,55.33421875,58.7152278481013,45.2474285714286
6,0,-0.168689107435255,-0.059296829971182,0,0,0,1,0,0,0,0,0,0,0,AA-related,1,BAP2,2,1197,347,1,1242.236,21.2610701754386,92.883204610951,45.765,398.2125,226.57330994152,256.994291066282,226.271
7,0.158571428571429,0.073180691241336,-0.02531008770073,0.477,1,0,0,0,0,0,0,0,0,0,Stress-related,0,TPS1,7,1587,548,1,688.331142857143,22.7973812224323,86.2991824817518,19.939,62.6128571428571,86.5327082545684,83.7755948905109,8.417
8,0.0976,-0.000560959333333,0.016826666666667,0.637,1,0,0,0,0,0,0,0,0,0,Lipid-Related,1,PDR17,5,600,225,2,930.4618,22.43666,86.9313377777778,196.8225,73.5114,24.1443066666667,24.4091911111111,54.6435
9,0.423666666666667,0.039320564516129,0.02360773480663,0,1,0,0,0,0,0,0,0,0,0,AA-related,0,ARG4,3,496,181,1,1213.86533333333,23.5018709677419,89.3986685082873,238.894,643.245,166.785183467742,136.164220994475,706.936
10,0.204166666666667,0.030918941830986,-0.041345323741007,0.83,0,1,0,0,0,0,0,0,0,0,Stress-related,0,TPS2,6,710,139,1,149.111833333333,24.4526661971831,94.2668129496403,323.262,26.553,51.4312563380282,49.5124316546763,93.535
11,0.1806,0.036763743865906,0.04168275862069,-0.023333333333333,1,0,0,1,0,0,0,0,0,0,Oxygen-growth,1,SPE2,5,1402,290,3,475.6834,22.5923345221113,90.8944482758621,95.4266666666667,122.9856,102.78997788873,105.352568965517,186.128
12,0.124714285714286,0.06509888685446,0.045637059724349,0.2365,1,0,0,1,0,0,0,0,0,0,Stress-related,0,GSY2,7,1278,653,2,439.287857142857,22.6529342723005,93.0097764165391,335.681,90.4391428571429,32.8973748043818,33.0924211332312,114.665
13,-0.073230769230769,2.77153331253897E-05,0.00285976463621,0.0555,1,0,0,0,0,0,0,0,0,0,Multivesicular-body-sorting,1,IST1,13,1603,591,18,1030.93384615385,23.1838265751716,82.0704551607445,160.545222222222,77.0972307692308,9.55512289457268,10.1015600676819,13.1973888888889
14,0.359,0.035975400631136,0.042228174603175,0.2301,1,0,1,0,0,0,0,0,0,0,Multivesicular-body-sorting,0,VPS4,2,1426,504,10,188.1765,23.0717510518934,86.5091150793651,117.3148,9.145,43.6889214586255,42.0259067460317,67.3789
15,0.098058823529412,0.075834298459783,-0.037862900399003,0.13747619047619,0,0,0,0,0,0,0,0,0,0,Stress-related,1,TIF3,17,1753,802,21,932.492117647059,23.8709172846549,81.9308940149626,187.686095238095,170.804117647059,386.798265259555,357.177526184539,190.915285714286
16,0.3338,0.129726175363934,0.049274881516588,0.36275,1,0,0,1,0,0,0,0,0,0,Chaperone,1,HCH1,10,1525,211,4,851.3716,22.46828,90.9054360189573,225.45025,192.1162,302.514373770492,316.29944549763,163.77725
17,0.277,0.52055358435916,0.01346821316726,0.1782,0,1,0,0,0,0,0,0,0,0,Protease,0,CYM1,5,2762,281,5,522.2664,21.1430246198407,87.6119074733096,190.48,63.5234,34.5931299782766,35.6395836298932,93.8264
18,0.3622,0.001831233117409,0.083103571428571,0.063,0,0,0,1,0,0,0,0,0,0,Proteasome,0,PRE9,5,2470,280,4,236.4008,22.6606627530364,83.7758571428571,140.3455,95.3886,151.944136842105,176.619667857143,72.90925
19,-0.012583333333333,0.018682792509091,0.094558510638298,0.256,0,0,0,1,0,0,0,0,0,0,Proteasome,0,RPN2,12,550,376,5,204.779916666667,21.8872345454545,76.0105159574468,159.5146,106.610333333333,176.728727272727,205.816162234043,138.3482
20,0.16875,-0.00166441154345,0.098345088161209,NA,0,0,0,1,0,0,0,0,0,0,Proteasome,0,PRE6,4,771,397,NA,413.2545,22.4378534370947,90.4162544080605,NA,109.6235,139.85428923476,185.222428211587,NA
21,NA,NA,0.084200520833333,0,0,0,0,1,0,0,0,0,0,0,RNA-related,1,REF2,NA,NA,384,5,NA,NA,85.4162369791667,70.2482,NA,NA,27.4578697916667,70.6162
22,0.459666666666667,NA,-0.034496062992126,0.5462,1,0,0,0,0,0,0,0,0,0,Lipid-Related,1,YPK1,3,NA,127,5,82.697,NA,86.4433543307087,113.3378,125.948333333333,NA,36.6136535433071,109.234
23,0.822,0.050271281729428,-0.007775,0.3385,1,0,0,0,0,0,0,0,0,0,Autophagy,0,ATG3,1,717,280,2,124.288,21.9160753138075,84.621575,87.9375,223.661,20.0485118549512,21.3359071428571,56.8465
24,-0.075,0.016700410164051,0.01984375,0.085888888888889,1,0,0,0,1,0,0,0,0,0,Autophagy,0,ATG18,1,2804,256,9,6.70399999999999,22.3833452211127,89.84229296875,220.533777777778,6.065,29.7220474322397,32.01179296875,39.0048888888889
25,0.0655,0.01205087634584,NA,0.058222222222222,1,0,0,1,0,0,0,0,0,0,Proteasome,0,RPN14,12,613,NA,9,764.398916666667,20.7557993474715,NA,114.718888888889,60.361,15.0411044045677,NA,9.51411111111111
26,0.010714285714286,-0.025100465246492,0.006825938566553,0.0596,0,0,1,0,0,0,0,0,0,0,Autophagy,0,ATG40,7,2779,293,5,700.653,20.6069082403742,84.7663242320819,137.881,53.4084285714286,15.8740305865419,15.5891638225256,38.523
27,0.247666666666667,0.009471727740916,0.003791397849462,0.052636363636364,1,0,0,0,0,0,0,0,0,0,Signaling,1,STE50,3,2532,465,11,124.694,20.7695268562401,78.4904086021505,166.101,83.089,11.810455371248,13.8043247311828,17.5683636363636
28,0.082133333333333,-0.043392865565684,0.000107569721116,-0.010066666666667,0,0,1,0,0,0,0,0,0,0,Autophagy,0,ATG15,15,1865,251,15,510.286066666667,20.1098686327078,94.6079203187251,151.977333333333,77.6862,19.2773946380697,20.1932948207171,33.0756666666667
29,0.3265,-0.000987921449275,-0.00635401459854,0.058530726256983,1,0,0,1,0,0,0,0,0,0,-,1,PTC1,4,1035,274,179,695.49175,20.6253458937198,76.8425182481752,147.125849162011,98.02825,9.45534396135266,10.2364379562044,8.73874301675978
30,NA,NA,0.013015706806283,0.2925,1,0,0,0,0,0,0,0,0,0,Stress-related,0,PGM2,NA,NA,191,4,NA,NA,84.0525340314136,79.6375,NA,NA,45.5771151832461,250.5375
31,NA,NA,0.011125654450262,0.311,1,0,0,1,0,0,0,0,0,0,Stress-related,0,PBP1,NA,NA,191,4,NA,NA,87.4765497382199,213.7545,NA,NA,61.057109947644,92.375
32,NA,-0.027790598987342,0.017811715481172,0.242,0,0,0,1,0,0,0,0,0,0,Proteasome,0,BLM10,NA,395,239,4,NA,20.833546835443,85.3251589958159,55.47525,NA,28.0366329113924,33.9749121338912,40.6665
33,0,0.004395426027397,0.030882352941177,0.1485,1,0,0,1,0,0,0,0,0,0,Stress-related,0,YAP1,1,1898,85,4,115.637,20.9675642781876,90.5824235294118,144.191,273.299,17.776866174921,21.7174,22.0325
34,0.38,0.036377615994624,0.009426035502959,0.045166666666667,1,0,0,0,0,0,0,0,0,0,Stress-related,0,TSL1,2,1488,169,6,685.3705,20.9678192204301,88.9550355029586,109.779333333333,143.3915,27.2784623655914,34.3680591715976,69.8775
35,0.0586,-0.014911393461539,-0.003376344086022,0.423,0,0,0,1,0,0,0,0,0,0,-,1,LRS4,5,2184,93,2,392.247,20.5539322344322,93.4374946236559,61.36,141.968,13.3352600732601,21.447,69.769
36,0.095909090909091,-0.002914121857722,0.001906779661017,0.099666666666667,0,0,0,0,0,0,0,0,0,0,Vacuole-related,1,VPS3,11,2713,236,3,230.567090909091,21.8119325469959,85.0747372881356,22.8816666666667,48.7269090909091,12.7759137486178,13.432686440678,18.6673333333333
37,NA,NA,0.012539081657459,0.040285714285714,0,0,0,0,0,0,0,0,0,0,Structural,1,KRE28,NA,NA,905,14,NA,NA,70.936155801105,143.507071428571,NA,NA,23.3509889502762,26.3438571428571
38,NA,NA,-0.001441087613293,0.1134,0,0,0,0,0,1,1,0,0,0,Structural,1,BNI1,NA,NA,331,15,NA,NA,93.7283504531722,49.246,NA,NA,19.1386435045317,25.8951333333333
39,NA,0.023149487252475,0.000489898989899,0.07248275862069,1,0,0,0,0,0,0,0,0,0,Autophagy,0,ATG2,NA,404,198,29,NA,21.3590544554455,80.9037777777778,142.36375862069,NA,10.6270198019802,12.1257727272727,30.5961724137931
40,0.0275,-0.025942979584443,NA,-0.009846153846154,0,0,0,1,0,0,0,0,0,0,RNA-related,1,MED1,10,1877,NA,13,486.5011,20.8932445391582,NA,203.435384615385,56.112,26.1790229088972,NA,33.4600769230769
41,0.0028,-0.024644683021357,0.029112440191388,0.278923076923077,0,0,0,1,0,0,0,0,0,0,DNA-related,1,RSC1,5,1592,418,13,853.5638,21.1147167085427,85.3523899521531,124.576384615385,44.7612,20.1878542713568,24.0925693779904,50.6559230769231
42,0.083666666666667,0.049768192255639,0.014259259259259,-0.0185,1,0,0,0,0,0,0,0,0,0,RNA-related,1,BUD27,6,2793,189,2,637.565333333333,20.5967866093806,82.4093756613757,23.027,42.4123333333333,26.6267944862155,29.9635714285714,9.619
43,0.023888888888889,0.018258712758414,-0.000698360655738,0.0602,1,0,0,0,0,0,0,0,0,0,Stress-related,0,CTT1,9,3328,305,5,472.138555555556,21.1013596754808,84.1238393442623,226.429,61.2151111111111,13.7509903846154,17.3151475409836,122.3594
44,0.297,0.009550102249489,0.002284153005464,0,1,0,0,0,0,0,0,0,0,0,Autophagy,0,ATG13,2,489,183,1,66.237,19.95481799591,96.4962896174863,17.419,95.116,11.8818732106339,12.6705846994536,3.22499999999999
45,0.2555,NA,0.01205504587156,NA,1,0,0,0,1,0,0,0,0,0,Stress-related,0,TFS1,6,NA,109,NA,558.270666666667,NA,92.4416513761468,NA,83.5975,NA,23.0057247706422,NA
46,0.174714285714286,0.024105267691154,0.003831460674157,0.36175,1,0,0,1,0,0,0,0,0,0,Stress-related,0,MSN2,7,1334,267,4,772.908142857143,21.0983830584708,99.4882209737828,177.4435,35.6468571428571,20.0342646176912,20.5540262172285,37.33
47,0.1065,-0.013265530108696,0.021836065573771,0.069,1,0,0,0,1,0,0,0,0,0,-,1,RMD1,6,2760,122,3,277.224333333333,21.2081721014493,91.2154836065574,81.8293333333333,45.655,15.0956608695652,17.3775737704918,5.63833333333333
48,-0.0305,0.011247272066556,0.003020761245675,0.1222,1,0,0,0,0,0,0,0,0,0,Stress-related,0,GLC3,6,3005,289,5,450.892,21.0536016638935,91.3256920415225,95.5548,28.7355,11.2280299500832,17.3191349480969,8.4812
49,0.0395,-0.019001499456258,0.001215584415584,0.098466666666667,0,0,0,1,0,0,0,0,0,0,RNA-related,1,NSI1,14,3292,385,15,674.337928571429,22.2314079586877,75.707812987013,170.6924,88.0437857142857,12.882237545565,13.7718519480519,24.6108
50,0.356,0.008438781078524,0.055609375,0.062666666666667,1,0,0,1,0,0,0,0,0,0,Proteasome,0,RPT1,2,1057,128,12,517.5785,21.3191400189215,109.0653671875,108.883833333333,92.9645,161.816508041627,197.8385234375,64.107
51,0.1985,-0.025504386522911,0.026220588235294,0.09125,1,0,0,1,0,0,0,0,0,0,DNA-related,1,TOF1,4,742,204,16,698.199,21.4741900269542,94.7945490196078,171.2359375,24.3245,15.1543477088949,18.2520882352941,7.5900625
52,-0.058,-0.012450177761628,0.002100917431193,0.251666666666667,0,0,0,1,0,0,0,0,0,0,RNA-related,1,INO2,4,1376,218,3,741.69575,21.0299084302326,90.4802706422018,58.3166666666667,10.28775,11.4427558139535,11.9869128440367,39.2276666666667
53,0.036166666666667,0.001640483308569,-0.005122222222222,0,1,0,0,0,0,0,0,0,0,0,Autophagy,0,ATG1,6,2019,180,2,1021.90583333333,21.0328811292719,84.7458611111111,43.138,18.082,10.9276879643388,13.5945277777778,43.3785
54,-0.041,0.000305386056106,NA,NA,1,0,0,1,0,0,0,0,0,0,Autophagy,0,ATG17,4,2424,NA,NA,926.76775,20.734529290429,NA,NA,79.691,7.83426815181518,NA,NA
55,NA,-0.020326202509167,NA,NA,0,0,0,0,1,0,0,0,0,0,Stress-related,0,WSC3,NA,1909,NA,NA,NA,22.9992001047669,NA,NA,NA,9.65221739130435,NA,NA
56,-0.057666666666667,NA,NA,NA,1,1,1,0,0,0,0,0,0,0,Apoptosis ,1,YSP2,9,NA,NA,NA,712.177333333333,NA,NA,NA,31.5761111111111,NA,NA,NA
57,NA,-0.022199768467252,0.020184971098266,NA,0,1,0,1,0,0,0,0,0,0,Stress-related,0,HSF1,NA,1481,173,NA,NA,20.6648899392302,90.3519826589595,NA,NA,19.5984584740041,24.9422774566474,NA
58,0.156,0.01880868524971,NA,NA,0,0,0,0,0,0,0,1,0,0,Proteasome,1,UBI4,3,861,NA,NA,863.058333333333,20.8001695702671,NA,NA,49.0993333333333,16.0088408826945,NA,NA
59,-0.0195,0.045548868121891,NA,0.01475,1,0,0,0,1,0,0,0,0,0,Autophagy,0,ATG8,4,804,NA,4,772.03425,21.0330584577114,NA,400.04575,48.22825,27.4847039800995,NA,220.48775
60,0.0312,NA,0.013771428571429,0.023333333333333,0,0,0,0,0,0,0,0,0,0,Structural,0,SPC42,10,NA,140,9,1007.6723,NA,89.0534714285714,143.980111111111,23.2145,NA,21.7149928571429,43.938
61,-0.018,-0.008357976600567,0.005194968553459,0.108708333333333,0,0,1,0,0,0,0,0,0,0,Autophagy,0,ATG39,8,2118,159,24,460.274625,21.0713677998111,91.6017295597484,105.127458333333,40.13,8.57077148253069,11.8281698113208,25.17625
62,NA,-0.018016207383721,-0.006258620689655,0.1860625,0,0,0,0,1,0,0,0,0,0,Protease,0,PFF1,NA,1376,116,16,NA,21.1814396802326,89.5731293103448,87.8885,NA,9.28385247093023,9.63839655172414,19.1319375
63,0.629,-0.011602817507246,-0.005919191919192,0.002038461538462,0,0,0,0,1,0,0,0,0,0,-,1,AVT2,1,1725,99,26,34.583,20.7476092753623,94.0076161616162,125.029115384615,16.84,7.2682515942029,11.1017070707071,24.7776538461538
64,0.2406,-0.004410833457944,0.0143125,0.2585,1,0,0,1,0,0,0,0,0,0,Stress-related,0,MSN4,5,535,96,6,64.1584,21.9531252336449,91.7339479166667,104.981,80.3638,9.81761869158879,16.652625,29.754
65,0,-0.000437889134809,0.002712195121951,0.009363636363636,1,0,0,0,0,0,0,0,0,0,Autophagy,0,ATG12,2,994,205,11,312.4655,20.4484688128773,96.4299219512195,163.479363636364,52.837,7.23611971830986,10.7194536585366,41.2132727272727
66,0,-0.01736658452381,0.004559322033898,0.196666666666667,1,0,0,0,1,0,0,0,0,0,Autophagy,0,VAC8,3,1680,59,3,521.991666666667,21.1729261904762,104.484542372881,203.007,59.8296666666667,110.716656547619,139.261677966102,244.859
