,3n75 wt,half,fiber,wt,cytosol,mitochondria,ER,Nucleus,Vacuole,Plasma-membrane,budneck,Peroxisome,golgi,lipid droplet,Category,SGA-hit,names,n3n75 wt,nhalf,nfiber,nwt,y3n75 wt,yhalf,yfiber,ywt,r3n75 wt,rhalf,rfiber,rwt
1,0.9895,0.892580558055806,0.954742372881356,0.968,1,0,0,0,0,0,0,0,0,0,Oxidative-stress,1,GND1,2,1111,295,54,347.096,28.733100810081,93.3824847457627,152.08787037037,628.766,1820.58729792979,1851.51863050847,1015.46846296296
2,0.968181818181818,0.908308441558442,0.947288541666667,0.9764,0,1,1,0,0,0,0,0,0,1,Lipid-Related,1,ERG6,11,1232,960,5,572.714363636364,22.1492743506493,75.2688791666667,117.9942,246.979363636364,318.346369318182,277.071183333333,245.3404
3,0.977142857142857,0.908568702290076,0.949395320197044,0.970035714285714,1,0,0,0,0,0,0,0,0,0,Stress-related,0,PUB1,14,524,812,28,786.392642857143,22.7370305343511,76.1411108374384,149.737928571429,218.306857142857,318.796381679389,289.469371921182,111.036642857143
4,0.953833333333333,NA,0.964105702364395,0.960166666666667,0,0,0,1,0,0,0,0,0,0,Proteasome,0,PRE1,6,NA,719,6,704.792,NA,83.581933240612,115.0385,51.5238333333333,NA,178.933509040334,154.538
5,0.994,0.910860486048605,0.944147959183673,0.967833333333333,1,0,0,0,0,0,0,0,0,0,Protease,0,SDD3,1,1111,392,18,1453.325,21.2699135913591,76.2734617346939,122.633611111111,35.497,50.0511134113411,53.2584285714286,41.6623333333333
6,0.987,0.8816975,0.9566875,0.901,0,0,1,0,0,0,0,0,0,0,AA-related,1,BAP2,2,1200,368,1,1110.527,19.6518758333333,86.8434809782609,43.459,367.2165,206.646744166667,234.170442934783,218.327
7,0.959,0.90553483992467,0.958921495327103,0.967,1,0,0,0,0,0,0,0,0,0,Stress-related,0,TPS1,9,1593,535,1,646.016888888889,21.1858179535468,84.204814953271,11.278,48.765,78.171593220339,77.7227588785047,3.638
8,0.99,0.906795986622074,0.955900900900901,0.9775,1,0,0,0,0,0,0,0,0,0,Lipid-Related,1,PDR17,5,598,222,2,1184.605,21.5139364548495,84.2452702702703,193.152,16.6752,19.9995568561873,20.0077882882883,50.141
9,0.9762,0.897955010224949,0.960676470588235,0.965,1,0,0,0,0,0,0,0,0,0,AA-related,0,ARG4,5,489,170,1,733.8238,22.4571697341513,88.6974705882353,233.046,454.3672,156.652038854806,131.336676470588,692.783
10,0.966875,0.888471248246844,0.964547445255474,0.993,0,1,0,0,0,0,0,0,0,0,Stress-related,0,TPS2,8,713,137,1,104.150875,23.4712454417952,91.801503649635,319.491,78.66425,46.7201683029453,45.0431897810219,88.611
11,0.979833333333333,0.896078723404255,0.964424354243542,0.960666666666667,1,0,0,1,0,0,0,0,0,0,Oxygen-growth,1,SPE2,6,1410,271,3,365.5935,21.5587914893617,89.1782361623616,91.463,125.303666666667,96.2891035460993,99.3667158671587,181.408333333333
12,0.960571428571429,0.901825,0.965997105643994,0.984,1,0,0,1,0,0,0,0,0,0,Stress-related,0,GSY2,7,1280,691,1,407.856428571429,21.89800859375,88.3492387843705,325.225,74.7161428571429,29.11451953125,27.981008683068,190.621
13,0.983333333333333,0.904299749687109,0.948210784313726,0.92975,1,0,0,0,0,0,0,0,0,0,Multivesicular-body-sorting,1,IST1,15,1598,612,24,948.6522,22.0041576971214,77.3761683006536,124.063666666667,63.9224666666667,6.33156445556946,7.50247385620915,8.87333333333333
14,0.981,0.900299719887955,0.958397959183673,0.962,1,0,1,0,0,0,0,0,0,0,Multivesicular-body-sorting,0,VPS4,2,1428,490,11,128.7055,21.8777317927171,84.6926408163265,99.8685454545455,4.604,38.4635238095238,38.0498612244898,70.2283636363636
15,0.982684210526316,0.904193894855851,0.950497536945813,0.971625,0,0,0,0,0,0,0,0,0,0,Stress-related,1,TIF3,19,1769,812,24,829.071157894737,22.2149055963821,78.4996613300493,169.791333333333,144.965210526316,362.011470322216,338.397615763547,166.733875
16,0.982166666666667,0.909874509803922,0.960061320754717,0.959,1,0,0,1,0,0,0,0,0,0,Chaperone,1,HCH1,12,1530,212,4,799.902833333333,21.3833352941176,88.0290801886792,212.97375,201.143916666667,290.214436601307,307.387245283019,152.51375
17,0.9598,0.94239898989899,0.950286153846154,0.98225,0,1,0,0,0,0,0,0,0,0,Protease,0,CYM1,5,2772,325,4,499.5066,19.662516955267,85.8232061538462,203.923,57.2146,29.9662867965368,32.3789292307692,75.84825
18,0.9656,0.881529886914378,0.962159574468085,0.947,0,0,0,1,0,0,0,0,0,0,Proteasome,0,PRE9,5,2476,282,5,218.2116,21.217281098546,80.5045496453901,108.835,90.4086,144.024729402262,169.972361702128,55.5036
19,0.919307692307692,0.867121100917431,0.95790861618799,0.961166666666667,0,0,0,1,0,0,0,0,0,0,Proteasome,0,RPN2,13,545,383,6,162.756461538462,21.1546587155963,72.8742349869452,126.359666666667,107.302846153846,171.251851376147,199.300879895561,109.903
20,0.969875,0.876014248704663,0.967493606138107,NA,0,0,0,1,0,0,0,0,0,0,Proteasome,0,PRE6,8,772,391,NA,345.39675,21.5492849740933,87.9553657289003,NA,63.852375,134.20232253886,179.021465473146,NA
21,NA,NA,0.961595419847328,0.9085,0,0,0,1,0,0,0,0,0,0,RNA-related,1,REF2,NA,NA,393,4,NA,NA,81.415048346056,59.351,NA,NA,24.5234936386768,62.611
22,0.9758,NA,0.953125984251968,0.9802,1,0,0,0,0,0,0,0,0,0,Lipid-Related,1,YPK1,5,NA,127,5,140.4484,NA,84.1894881889764,105.7634,106.3994,NA,31.4678582677165,104.7972
23,0.934,0.903058659217877,0.954568773234201,0.96,1,0,0,0,0,0,0,0,0,0,Autophagy,0,ATG3,1,716,269,2,123.004,21.1072011173184,82.8393234200744,86.1295,219.681,16.3624553072626,17.8773457249071,53.0355
24,0.448,0.898720085470085,0.955544,0.951076923076923,1,0,0,0,1,0,0,0,0,0,Autophagy,0,ATG18,1,2808,250,13,5.111,21.1098703703704,88.85568,168.851461538462,3.706,25.2760861823362,28.458668,27.2211538461538
25,0.9836,0.899397727272727,0.938294511378849,0.925888888888889,1,0,0,1,0,0,0,0,0,0,Proteasome,0,RPN14,15,616,747,18,672.8284,19.8466412337662,71.8932516733601,91.9821666666667,54.1428,11.3173149350649,11.1137630522088,23.0063888888889
26,0.95825,0.9104255547602,0.948720930232558,0.950833333333333,0,0,1,0,0,0,0,0,0,0,Autophagy,0,ATG40,12,2794,301,6,573.812666666667,19.242529706514,80.8055149501661,116.768,45.1048333333333,11.7002448103078,12.014023255814,30.7746666666667
27,0.976,0.893679368348781,0.939444897959184,0.972181818181818,1,0,0,0,0,0,0,0,0,0,Signaling,1,STE50,3,2913,490,11,81.528,18.9072409886715,72.2978408163265,163.473909090909,77.6796666666667,8.07447991761071,10.4783714285714,5.978
28,0.956739130434783,0.8877872,0.953166666666667,0.96247619047619,0,0,1,0,0,0,0,0,0,0,Autophagy,0,ATG15,23,1875,252,21,360.715739130435,18.8011578666667,91.6216468253968,127.755142857143,72.9333913043478,15.6173264,18.0446428571429,37.5941904761905
29,0.9634,0.890435916542474,0.943893939393939,0.968943298969072,1,0,0,1,0,0,0,0,0,0,-,1,PTC1,5,1342,264,194,473.587,19.3681639344262,73.465196969697,127.168159793814,81.4368,6.31234724292101,7.21336363636364,5.95581958762887
30,0.9495,0.898245698924731,0.94554854368932,0.893571428571429,1,0,0,0,0,0,0,0,0,0,Stress-related,0,PGM2,4,1860,206,7,400.10475,19.2646344086022,76.0818883495146,45.0264285714286,44.12875,27.7071661290323,38.4811941747573,141.870428571429
31,0.890166666666667,0.900749667110519,0.946864583333333,0.98325,1,0,0,1,0,0,0,0,0,0,Stress-related,0,PBP1,6,1502,192,4,288.137333333333,19.5072303595206,83.9019895833333,205.0005,75.3518333333333,51.5714007989348,55.3386666666667,86.17
32,0.964,0.871381172839506,0.944158798283262,0.956,0,0,0,1,0,0,0,0,0,0,Proteasome,0,BLM10,1,648,233,6,49.42,19.8560663580247,81.691025751073,80.1066666666667,26.439,24.6707731481481,30.5540987124464,33.6541666666667
33,0.9905,0.898923198316675,0.958646341463415,0.8712,1,0,0,1,0,0,0,0,0,0,Stress-related,0,YAP1,2,1901,82,5,343.832,19.7856638611257,89.4091585365854,108.7256,179.561,13.9501604418727,18.1608536585366,15.6804
34,0.979,0.902028859060403,0.952962732919255,0.948833333333333,1,0,0,0,0,0,0,0,0,0,Stress-related,0,TSL1,2,1490,161,6,651.4645,19.7771255033557,86.3227080745342,88.6715,137.413,22.9222510067114,31.1793167701863,25.7971666666667
35,0.954625,0.881542922374429,0.940164835164835,0.945,0,0,0,1,0,0,0,0,0,0,-,1,LRS4,8,2190,91,2,236.195125,19.2856118721461,89.6263626373626,48.0465,108.356625,10.3938105022831,17.3213406593407,66.643
36,0.9739,0.889950603732163,0.945931330472103,0.872,0,0,0,0,0,0,0,0,0,0,Vacuole-related,1,VPS3,10,2733,233,4,187.5107,20.3064178558361,82.2441373390558,28.02175,26.2705,9.72042517380168,10.49630472103,21.42875
37,0.96615,0.887176394293126,0.926845828933474,0.921933333333333,0,0,0,0,0,0,0,0,0,0,Structural,1,KRE28,20,1542,947,15,233.61815,20.3765207522698,65.3346948257656,128.780133333333,47.91275,19.3347548638132,19.342045406547,22.8858
38,0.965464285714286,0.903749496306246,0.94731914893617,0.914142857142857,0,0,0,0,0,1,1,0,0,0,Structural,1,BNI1,28,1489,329,14,305.110428571429,20.4593049026192,90.278,39.4420714285714,34.1988928571429,15.1189845533915,15.8549300911854,20.3212857142857
39,0.951307692307692,0.89702962962963,0.949425641025641,0.963838709677419,1,0,0,0,0,0,0,0,0,0,Autophagy,0,ATG2,13,405,195,31,158.776384615385,20.8512790123457,77.5409692307692,134.490741935484,38.3003846153846,8.4476987654321,9.51584615384615,11.0735161290323
40,0.974166666666667,0.87217697228145,0.938424489795918,0.960222222222222,0,0,0,1,0,0,0,0,0,0,RNA-related,1,MED1,12,1876,245,18,519.536333333333,19.6973731343284,79.5941918367347,178.753833333333,46.9835,23.1947622601279,24.7219183673469,25.0814444444444
41,0.989666666666667,0.871295539033457,0.950381516587678,0.960846153846154,0,0,0,1,0,0,0,0,0,0,DNA-related,1,RSC1,6,1614,422,13,893.1885,19.0481586121437,81.0602132701422,111.585384615385,37.0001666666667,17.0191226765799,21.5389976303318,46.9173076923077
42,0.981857142857143,0.898699181203275,0.945484848484848,0.8405,1,0,0,0,0,0,0,0,0,0,RNA-related,1,BUD27,7,2809,198,4,516.491285714286,19.0251210395158,76.6501515151515,34.696,32.4658571428571,21.8977436810253,25.1374090909091,28.82825
43,0.927076923076923,0.89826962252846,0.943851265822785,0.979857142857143,1,0,0,0,0,0,0,0,0,0,Stress-related,0,CTT1,13,3338,316,7,335.426307692308,19.5174907130018,80.0361170886076,225.828857142857,43.2560769230769,10.3144508687837,14.0486329113924,87.7985714285714
44,0.959666666666667,0.899692464358452,0.955055555555556,0.881,1,0,0,0,0,0,0,0,0,0,Autophagy,0,ATG13,3,491,180,1,94.3683333333333,19.2411038696538,93.7115777777778,8.609,61.889,8.82834623217923,9.63671111111111,2.148
45,0.968833333333333,NA,0.955380952380952,NA,1,0,0,0,1,0,0,0,0,0,Stress-related,0,TFS1,6,NA,105,NA,531.493666666667,NA,89.6461904761905,NA,79.6425,NA,19.793980952381,NA
46,0.972,0.897955156950673,0.947446564885496,0.9652,1,0,0,1,0,0,0,0,0,0,Stress-related,0,MSN2,6,1338,262,5,652.447666666667,20.0368976083707,94.7912671755725,151.6526,35.1203333333333,16.4226674140508,16.7761374045802,28.115
47,0.983666666666667,0.899420503597122,0.953889830508475,0.9126,1,0,0,0,1,0,0,0,0,0,-,1,RMD1,6,2780,118,5,207.693,19.6590107913669,89.0679406779661,54.9894,42.4523333333333,11.4739492805755,13.8078898305085,3.1092
48,0.9695,0.899177799933533,0.949047297297297,0.939833333333333,1,0,0,0,0,0,0,0,0,0,Stress-related,0,GLC3,10,3009,296,6,361.5621,19.8347082087072,86.6964121621622,70.3235,62.7779,8.28755699567963,14.5222635135135,5.413
49,0.982944444444444,0.88968530834341,0.934197435897436,0.958263157894737,0,0,0,1,0,0,0,0,0,0,RNA-related,1,NSI1,18,3308,390,19,648.205777777778,20.4098422007255,71.7522461538462,163.213947368421,74.9057777777778,10.2140471584039,11.3079692307692,19.7500526315789
50,0.985,0.878963172804533,0.945846153846154,0.953833333333333,1,0,0,1,0,0,0,0,0,0,Proteasome,0,RPT1,2,1059,130,12,481.219,20.1701114258735,105.633384615385,103.621083333333,87.061,154.318889518414,187.842276923077,58.9461666666667
51,0.9234,0.881782550335571,0.946125,0.965333333333333,1,0,0,1,0,0,0,0,0,0,DNA-related,1,TOF1,5,745,192,18,683.8726,20.5664899328859,92.753859375,165.708277777778,18.297,13.1065422818792,16.329625,5.52455555555556
52,0.976285714285714,0.892744573082489,0.948926267281106,0.953,0,0,0,1,0,0,0,0,0,0,RNA-related,1,INO2,7,1382,217,3,358.450857142857,19.8908668596237,86.7443225806452,47.4846666666667,51.6961428571429,8.9067510853835,9.86963594470046,37.2233333333333
53,0.977833333333333,0.901652293218346,0.937677966101695,0.916,1,0,0,0,0,0,0,0,0,0,Autophagy,0,ATG1,6,2551,177,2,894.263666666667,19.6844770678165,80.6006949152542,30.19,14.1888333333333,7.97060250882007,10.7742485875706,40.189
54,0.967545454545454,0.906241948802642,0.956752475247525,0.926857142857143,1,0,0,1,0,0,0,0,0,0,Autophagy,0,ATG17,11,2422,101,7,533.111363636364,19.5300350949628,87.4078118811881,87.4508571428571,50.2550909090909,5.48045747316268,6.9240198019802,66.4414285714286
55,NA,0.901386210471747,0.938245454545454,0.952,0,0,0,0,1,0,0,0,0,0,Stress-related,0,WSC3,NA,1929,110,5,NA,20.8384131674443,78.5099818181818,90.2484,NA,6.75428304821151,14.1923363636364,15.3788
56,0.965642857142857,NA,0.955610619469026,0.941166666666667,1,1,1,0,0,0,0,0,0,0,Apoptosis ,1,YSP2,14,NA,113,6,440.964,NA,96.848389380531,53.5816666666667,55.222,NA,8.61046902654867,66.5615
57,NA,0.877184834123223,0.947535971223022,0.9705,0,1,0,1,0,0,0,0,0,0,Stress-related,0,HSF1,NA,1477,278,6,NA,19.6821868652674,87.7684064748201,126.874,NA,16.8915897088693,22.3744136690647,75.869
58,0.985333333333333,0.899456876456876,0.936780821917808,0.983,0,0,0,0,0,0,0,1,0,0,Proteasome,1,UBI4,3,858,73,3,830.153333333333,19.8121386946387,90.1279315068493,178.988,45.1376666666667,12.7633111888112,32.9201232876712,16.2703333333333
59,0.9722,0.906231213872832,0.954531914893617,0.968428571428571,1,0,0,0,1,0,0,0,0,0,Autophagy,0,ATG8,5,1384,47,7,582.2634,19.9850007225434,90.9498085106383,278.661571428571,54.5154,24.4053670520231,33.8167659574468,116.275142857143
60,0.979363636363636,NA,0.923006849315068,0.941777777777778,0,0,0,0,0,0,0,0,0,0,Structural,0,SPC42,11,NA,146,9,793.289181818182,NA,83.6079794520548,121.598777777778,20.0857272727273,NA,18.0829383561644,40.1384444444444
61,0.969111111111111,0.897449645390071,0.952119496855346,0.963571428571429,0,0,1,0,0,0,0,0,0,0,Autophagy,0,ATG39,9,2115,159,28,387.973888888889,20.0242817966903,88.1392641509434,112.167678571429,34.0894444444444,6.55221418439716,9.42554088050314,20.4398928571429
62,NA,0.898169571045576,0.936451327433628,0.947333333333333,0,0,0,0,1,0,0,0,0,0,Protease,0,PFF1,NA,1492,113,18,NA,20.2448398123324,87.4788318584071,86.3900555555555,NA,7.22244302949062,7.53373451327434,15.7666666666667
63,0.931,0.899653734800232,0.94930303030303,0.957607142857143,0,0,0,0,1,0,0,0,0,0,-,1,AVT2,1,1727,99,28,19.033,19.8564545454545,90.4977878787879,111.852678571429,15.329,5.61792588303416,9.22311111111111,21.3521785714286
64,0.963,0.888621072088725,0.949215909090909,0.913666666666667,1,0,0,1,0,0,0,0,0,0,Stress-related,0,MSN4,5,541,88,6,45.4814,21.1017171903882,90.8362613636364,99.9548333333333,77.9218,7.12225138632163,15.3027840909091,27.3958333333333
65,0.9565,0.891720202020202,0.951586206896552,0.949583333333333,1,0,0,0,0,0,0,0,0,0,Autophagy,0,ATG12,2,990,203,12,289.748,19.4314616161616,92.6273546798029,128.100083333333,49.16,5.11054747474747,7.29034482758621,36.0994166666667
66,0.962714285714286,0.875377448071217,0.946012345679012,0.9535,1,0,0,0,1,0,0,0,0,0,Autophagy,0,VAC8,7,1685,81,2,331.942714285714,19.6212005934718,92.5747901234568,120.53,76.9574285714286,104.019157863501,130.806469135802,277.526
67,0.948333333333333,0.90387573964497,0.95146783625731,0.968,0,0,0,0,1,0,0,0,0,0,-,1,NPR2,9,676,171,6,470.265666666667,19.5028269230769,89.6722046783626,58.4546666666667,11.7902222222222,5.53069674556213,6.38866666666667,73.6008333333333
68,0.9698,0.898454833597464,0.948991666666667,0.917833333333333,0,1,1,1,0,0,0,0,0,0,Protease,0,STE24,5,631,120,6,546.213,20.1020015847861,92.3543416666667,132.022666666667,155.5024,87.4696719492868,92.287075,49.8425
69,0.976857142857143,0.899356248090437,0.957612903225806,NA,0,0,1,0,0,0,0,0,0,0,-,1,VMA21,7,3273,31,NA,551.777142857143,19.8009318667889,85.4313870967742,NA,27.7331428571429,6.22572532844485,8.0548064516129,NA
70,0.982125,0.875529109589041,0.944136842105263,0.989,0,0,0,0,1,0,0,0,0,0,Protease,0,ECM14,8,1168,95,1,148.497875,19.074613869863,86.3674842105263,18.42,40.547125,18.5062628424658,20.1296947368421,32.661
