,3n75 wt,half,fiber,wt,cytosol,mitochondria,ER,Nucleus,Vacuole,Plasma-membrane,budneck,Peroxisome,golgi,lipid droplet,Category,SGA-hit,names,n3n75 wt,nhalf,nfiber,nwt,y3n75 wt,yhalf,yfiber,ywt,r3n75 wt,rhalf,rfiber,rwt
1,0.359296848688623,0.11145528766901,0.057656987320377,0.229161470199415,1,0,0,0,0,0,0,0,0,0,Oxidative-stress,1,GND1,727,1539,1362,1853,2436.789565337,29.4234587394412,83.3776497797357,483.797462493254,2113.34477028886,1826.71122547109,1920.19346035242,1810.60628818133
2,0.043677949588681,0.268896050184998,0.175291675491361,0.051569300460143,0,1,1,0,0,0,0,0,0,1,Lipid-Related,1,ERG6,2131,1438,2797,487,2325.81204551854,23.9560278164117,72.4259710404004,490.648351129363,330.895098076021,341.717543810848,293.921127636754,317.19059137577
3,0.262162274463797,0.09143412408591,0.054370454547319,0.198967153718691,1,0,0,0,0,0,0,0,0,0,Stress-related,0,PUB1,2393,554,2516,1968,2326.39959632261,23.1500631768953,74.1331029411765,492.049295223577,325.870461763477,320.246590252708,311.491054848967,306.244267276423
4,0.603738958521865,NA,0.625113064203372,0.615486211040299,0,0,0,1,0,0,0,0,0,0,Proteasome,0,PRE1,629,NA,1882,1227,2425.92154372019,NA,79.2627640807651,504.796681336593,155.009583465819,NA,160.418620616366,150.492570497148
5,0.244542801944909,0.134393693090084,0.073177876436541,0.189675091515751,1,0,0,0,0,0,0,0,0,0,Protease,0,SDD3,530,1175,974,2064,2292.33969622642,21.2807174468085,73.4259507186858,467.651815406977,55.1441716981132,49.9716544680851,54.6948993839836,52.6058144379845
6,0.001224893633082,0.051364317181065,0.01675005128672,0.004714240475627,0,0,1,0,0,0,0,0,0,0,AA-related,1,BAP2,493,1278,1129,894,2394.03620892495,19.7796447574335,77.2255969884854,521.778880313199,217.674886409736,206.359320813772,210.087106288751,209.786294183445
7,0.209082284192833,0.09743809656022,0.048488540805562,0.16997640469227,1,0,0,0,0,0,0,0,0,0,Stress-related,0,TPS1,1371,1656,1366,797,2316.37824872356,21.2997481884058,77.8643257686676,502.008673776662,84.8310882567469,79.8458641304348,80.8933382137628,79.1206549560853
8,0.152607189529808,0.110060459489706,0.139245138115711,0.128546463858232,1,0,0,0,0,0,0,0,0,0,Lipid-Related,1,PDR17,1414,630,571,542,2339.69986562942,21.5209285714286,78.7200245183888,509.772767527675,23.2805162659123,20.1836079365079,20.4777530647986,21.0206365313653
9,0.24035536544984,0.081791786257141,0.071006902165652,0.212649745151497,1,0,0,0,0,0,0,0,0,0,AA-related,0,ARG4,1087,585,494,343,2470.32177644894,24.1194598290598,79.18345951417,490.142915451895,187.483973321067,210.314406837607,147.300923076923,156.773548104956
10,0.223289662575331,0.099216908399507,0.046737117497218,0.19453187484743,0,1,0,0,0,0,0,0,0,0,Stress-related,0,TPS2,1128,845,498,159,2334.72730407801,24.1123301775148,79.929,455.801742138365,50.2298102836879,48.6942911242604,44.8316827309237,48.3957987421384
11,0.545046377836986,0.060293653217644,0.280043367721135,0.470331948419043,1,0,0,1,0,0,0,0,0,0,Oxygen-growth,1,SPE2,2392,1544,804,394,2360.11988419732,21.8671334196891,79.1493992537313,505.936322335025,96.7296939799331,96.7921379533679,98.4972263681592,94.0705253807107
12,0.408609213713617,0.081051868177643,0.328988769675751,0.387615134164858,1,0,0,1,0,0,0,0,0,0,Stress-related,0,GSY2,2560,1352,1834,941,2391.84185625,21.9792056213018,79.8861139585605,522.382750265675,29.29526953125,29.3311486686391,27.1639683751363,27.5319373007439
13,0.046262141340821,0.080086669213619,0.054291715368417,0.040138696849084,1,0,0,0,0,0,0,0,0,0,Multivesicular-body-sorting,1,IST1,3424,1702,2330,805,2196.7234713785,22.3715857814336,72.8898854077253,471.083529192547,7.58182038551402,6.53681022326674,6.47162746781116,6.45274658385093
14,0.309182214675967,0.077709262649649,0.276258261653096,0.326133202062059,1,0,1,0,0,0,0,0,0,0,Multivesicular-body-sorting,0,VPS4,1001,1505,1972,1839,2251.5348021978,21.8730857142857,77.9248149087221,472.072604676455,40.3301328671329,38.5216797342193,39.0342053752535,39.5312501359434
15,0.278836274597805,0.087039645160662,0.048516844382365,0.213642983400293,0,0,0,0,0,0,0,0,0,0,Stress-related,1,TIF3,2815,1826,3395,2860,2160.97125719361,22.1152382256298,73.9357873343152,466.639294405594,353.879287033748,362.039633077766,359.801563181149,353.670777622378
16,0.405871562695303,0.075399861872153,0.174582991600441,0.348012936847956,1,0,0,1,0,0,0,0,0,0,Chaperone,1,HCH1,1378,1563,747,797,2269.96049201742,21.3665834932821,79.1881311914324,490.283982434128,291.711192307692,290.256787587972,307.858174029451,300.906874529486
17,0.024099947458657,0.729171184139821,0.223232246373493,0.034839140820259,0,1,0,0,0,0,0,0,0,0,Protease,0,CYM1,847,2893,1137,1206,2258.14767650531,19.885909782233,76.9970114335972,459.271082089552,36.1148500590319,30.0117338403042,35.0404160070361,32.6911069651741
18,0.589511201622697,0.053343922747693,0.594456528890374,0.589789849879154,0,0,0,1,0,0,0,0,0,0,Proteasome,0,PRE9,929,2585,941,1416,2277.15473196986,21.3187760154739,74.5775611052072,460.513165960452,146.80179547901,146.079830560928,149.628280552604,138.400437146893
19,0.585818455783927,0.055154468581514,0.605536255232787,0.604951775017054,0,0,0,1,0,0,0,0,0,0,Proteasome,0,RPN2,1908,584,1460,1767,1924.3800639413,21.1815154109589,67.8861363013699,421.29775721562,167.582549790356,171.847635273973,181.731090410959,173.077936049802
20,0.576457657614619,0.058228008253197,0.627899379733693,0.578352917921837,0,0,0,1,0,0,0,0,0,0,Proteasome,0,PRE6,847,829,1331,749,2228.81168713105,21.9306911942099,79.1499481592787,483.29840987984,132.449351829988,137.188862484922,148.753068369647,136.563777036048
21,0.560472170129003,NA,0.548270411324183,0.536640032155807,0,0,0,1,0,0,0,0,0,0,RNA-related,1,REF2,572,NA,1549,1366,2323.8422972028,NA,76.0158734667527,477.428755490483,20.4779702797203,NA,19.358574564235,18.4594092240117
22,0.122273544156156,NA,0.061163878236979,0.105514963490342,1,0,0,0,0,0,0,0,0,0,Lipid-Related,1,YPK1,658,NA,499,524,2146.26987386018,NA,72.5983266533066,431.880958015267,36.3384650455927,NA,32.9086693386774,35.1450534351145
23,0.068081204055105,0.119760656392303,0.04998659183244,0.050706556583608,1,0,0,0,0,0,0,0,0,0,Autophagy,0,ATG3,1037,763,951,1116,2333.50661427194,21.2520576671035,77.4233659305994,492.167295698925,19.110587270974,16.3681363040629,16.7926803364879,17.1307231182796
24,0.083410242863037,0.066578253912075,0.103265069978124,0.083596792298467,1,0,0,0,1,0,0,0,0,0,Autophagy,0,ATG18,330,2943,812,1783,2410.76222424242,21.1862327556915,80.5265972906404,482.759305103758,28.4247696969697,25.3728929663609,27.3862278325123,25.658939988783
25,0.119725676617893,0.084671148971023,0.085447294829934,0.09135608417191,1,0,0,1,0,0,0,0,0,0,Proteasome,0,RPN14,2230,650,4405,1724,2085.46139013453,19.9130953846154,74.1857970488082,453.29762587007,13.553464573991,11.4012476923077,10.5932994324631,12.2218747099768
26,0.028659298849328,0.129550936825877,0.070537199087723,0.031728205056534,0,0,1,0,0,0,0,0,0,0,Autophagy,0,ATG40,1982,2887,2137,1252,2092.84863269425,19.2313349497749,78.8383818437061,462.770571884984,13.5408486377397,11.8181634915137,11.2375484323818,11.7748961661342
27,0.052825907829853,0.081648682323961,0.0419984879316,0.037636403813158,1,0,0,0,0,0,0,0,0,0,Signaling,1,STE50,915,3026,3073,948,2005.12580437158,19.0609296100463,72.9702180279857,480.22082278481,10.5048961748634,8.29755981493721,8.36639570452327,8.93694620253165
28,0.018022029349797,0.047513121356627,0.025627154225878,0.015676999139561,0,0,1,0,0,0,0,0,0,0,Autophagy,0,ATG15,1589,1950,1798,2653,1877.13776777848,18.814,84.3277002224694,427.05323558236,17.9441655129012,15.6340974358974,16.2078581757508,15.9910851865812
29,0.035582250235143,0.087329758934865,0.038942306221261,0.048888523183379,1,0,0,1,0,0,0,0,0,0,-,1,PTC1,1525,1429,1931,2934,2036.25047934426,19.6076689993002,74.5486116002072,403.772622358555,7.72800655737705,6.36356752974108,6.21317244950803,6.36630265848671
