"","half","misfolded","fiber","wt","cytosol","mitochondria","ER","Nucleus","Vacuole","Plasma-membrane","budneck","Peroxisome","golgi","lipid droplet","Category","SGA-hit","names","nhalf","nmisfolded","nfiber","nwt","yhalf","ymisfolded","yfiber","ywt","rhalf","rmisfolded","rfiber","rwt"
"1",0.964977695167286,0.913306358381503,0.956147727272727,0.941928571428571,1,0,0,0,0,0,0,0,0,0,"Oxidative-stress",1,"GND1",269,173,88,14,34.9835241635688,141.741011560694,289.825965909091,90.1922142857143,2097.74123048327,2579.9886416185,2097.93765909091,1012.33114285714
"2",0.932537373737374,0.876830508474576,0.915861538461539,0.9735,0,1,1,0,0,0,0,0,0,1,"Lipid-Related",1,"ERG6",495,177,65,4,32.4800484848485,129.888672316384,370.042476923077,70.1505,1273.01753737374,1180.6618700565,962.837861538462,258.76075
"3",0.968504761904762,0.929923809523809,0.944931034482759,0.981090909090909,1,0,0,0,0,0,0,0,0,0,"Stress-related",0,"PUB1",210,105,29,11,32.4962,129.372171428571,368.912310344828,253.701272727273,615.298576190476,652.510352380952,623.636655172414,332.459272727273
"4",0.891424581005587,0.898854085603113,0.927567567567568,0.98775,0,0,0,1,0,0,0,0,0,0,"Proteasome",0,"PRE1",537,514,111,4,31.7513780260708,130.075861867704,476.948477477477,127.0915,341.656648044693,410.792161478599,417.682810810811,211.077
"5",0.969548387096774,0.907806818181818,0.962536363636364,0.9885,1,0,0,0,0,0,0,0,0,0,"Protease",0,"SDD3",279,264,110,8,32.1588745519713,127.505776515152,368.189263636364,122.786375,92.5166093189964,107.440814393939,147.493636363636,170.975625
"6",0.765957055214724,0.771367841409692,0.881868421052632,0.970235294117647,0,0,1,0,0,0,0,0,0,0,"AA-related",1,"BAP2",326,454,76,17,29.8337883435583,114.388052863436,360.091394736842,116.476,348.085641104294,404.571612334802,444.232407894737,412.656411764706
"7",0.959201960784314,0.926278280542986,0.9532421875,0.9781,1,0,0,0,0,0,0,0,0,0,"Stress-related",0,"TPS1",510,442,128,10,31.6164274509804,122.318122171946,439.4435703125,98.3533,454.646605882353,507.872549773756,495.23496875,307.0549
"8",0.933988043478261,0.914769841269841,0.945814814814815,0.986545454545455,1,0,0,0,0,0,0,0,0,0,"Lipid-Related",1,"PDR17",920,378,27,11,31.7705,137.539375661376,420.932148148148,173.201363636364,37.9758641304348,51.1876878306878,71.4615555555555,159.510909090909
"9",0.962741706161137,0.913229411764706,0.952830882352941,0.972692307692308,1,0,0,0,0,0,0,0,0,0,"AA-related",0,"ARG4",422,170,136,13,31.5182962085308,133.939788235294,432.556397058824,160.500307692308,459.612452606635,492.173117647059,636.564191176471,435.595692307692
"10",0.953628440366972,0.91997385620915,0.970346153846154,0.977666666666667,0,1,0,0,0,0,0,0,0,0,"Stress-related",0,"TPS2",218,153,26,18,30.7190963302752,143.594039215686,206.176076923077,97.5248888888889,142.939880733945,171.28268627451,132.825384615385,201.695166666667
"11",0.959833333333333,0.917067307692308,0.948219696969697,0.99075,1,0,0,1,0,0,0,0,0,0,"Oxygen-growth",1,"SPE2",276,104,132,8,32.3573297101449,154.458365384615,494.033068181818,247.077875,172.335938405797,202.719211538462,196.926712121212,145.2325
