,nothing,half,fiber,wt,cytosol,mitochondria,ER,Nucleus,Vacuole,Plasma-membrane,budneck,Peroxisome,golgi,lipid droplet,Category,SGA-hit,names,nnothing,nhalf,nfiber,nwt,ynothing,yhalf,yfiber,ywt,rnothing,rhalf,rfiber,rwt
1,NA,2895.34739368999,2910.54652014652,2902.29924462522,1,0,0,0,0,0,0,0,0,0,Oxidative-stress,1,GND1,NA,2916,2730,1721,NA,27.3585133744856,108.804833699634,333.389399767577,NA,1798.24740363512,1829.72727838828,1835.91110226612
2,NA,1353.69672131148,1219.07897545358,1277.95398230088,0,1,1,0,0,0,0,0,0,1,Lipid-Related,1,ERG6,NA,732,937,565,NA,22.6003852459016,106.697235859125,366.165412389381,NA,303.439155737705,298.126687299893,305.637077876106
3,NA,521.582949308756,495.559832050385,511.868629671574,1,0,0,0,0,0,0,0,0,0,Stress-related,0,PUB1,NA,868,1429,883,NA,22.2522718894009,97.1921938418474,354.764193657984,NA,311.918638248848,293.658249825053,306.133012457531
4,NA,671.454724409449,766.356997971602,703.740442655936,0,0,0,1,0,0,0,0,0,0,Proteasome,0,PRE1,NA,508,493,497,NA,22.3483405511811,108.35084178499,346.049887323944,NA,163.224856299213,179.692387423935,166.158569416499
5,NA,86.3407022106632,88.8011611030479,90.7624768946396,1,0,0,0,0,0,0,0,0,0,Protease,0,SDD3,NA,769,689,1082,NA,20.8640494148244,106.686037735849,361.535873382625,NA,52.1695981794538,53.6314615384615,55.2834852125693
6,2784.76470588235,655.091354996934,678.642972536349,689.346256684492,0,0,1,0,0,0,0,0,0,0,AA-related,1,BAP2,510,1631,619,748,29.7971941176471,19.1427541385653,113.500227786753,373.557292780749,855.527050980392,214.793628448804,208.286723747981,214.180300802139
7,NA,148.404102564103,148.503753753754,154.762784701332,1,0,0,0,0,0,0,0,0,0,Stress-related,0,TPS1,NA,1950,1332,2327,NA,21.1068846153846,98.6595593093093,332.559710356682,NA,81.1542697435897,81.2918378378378,83.7724963472282
8,NA,37.1431980906921,38.5244385733157,37.1773628938156,1,0,0,0,0,0,0,0,0,0,Lipid-Related,1,PDR17,NA,419,757,857,NA,22.11938424821,96.7559484808454,324.526579929988,NA,19.1469140811456,19.9617476882431,19.6604445740957
9,NA,213.88847235239,189.059861857252,202.522702104097,1,0,0,0,0,0,0,0,0,0,AA-related,0,ARG4,NA,1067,1303,903,NA,21.7671518275539,98.7279516500384,346.265398671096,NA,130.551849109653,114.828603223331,121.681435215947
10,422,94.8642297650131,100.961832061069,96.7408637873754,0,1,0,0,0,0,0,0,0,0,Stress-related,0,TPS2,106,383,262,301,39.1045849056604,22.2492323759791,109.093759541985,354.12865448505,245.430075471698,51.7013080939948,55.534465648855,53.0093820598007
11,NA,143.805357142857,135.336820083682,140.52658788774,1,0,0,1,0,0,0,0,0,0,Oxygen-growth,1,SPE2,NA,1120,956,1354,NA,21.6777955357143,98.4905355648536,339.785086410635,NA,93.0186580357143,87.133010460251,90.4795856720827
12,NA,52.6036546943919,50.2210268948655,50.2059025394647,1,0,0,1,0,0,0,0,0,0,Stress-related,0,GSY2,NA,1587,2045,1457,NA,21.574018273472,95.5697667481663,346.51888538092,NA,26.5019174543163,25.1584542787286,25.9247268359643
13,NA,25.5496347228191,25.3419399860433,25.128,1,0,0,0,0,0,0,0,0,0,Multivesicular-body-sorting,1,IST1,NA,2327,1433,1125,NA,21.8982501074345,102.750384508025,323.093859555556,NA,6.40986119467125,6.1648206559665,6.38184444444444
14,NA,135.26706231454,121.69375,121.99512987013,1,0,1,0,0,0,0,0,0,0,Multivesicular-body-sorting,0,VPS4,NA,337,160,616,NA,22.0892818991098,95.61649375,351.623894480519,NA,39.053412462908,37.34291875,37.9825795454545
15,NA,644.807197943445,619.90053285968,624.72480620155,0,0,0,0,0,0,0,0,0,0,Stress-related,1,TIF3,NA,389,563,774,NA,21.5913804627249,96.6145861456483,374.192005167959,NA,368.035007712082,354.647431616341,358.143219638243
16,NA,456.530909090909,456.126,459.752100840336,1,0,0,1,0,0,0,0,0,0,Chaperone,1,HCH1,NA,550,500,714,NA,21.6570181818182,105.441576,362.569348739496,NA,301.210229090909,295.63215,303.199985994398
17,NA,293.471950133571,316.251269035533,319.545222929936,0,1,0,0,0,0,0,0,0,0,Protease,0,CYM1,NA,1123,788,785,NA,21.5678299198575,100.31225,352.531736305732,NA,32.5785369545859,33.5816776649746,35.3502942675159
18,NA,652.900568181818,763.819672131148,730.830445544554,0,0,0,1,0,0,0,0,0,0,Proteasome,0,PRE9,NA,704,305,808,NA,21.2251676136364,103.436740983607,351.058787128713,NA,158.200629261364,174.045816393443,169.846257425743
19,NA,769.289351851852,881.02925989673,808.476614699332,0,0,0,1,0,0,0,0,0,0,Proteasome,0,RPN2,NA,864,581,898,NA,21.2252928240741,93.0704061962134,280.887066815145,NA,183.722494212963,203.297180722892,189.299413140312
