,nothing,half,fiber,wt,cytosol,mitochondria,ER,Nucleus,Vacuole,Plasma-membrane,budneck,Peroxisome,golgi,lipid droplet,Category,SGA-hit,names,nnothing,nhalf,nfiber,nwt,ynothing,yhalf,yfiber,ywt,rnothing,rhalf,rfiber,rwt
1,NA,0.877190096516995,0.938664619164619,0.965564102564103,1,0,0,0,0,0,0,0,0,0,Oxidative-stress,1,GND1,NA,2383,814,117,NA,26.3865648342426,101.223195331695,154.831333333333,NA,1758.74298615191,1579.9211044226,943.657307692308
2,NA,0.899480176211454,0.945740157480315,0.967583333333333,0,1,1,0,0,0,0,0,0,1,Lipid-Related,1,ERG6,NA,681,254,36,NA,22.4478091042584,97.3224094488189,205.1985,NA,300.962336270191,271.650267716535,249.590611111111
3,NA,0.878940127388535,0.940888283378747,0.965551020408163,1,0,0,0,0,0,0,0,0,0,Stress-related,0,PUB1,NA,785,367,49,NA,21.9993808917197,94.8858991825613,161.283979591837,NA,309.722574522293,252.46385013624,155.498326530612
4,NA,0.858528066528067,0.950986394557823,0.96725,0,0,0,1,0,0,0,0,0,0,Proteasome,0,PRE1,NA,481,147,36,NA,22.0598336798337,108.101258503401,151.585277777778,NA,161.412731808732,175.410653061224,80.6352777777778
5,NA,0.880328254847645,0.948137055837563,0.961459016393443,1,0,0,0,0,0,0,0,0,0,Protease,0,SDD3,NA,722,197,61,NA,20.9490609418283,106.722659898477,168.755131147541,NA,52.2987548476454,47.2756903553299,29.3914590163934
6,0.857705,0.853252566735113,0.950187845303867,0.959813953488372,0,0,1,0,0,0,0,0,0,0,AA-related,1,BAP2,200,1461,181,43,28.7325,18.947379192334,123.168276243094,152.76711627907,895.59106,213.868856947296,220.551110497238,202.54311627907
7,NA,0.883156916347731,0.939309782608696,0.963209302325581,1,0,0,0,0,0,0,0,0,0,Stress-related,0,TPS1,NA,1829,368,129,NA,21.0035653362493,99.482375,173.340333333333,NA,78.7614286495353,71.1371875,50.1524263565891
8,NA,0.891255102040816,0.947491978609626,0.965818181818182,1,0,0,0,0,0,0,0,0,0,Lipid-Related,1,PDR17,NA,392,187,44,NA,22.2292678571429,98.4447647058823,177.732204545455,NA,19.1245076530612,19.468513368984,14.7176136363636
9,NA,0.876753608247423,0.948294117647059,0.954555555555555,1,0,0,0,0,0,0,0,0,0,AA-related,0,ARG4,NA,970,340,63,NA,21.3901226804124,96.0580323529412,206.755158730159,NA,126.225568041237,101.155055882353,86.1105079365079
10,0.85625,0.848106529209622,0.939,0.96348275862069,0,1,0,0,0,0,0,0,0,0,Stress-related,0,TPS2,8,291,72,29,30.52025,20.8566529209622,99.1002638888889,181.859862068966,147.859,48.9665704467354,43.792125,30.8398965517241
11,NA,0.878752371916509,0.948780392156863,0.966679012345679,1,0,0,1,0,0,0,0,0,0,Oxygen-growth,1,SPE2,NA,1054,255,81,NA,21.6768026565465,98.9882156862745,192.176222222222,NA,93.4051821631879,78.2706470588235,54.7183333333333
12,NA,0.875565043362242,0.945095070422535,0.969231707317073,1,0,0,1,0,0,0,0,0,0,Stress-related,0,GSY2,NA,1499,568,82,NA,21.5162728485657,92.4346584507042,181.356097560976,NA,26.2637118078719,22.1894278169014,16.003743902439
13,NA,0.879622303809087,0.946726635514019,0.952527027027027,1,0,0,0,0,0,0,0,0,0,Multivesicular-body-sorting,1,IST1,NA,2179,428,74,NA,21.6596613125287,99.3976191588785,128.961243243243,NA,6.13948324919688,5.84417056074766,4.04781081081081
14,NA,0.876567741935484,0.941184210526316,0.967447368421053,1,0,1,0,0,0,0,0,0,0,Multivesicular-body-sorting,0,VPS4,NA,310,38,38,NA,21.6651419354839,95.0499736842105,138.336552631579,NA,38.5473774193548,32.0623947368421,17.5123421052632
15,NA,0.886794117647059,0.934236486486486,0.958860465116279,0,0,0,0,0,0,0,0,0,0,Stress-related,1,TIF3,NA,374,148,43,NA,21.5223128342246,92.1734662162162,172.980209302326,NA,368.194339572193,303.020297297297,183.67276744186
16,NA,0.892415238095238,0.952035714285714,0.971677419354839,1,0,0,1,0,0,0,0,0,0,Chaperone,1,HCH1,NA,525,140,31,NA,21.5347447619048,99.80475,197.185903225806,NA,298.286116190476,248.797328571429,180.686580645161
17,NA,0.929807582938389,0.941195121951219,0.957447368421053,0,1,0,0,0,0,0,0,0,0,Protease,0,CYM1,NA,1055,205,38,NA,21.346145971564,95.2310731707317,169.422,NA,32.8976587677725,28.5244975609756,31.0995526315789
18,NA,0.845199386503067,0.956349514563107,0.973659574468085,0,0,0,1,0,0,0,0,0,0,Proteasome,0,PRE9,NA,652,103,47,NA,20.7211257668712,96.5455339805825,222.795808510638,NA,154.17506595092,155.665766990291,104.509
19,NA,0.83632319391635,0.949446808510638,0.96236170212766,0,0,0,1,0,0,0,0,0,0,Proteasome,0,RPN2,NA,789,141,47,NA,20.8213029150824,93.5347163120567,125.901723404255,NA,182.177314321927,201.155659574468,83.9618510638298
20,NA,0.849523579201935,0.95183014354067,0.972708333333333,0,0,0,1,0,0,0,0,0,0,Proteasome,0,PRE6,NA,827,418,24,NA,20.624207980653,98.8434928229665,193.739375,NA,140.547140266022,162.498622009569,100.738
21,NA,0.841864516129032,0.942359550561798,0.95196,0,0,0,1,0,0,0,0,0,0,RNA-related,1,REF2,NA,1085,178,50,NA,20.4251382488479,97.2941235955056,166.9772,NA,20.34013640553,20.7950617977528,10.09806
