,nothing,half,fiber,wt,cytosol,mitochondria,ER,Nucleus,Vacuole,Plasma-membrane,budneck,Peroxisome,golgi,lipid droplet,Category,SGA-hit,names,nnothing,nhalf,nfiber,nwt,ynothing,yhalf,yfiber,ywt,rnothing,rhalf,rfiber,rwt
1,NA,0.956995803608896,0.941968058968059,0.984615384615385,1,0,0,0,0,0,0,0,0,0,Oxidative-stress,1,GND1,NA,2383,814,117,NA,26.3865648342426,101.223195331695,154.831333333333,NA,1758.74298615191,1579.9211044226,943.657307692308
2,NA,0.91203671071953,0.895779527559055,0.913388888888889,0,1,1,0,0,0,0,0,0,1,Lipid-Related,1,ERG6,NA,681,254,36,NA,22.4478091042584,97.3224094488189,205.1985,NA,300.962336270191,271.650267716535,249.590611111111
3,NA,0.954694267515924,0.935506811989101,0.982551020408163,1,0,0,0,0,0,0,0,0,0,Stress-related,0,PUB1,NA,785,367,49,NA,21.9993808917197,94.8858991825613,161.283979591837,NA,309.722574522293,252.46385013624,155.498326530612
4,NA,0.823307692307692,0.910265306122449,0.964361111111111,0,0,0,1,0,0,0,0,0,0,Proteasome,0,PRE1,NA,481,147,36,NA,22.0598336798337,108.101258503401,151.585277777778,NA,161.412731808732,175.410653061224,80.6352777777778
5,NA,0.956056786703601,0.935482233502538,0.975704918032787,1,0,0,0,0,0,0,0,0,0,Protease,0,SDD3,NA,722,197,61,NA,20.9490609418283,106.722659898477,168.755131147541,NA,52.2987548476454,47.2756903553299,29.3914590163934
6,0.896335,0.862337440109514,0.866110497237569,0.957,0,0,1,0,0,0,0,0,0,0,AA-related,1,BAP2,200,1461,181,43,28.7325,18.947379192334,123.168276243094,152.76711627907,895.59106,213.868856947296,220.551110497238,202.54311627907
7,NA,0.942640787315473,0.935529891304348,0.978434108527132,1,0,0,0,0,0,0,0,0,0,Stress-related,0,TPS1,NA,1829,368,129,NA,21.0035653362493,99.482375,173.340333333333,NA,78.7614286495353,71.1371875,50.1524263565891
8,NA,0.944959183673469,0.944229946524064,0.969545454545454,1,0,0,0,0,0,0,0,0,0,Lipid-Related,1,PDR17,NA,392,187,44,NA,22.2292678571429,98.4447647058823,177.732204545455,NA,19.1245076530612,19.468513368984,14.7176136363636
9,NA,0.949222680412371,0.943355882352941,0.984285714285714,1,0,0,0,0,0,0,0,0,0,AA-related,0,ARG4,NA,970,340,63,NA,21.3901226804124,96.0580323529412,206.755158730159,NA,126.225568041237,101.155055882353,86.1105079365079
10,0.977875,0.953432989690722,0.930944444444444,0.963241379310345,0,1,0,0,0,0,0,0,0,0,Stress-related,0,TPS2,8,291,72,29,30.52025,20.8566529209622,99.1002638888889,181.859862068966,147.859,48.9665704467354,43.792125,30.8398965517241
11,NA,0.951715370018975,0.939039215686274,0.989493827160494,1,0,0,1,0,0,0,0,0,0,Oxygen-growth,1,SPE2,NA,1054,255,81,NA,21.6768026565465,98.9882156862745,192.176222222222,NA,93.4051821631879,78.2706470588235,54.7183333333333
12,NA,0.938098732488326,0.943450704225352,0.972817073170732,1,0,0,1,0,0,0,0,0,0,Stress-related,0,GSY2,NA,1499,568,82,NA,21.5162728485657,92.4346584507042,181.356097560976,NA,26.2637118078719,22.1894278169014,16.003743902439
13,NA,0.838896282698486,0.874453271028037,0.898945945945946,1,0,0,0,0,0,0,0,0,0,Multivesicular-body-sorting,1,IST1,NA,2179,428,74,NA,21.6596613125287,99.3976191588785,128.961243243243,NA,6.13948324919688,5.84417056074766,4.04781081081081
14,NA,0.918838709677419,0.946184210526316,0.967894736842105,1,0,1,0,0,0,0,0,0,0,Multivesicular-body-sorting,0,VPS4,NA,310,38,38,NA,21.6651419354839,95.0499736842105,138.336552631579,NA,38.5473774193548,32.0623947368421,17.5123421052632
15,NA,0.944823529411765,0.9145,0.979860465116279,0,0,0,0,0,0,0,0,0,0,Stress-related,1,TIF3,NA,374,148,43,NA,21.5223128342246,92.1734662162162,172.980209302326,NA,368.194339572193,303.020297297297,183.67276744186
16,NA,0.95215619047619,0.949685714285714,0.990645161290323,1,0,0,1,0,0,0,0,0,0,Chaperone,1,HCH1,NA,525,140,31,NA,21.5347447619048,99.80475,197.185903225806,NA,298.286116190476,248.797328571429,180.686580645161
17,NA,0.935545971563981,0.71780487804878,0.7645,0,1,0,0,0,0,0,0,0,0,Protease,0,CYM1,NA,1055,205,38,NA,21.346145971564,95.2310731707317,169.422,NA,32.8976587677725,28.5244975609756,31.0995526315789
18,NA,0.794769938650307,0.924543689320388,0.952936170212766,0,0,0,1,0,0,0,0,0,0,Proteasome,0,PRE9,NA,652,103,47,NA,20.7211257668712,96.5455339805825,222.795808510638,NA,154.17506595092,155.665766990291,104.509
19,NA,0.784462610899873,0.915737588652482,0.971468085106383,0,0,0,1,0,0,0,0,0,0,Proteasome,0,RPN2,NA,789,141,47,NA,20.8213029150824,93.5347163120567,125.901723404255,NA,182.177314321927,201.155659574468,83.9618510638298
20,NA,0.789817412333736,0.929476076555024,0.969291666666667,0,0,0,1,0,0,0,0,0,0,Proteasome,0,PRE6,NA,827,418,24,NA,20.624207980653,98.8434928229665,193.739375,NA,140.547140266022,162.498622009569,100.738
21,NA,0.700752995391705,0.866241573033708,0.8946,0,0,0,1,0,0,0,0,0,0,RNA-related,1,REF2,NA,1085,178,50,NA,20.4251382488479,97.2941235955056,166.9772,NA,20.34013640553,20.7950617977528,10.09806
