,nothing,half,fiber,wt,cytosol,mitochondria,ER,Nucleus,Vacuole,Plasma-membrane,budneck,Peroxisome,golgi,lipid droplet,Category,SGA-hit,names,nnothing,nhalf,nfiber,nwt,ynothing,yhalf,yfiber,ywt,rnothing,rhalf,rfiber,rwt
1,NA,-0.168206979899287,0.121139833906634,0.279666666666667,1,0,0,0,0,0,0,0,0,0,Oxidative-stress,1,GND1,NA,2383,814,117,NA,26.3865648342426,101.223195331695,154.831333333333,NA,1758.74298615191,1579.9211044226,943.657307692308
2,NA,0.191275211306902,0.141110236220472,0.109222222222222,0,1,1,0,0,0,0,0,0,1,Lipid-Related,1,ERG6,NA,681,254,36,NA,22.4478091042584,97.3224094488189,205.1985,NA,300.962336270191,271.650267716535,249.590611111111
3,NA,-0.109989782216561,0.071463215258856,0.298959183673469,1,0,0,0,0,0,0,0,0,0,Stress-related,0,PUB1,NA,785,367,49,NA,21.9993808917197,94.8858991825613,161.283979591837,NA,309.722574522293,252.46385013624,155.498326530612
4,NA,-0.175567964449064,0.054972789115646,0.193472222222222,0,0,0,1,0,0,0,0,0,0,Proteasome,0,PRE1,NA,481,147,36,NA,22.0598336798337,108.101258503401,151.585277777778,NA,161.412731808732,175.410653061224,80.6352777777778
5,NA,-0.037062931440443,0.097040609137056,0.230540983606557,1,0,0,0,0,0,0,0,0,0,Protease,0,SDD3,NA,722,197,61,NA,20.9490609418283,106.722659898477,168.755131147541,NA,52.2987548476454,47.2756903553299,29.3914590163934
6,-0.064275,-0.060923210403833,0.056348066298343,-0.111302325581395,0,0,1,0,0,0,0,0,0,0,AA-related,1,BAP2,200,1461,181,43,28.7325,18.947379192334,123.168276243094,152.76711627907,895.59106,213.868856947296,220.551110497238,202.54311627907
7,NA,-0.120467686057955,0.078134269565217,0.185508325581395,1,0,0,0,0,0,0,0,0,0,Stress-related,0,TPS1,NA,1829,368,129,NA,21.0035653362493,99.482375,173.340333333333,NA,78.7614286495353,71.1371875,50.1524263565891
8,NA,-0.046565566096939,0.122818181818182,0.128340909090909,1,0,0,0,0,0,0,0,0,0,Lipid-Related,1,PDR17,NA,392,187,44,NA,22.2292678571429,98.4447647058823,177.732204545455,NA,19.1245076530612,19.468513368984,14.7176136363636
9,NA,-0.162078001752577,0.058202941176471,0.208253968253968,1,0,0,0,0,0,0,0,0,0,AA-related,0,ARG4,NA,970,340,63,NA,21.3901226804124,96.0580323529412,206.755158730159,NA,126.225568041237,101.155055882353,86.1105079365079
10,0.1445,-0.148828178694158,0.133111111111111,0.092375189655172,0,1,0,0,0,0,0,0,0,0,Stress-related,0,TPS2,8,291,72,29,30.52025,20.8566529209622,99.1002638888889,181.859862068966,147.859,48.9665704467354,43.792125,30.8398965517241
11,NA,-0.166578172485769,0.023964705882353,0.230296296296296,1,0,0,1,0,0,0,0,0,0,Oxygen-growth,1,SPE2,NA,1054,255,81,NA,21.6768026565465,98.9882156862745,192.176222222222,NA,93.4051821631879,78.2706470588235,54.7183333333333
12,NA,-0.099414980453636,0.088320300704225,0.215914634146341,1,0,0,1,0,0,0,0,0,0,Stress-related,0,GSY2,NA,1499,568,82,NA,21.5162728485657,92.4346584507042,181.356097560976,NA,26.2637118078719,22.1894278169014,16.003743902439
13,NA,-0.050316281597063,0.052775845560748,0.076891891891892,1,0,0,0,0,0,0,0,0,0,Multivesicular-body-sorting,1,IST1,NA,2179,428,74,NA,21.6596613125287,99.3976191588785,128.961243243243,NA,6.13948324919688,5.84417056074766,4.04781081081081
14,NA,-0.134877419354839,0.006973684210526,0.210375347368421,1,0,1,0,0,0,0,0,0,0,Multivesicular-body-sorting,0,VPS4,NA,310,38,38,NA,21.6651419354839,95.0499736842105,138.336552631579,NA,38.5473774193548,32.0623947368421,17.5123421052632
