,nothing,half,fiber,wt,cytosol,mitochondria,ER,Nucleus,Vacuole,Plasma-membrane,budneck,Peroxisome,golgi,lipid droplet,Category,SGA-hit,names,nnothing,nhalf,nfiber,nwt,ynothing,yhalf,yfiber,ywt,rnothing,rhalf,rfiber,rwt
1,NA,0.018275362318841,0.017648111332008,0.109363636363636,1,0,0,0,0,0,0,0,0,0,Oxidative-stress,1,GND1,NA,69,503,33,NA,277.431086956522,1068.26638966203,702.445333333333,NA,1808.87695652174,1737.03750099404,914.309818181818
2,NA,0.031827586206897,-0.008817204301075,-0.026636363636364,0,1,1,0,0,0,0,0,0,1,Lipid-Related,1,ERG6,NA,29,93,11,NA,239.038,796.476623655914,795.721272727273,NA,312.819344827586,380.450301075269,474.004727272727
3,NA,0,-0.000180327868852,0,1,0,0,0,0,0,0,0,0,0,Stress-related,0,PUB1,NA,10,122,5,NA,287.5517,1154.16063114754,629.9376,NA,332.0625,372.196254098361,346.7658
4,NA,0.023921052631579,-0.004666666666667,0.02092,0,0,0,1,0,0,0,0,0,0,Proteasome,0,PRE1,NA,38,6,25,NA,201.925078947368,609.771333333333,695.98004,NA,138.647315789474,169.250833333333,238.64576
5,NA,0.054677419354839,0.031525,-0.0115,1,0,0,0,0,0,0,0,0,0,Protease,0,SDD3,NA,31,40,18,NA,232.791903225806,1100.41615,730.423777777778,NA,45.3419032258064,53.31625,64.7794444444445
6,-0.029933333333333,0.001592592592593,-0.017736842105263,-0.049521739130435,0,0,1,0,0,0,0,0,0,0,AA-related,1,BAP2,210,135,38,23,22.749619047619,281.237844444444,589.997710526316,734.678956521739,730.946976190476,281.623985185185,318.886578947368,409.470086956522
7,NA,-0.004658536585366,0.00836170212766,0.0566875,1,0,0,0,0,0,0,0,0,0,Stress-related,0,TPS1,NA,41,47,16,NA,231.279341463415,946.743212765957,779.6554375,NA,88.3357804878049,268.222404255319,664.8528125
8,NA,0.027313725490196,0.010243902439024,0,1,0,0,0,0,0,0,0,0,0,Lipid-Related,1,PDR17,NA,51,41,1,NA,245.644764705882,859.423731707317,787.753,NA,23.2433333333333,31.5793170731707,77.541
9,NA,0,0.017867924528302,0,1,0,0,0,0,0,0,0,0,0,AA-related,0,ARG4,NA,7,53,2,NA,330.397571428571,849.310188679245,744.8245,NA,175.505,508.736641509434,1318.448
10,NA,0,-0.037107692307692,0.0147,0,1,0,0,0,0,0,0,0,0,Stress-related,0,TPS2,NA,7,65,10,NA,313.766142857143,706.237984615385,597.6923,NA,65.3395714285714,227.278984615385,274.5387
