,nothing,half,fiber,wt,cytosol,mitochondria,ER,Nucleus,Vacuole,Plasma-membrane,budneck,Peroxisome,golgi,lipid droplet,Category,SGA-hit,names,nnothing,nhalf,nfiber,nwt,ynothing,yhalf,yfiber,ywt,rnothing,rhalf,rfiber,rwt
1,NA,2913.45833333333,2817.84403669725,1722.1,1,0,0,0,0,0,0,0,0,0,Oxidative-stress,1,GND1,NA,72,545,30,NA,261.440111111111,1138.82412110092,658.876466666667,NA,1737.07277777778,1720.2854587156,869.5437
2,NA,1207.35483870968,1802.29292929293,3023.09090909091,0,1,1,0,0,0,0,0,0,1,Lipid-Related,1,ERG6,NA,31,99,11,NA,224.427774193548,970.464666666667,789.691545454545,NA,289.725709677419,375.645434343434,466.008909090909
3,NA,595.5,654.108527131783,730.4,1,0,0,0,0,0,0,0,0,0,Stress-related,0,PUB1,NA,10,129,5,NA,283.8825,1298.98054263566,624.3686,NA,322.4268,362.182457364341,338.8178
4,NA,612.576923076923,644.625,501.05,0,0,0,1,0,0,0,0,0,0,Proteasome,0,PRE1,NA,52,8,20,NA,212.028038461538,1164.448375,679.7602,NA,139.722673076923,175.150625,234.0719
5,NA,71.8333333333333,105.285714285714,125.6,1,0,0,0,0,0,0,0,0,0,Protease,0,SDD3,NA,30,42,15,NA,219.532266666667,1161.19978571429,735.624666666667,NA,37.5742666666667,48.2408571428571,60.371
6,2045.56302521008,809.640287769784,1208.07692307692,1553.95652173913,0,0,1,0,0,0,0,0,0,0,AA-related,1,BAP2,238,139,39,23,21.6693823529412,270.929920863309,654.89541025641,728.810217391304,705.866168067227,269.470474820144,312.398307692308,402.956347826087
7,NA,159.272727272727,502.236363636364,1285.46666666667,1,0,0,0,0,0,0,0,0,0,Stress-related,0,TPS1,NA,44,55,15,NA,220.131272727273,1006.18738181818,773.461733333333,NA,78.9091818181818,251.185,655.000066666667
8,NA,46.1132075471698,65.2727272727273,NA,1,0,0,0,0,0,0,0,0,0,Lipid-Related,1,PDR17,NA,53,44,NA,NA,238.166264150943,966.769522727273,NA,NA,18.5213018867925,26.6083863636364,NA
9,NA,297.375,830.333333333333,2347,1,0,0,0,0,0,0,0,0,0,AA-related,0,ARG4,NA,8,57,2,NA,292.14975,896.279421052632,739.1645,NA,154.351375,480.328175438596,1302.809
10,NA,136.857142857143,410.430769230769,488.333333333333,0,1,0,0,0,0,0,0,0,0,Stress-related,0,TPS2,NA,7,65,9,NA,309.566142857143,777.916969230769,587.547666666667,NA,59.7161428571429,210.961169230769,253.904555555556
11,NA,119.676056338028,162.50641025641,187.8,1,0,0,1,0,0,0,0,0,0,Oxygen-growth,1,SPE2,NA,71,156,10,NA,221.130253521127,966.223871794872,782.0549,NA,68.9782112676056,94.3702051282051,98.4436
12,NA,66.6444444444444,383.948275862069,1195.66666666667,1,0,0,1,0,0,0,0,0,0,Stress-related,0,GSY2,NA,225,58,66,NA,249.339511111111,1136.50651724138,636.044545454545,NA,31.3268044444444,130.205293103448,371.935742424242
13,NA,31.4489795918367,58.3157894736842,119.052631578947,1,0,0,0,0,0,0,0,0,0,Multivesicular-body-sorting,1,IST1,NA,98,475,19,NA,270.245244897959,1296.25759789474,640.176315789474,NA,6.54320408163265,13.2324105263158,45.5031052631579
14,NA,128.5,145.146853146853,193.37037037037,1,0,1,0,0,0,0,0,0,0,Multivesicular-body-sorting,0,VPS4,NA,14,286,27,NA,262.7315,1504.41144055944,629.479740740741,NA,37.989,48.1036958041958,77.8771481481482
15,NA,597.038461538462,480.666666666667,673.8,0,0,0,0,0,0,0,0,0,0,Stress-related,1,TIF3,NA,78,3,5,NA,250.317692307692,222.658666666667,826.6672,NA,322.564653846154,199.85,313.2162
16,167.5,370.4,491.3125,NA,1,0,0,1,0,0,0,0,0,0,Chaperone,1,HCH1,4,15,16,NA,11.18475,212.214933333333,1310.388,NA,97.26275,226.8364,291.9111875,NA
17,NA,203.307692307692,244.5,340.75,0,1,0,0,0,0,0,0,0,0,Protease,0,CYM1,NA,13,50,4,NA,260.463384615385,1354.59888,663.76975,NA,28.683,35.40926,51.50725
18,NA,795.661290322581,742.288288288288,NA,0,0,0,1,0,0,0,0,0,0,Proteasome,0,PRE9,NA,62,111,NA,NA,284.825435483871,1463.98437837838,NA,NA,185.968596774194,202.426369369369,NA
19,NA,847.9,685.714285714286,NA,0,0,0,1,0,0,0,0,0,0,Proteasome,0,RPN2,NA,90,70,NA,NA,211.102788888889,1185.25154285714,NA,NA,197.203055555556,186.280871428571,NA
20,NA,700.5,720.606936416185,484.285714285714,0,0,0,1,0,0,0,0,0,0,Proteasome,0,PRE6,NA,40,173,7,NA,277.189225,1258.01035260116,653.559142857143,NA,164.1118,184.180098265896,192.998857142857
21,NA,122.07,155.854545454545,196.5,0,0,0,1,0,0,0,0,0,0,RNA-related,1,REF2,NA,100,55,2,NA,242.65477,1344.68836363636,615.08,NA,21.39995,33.4383636363636,49.116
22,NA,64.1764705882353,95.7,207.25,1,0,0,0,0,0,0,0,0,0,Lipid-Related,1,YPK1,NA,68,20,4,NA,235.299411764706,1031.95395,879.049,NA,31.3293088235294,43.5906,87.731
