,nothing,half,fiber,wt,cytosol,mitochondria,ER,Nucleus,Vacuole,Plasma-membrane,budneck,Peroxisome,golgi,lipid droplet,Category,SGA-hit,names,nnothing,nhalf,nfiber,nwt,ynothing,yhalf,yfiber,ywt,rnothing,rhalf,rfiber,rwt
1,NA,0.074515229070878,0.380087338634666,0.435086200197395,1,0,0,0,0,0,0,0,0,0,Oxidative-stress,1,GND1,NA,301,447,540,NA,55.4948106312292,626.205691275168,733.835883333333,NA,2542.97625249169,2359.29137807606,2414.15388703704
2,NA,0.251977805903852,0.064111144175758,0.03095019690527,0,1,1,0,0,0,0,0,0,1,Lipid-Related,1,ERG6,NA,300,294,315,NA,54.2403366666667,632.369738095238,767.933425396825,NA,1406.93694,1306.0002414966,1399.06805079365
3,NA,0.063093201386854,0.34395449050316,0.377058496008679,1,0,0,0,0,0,0,0,0,0,Stress-related,0,PUB1,NA,347,385,587,NA,51.7505504322767,671.478309090909,778.374816013629,NA,655.320146974063,612.682620779221,633.327807495741
4,NA,0.278129569017532,0.409430442928211,0.425396977834017,0,0,0,1,0,0,0,0,0,0,Proteasome,0,PRE1,NA,271,697,548,NA,54.902557195572,636.252180774749,746.982833941606,NA,351.489653136531,333.647371592539,341.227808394161
5,NA,0.158097549824947,0.263873148698105,0.297335951604529,1,0,0,0,0,0,0,0,0,0,Protease,0,SDD3,NA,622,563,195,NA,50.579424437299,672.830392539964,750.801205128205,NA,90.2286061093248,93.9413570159858,87.4739538461538
6,0.319572994887881,0.139852535962984,0.035573632594339,0.03751802270765,0,0,1,0,0,0,0,0,0,0,AA-related,1,BAP2,201,447,526,293,37.1448059701493,59.5863758389262,708.097201520913,775.350436860068,1271.14444776119,445.336563758389,413.17508365019,403.454204778157
7,NA,0.068667596256077,0.355931695980034,0.377757864566692,1,0,0,0,0,0,0,0,0,0,Stress-related,0,TPS1,NA,209,556,975,NA,61.6881291866029,677.424237410072,701.537494358974,NA,490.749765550239,502.657550359712,487.258526153846
8,NA,0.156194472406561,0.187422461145447,0.195335184156601,1,0,0,0,0,0,0,0,0,0,Lipid-Related,1,PDR17,NA,141,318,787,NA,54.6968723404255,702.500685534591,748.827165184244,NA,40.7085106382979,49.1702421383648,44.6379212198221
9,NA,0.075647739758235,0.369728864675228,0.396673170421057,1,0,0,0,0,0,0,0,0,0,AA-related,0,ARG4,NA,693,367,551,NA,56.2643737373737,652.265885558583,753.913488203267,NA,531.25927994228,522.785351498638,548.782789473684
10,NA,0.093347187857875,0.418418563548713,0.417213221730178,0,1,0,0,0,0,0,0,0,0,Stress-related,0,TPS2,NA,440,655,695,NA,55.6955613636364,578.012964885496,653.61281294964,NA,186.843704545455,186.51786870229,181.209276258993
11,NA,0.183717545309802,0.450369502015696,0.506047339985495,1,0,0,1,0,0,0,0,0,0,Oxygen-growth,1,SPE2,NA,191,564,411,NA,62.2233246073298,659.636280141844,757.309282238443,NA,166.55587434555,159.219455673759,174.228350364963
12,NA,0.219372092329396,0.395192210627603,0.400043809421015,1,0,0,1,0,0,0,0,0,0,Stress-related,0,GSY2,NA,332,1161,278,NA,55.0331295180723,680.774194659776,747.439467625899,NA,116.244415662651,114.673400516796,108.936676258993
