,wt,fiber,half,3n75 fiber,cytosol,mitochondria,ER,Nucleus,Vacuole,Plasma-membrane,budneck,Category,names,nwt,nfiber,nhalf,n3n75 fiber,ywt,yfiber,yhalf,y3n75 fiber,rwt,rfiber,rhalf,r3n75 fiber
1,0.131394495412844,0.091905982905983,0.01541641337386,0,1,0,0,1,0,0,0,Chaperone,HSP104,109,117,658,13,101.818697247706,83.1838290598291,48.5046079027356,627.216384615385,693.099110091743,670.368452991453,602.72467325228,268.590461538462
2,0.074822222222222,0.067198675496689,0.253001683821478,-0.033,0,1,0,0,0,0,0,Chaperone,HSP78,135,151,717,7,94.7148518518518,71.3278543046358,48.7653249651325,612.990142857143,269.005444444444,234.49798013245,216.502863319386,132.776
3,0.102133333333333,0.093126168224299,0.2444421875,-0.033946455555556,0,1,0,0,0,0,0,Chaperone,MCX1,75,214,640,36,87.46328,72.0269859813084,45.083234375,653.266,45.2081733333333,47.7852009345794,39.74235625,24.9414166666667
4,0.023390243902439,0.019252252252252,-0.003954147122302,0.054714285714286,0,0,0,1,0,0,0,DNA-related,RVB1,82,111,556,28,99.499487804878,80.3704504504504,45.3720341726619,473.756821428571,274.871036585366,280.293495495496,239.327629496403,117.241464285714
5,0.028186915887851,0.001,0.001929982046679,0.077555555555556,0,0,0,1,0,0,0,DNA-related,RVB2,107,107,557,27,100.723308411215,76.8656542056075,44.9163806104129,457.997740740741,204.393887850467,208.943271028037,191.266339317774,68.0089259259259
6,0.029487804878049,0.0325,-0.016427992198732,0.0483,0,0,1,0,0,0,0,Chaperone,CNE1,82,148,473,10,90.9966463414634,82.8268648648649,45.7670930232558,711.2179,21.9736585365854,18.1805135135135,12.421067653277,23.1506
7,-0.001833333333333,-0.00555652173913,-0.009618708955224,0.443,0,0,0,0,0,1,0,Chaperone,TCP1,90,115,670,7,101.785811111111,74.6091913043478,46.7578343283582,664.823857142857,278.210944444444,275.484443478261,243.886331343284,120.549571428571
8,0.013017857142857,-8.33333333333331E-05,0.00287269681742,0.715,1,0,0,0,0,0,0,Chaperone,CCT2,112,72,597,1,88.7300089285714,68.7262777777778,45.0013969849246,165.033,19.3543392857143,14.2793888888889,10.4435561139028,126.74
9,0.004990909090909,-0.014350427350427,-0.099327066726944,-0.1155,1,0,0,0,0,0,0,Chaperone,CCT3,110,234,553,2,81.4987181818182,62.0394957264957,43.4790126582278,278.394,71.9130181818182,64.1079615384615,57.3709240506329,64.4185
10,0.040173333333333,-0.000988235294118,0.016338461538462,0,1,0,0,0,0,0,0,Chaperone,CCT4,75,85,195,1,76.0535466666667,57.0339411764706,44.1361384615385,62.075,142.701053333333,136.644894117647,136.462805128205,28.948
11,0.028934579439252,-0.027684684684685,0.026552446031746,0.487666666666667,1,0,0,0,0,0,0,Chaperone,CCT5,107,111,504,3,84.2358317757009,60.6910540540541,39.2407301587302,73.7303333333333,229.292654205607,209.307990990991,199.536486111111,129.918666666667
12,0.051157894736842,0.005420560747664,0.008782159078591,0,1,0,0,0,0,0,0,Chaperone,CCT6,76,214,369,2,96.0151447368421,64.6861355140187,44.8903875338753,622.1965,23.7623026315789,11.3108644859813,8.58464769647697,36.719
13,0.15508371040724,0.145715962441315,0.302632306616341,0.002925925925926,0,1,0,0,0,0,0,Chaperone,HSP10,442,426,1126,27,90.8261312217195,71.3952253521127,52.8583996447602,663.955666666667,1190.68887104072,1160.67495539906,1073.94871758437,620.612407407407
14,0.017246153846154,0.016672839506173,0.004106024767225,0.050076923076923,1,1,0,1,0,0,0,Chaperone,APJ1,65,162,537,13,82.8415230769231,68.7687407407407,45.2173910614525,640.396615384615,21.3192461538462,18.5257469135802,14.0393258845438,26.6688461538462
15,-0.032694915254237,0.004484536082474,-0.050591330835118,-0.051923076923077,1,0,0,1,0,0,0,Chaperone,CAJ1,59,97,467,13,90.326593220339,80.2995360824742,45.4843683083512,721.843846153846,141.204830508475,142.685051546392,131.56047751606,92.6697692307692
16,-0.008093457943925,0.026606557377049,-0.000268690620872,0.06469351875,0,0,0,1,0,0,0,RNA-related,CWC23,107,61,757,64,102.395813084112,76.9537540983606,44.726036988111,487.553484375,35.804261682243,26.6062459016393,18.9044623513871,14.6586875
17,0.051775,0.02669512195122,0.021849923430322,0.20403125,1,0,1,0,0,0,1,Peroxisom-related,DJP1,80,82,653,32,90.4505375,65.2539634146341,42.070819295559,444.122375,169.4994125,159.913951219512,140.203563552833,86.03578125
18,0.04325,0.026614583333333,-0.012221374045802,-0.000466666666667,0,0,1,0,0,0,0,Folding-related,ERJ5,152,96,655,15,101.815486842105,73.6212395833333,46.1602625954198,729.547133333333,35.3992368421053,29.0825729166667,28.5119007633588,16.3665333333333
19,0.086298245614035,0.075304347826087,0.017764953107511,0,0,0,1,0,0,0,0,Chaperone,HLJ1,171,138,679,1,105.674725146199,80.6550072463768,47.4053946980854,27.158,43.6915789473684,45.7393188405797,31.924530191458,8.456
20,0.092107142857143,0.062136363636364,0.207064981949458,-0.369,0,1,0,0,0,0,0,Chaperone,JAC1,84,132,554,1,119.396357142857,78.9048333333333,48.3543158844765,1257.062,37.4995833333333,27.0299772727273,21.0513537906137,25.113
21,0.04826618705036,0.033743055555556,-0.00794300876217,0,0,0,1,0,0,0,0,Chaperone,JEM1,139,144,719,1,89.5211079136691,72.4406041666667,45.2683796940195,585.116,43.3981798561151,49.6716319444444,40.1995034770515,83.02
22,0.04164627540107,0.069869767441861,0.177248442416769,0,0,1,0,0,0,0,0,Chaperone,JID1,187,215,811,1,103.148887700535,70.965,46.8676189889026,546.5,20.1967967914438,17.2338186046512,13.262839704069,4.556
23,0.036757575757576,0.035119402985075,0.005074486676428,NA,1,1,0,0,0,0,0,Chaperone,JJJ1,99,67,683,NA,83.9830909090909,78.6168955223881,45.1450600292826,NA,23.2249797979798,20.316328358209,18.7313323572474,NA
24,0.002672413793103,-0.003389312977099,-0.0033975,0.224,1,0,0,1,0,0,0,Chaperone,JJJ2,116,131,425,3,107.714870689655,73.9391450381679,45.7237105882353,48.4163333333333,19.65575,15.5894809160305,10.0305788235294,55.52
25,-0.005591397849462,0.0124375,0.021328713288364,0.0276,1,0,0,1,0,0,0,Chaperone,JJJ3,93,64,593,5,102.268268817204,71.315859375,44.1521163575042,181.6474,47.3311075268817,51.3136875,40.5268077571669,62.6714
26,0.09860162601626,0.058457364341085,0.24256561922366,0.0323,0,1,0,0,0,0,0,Chaperone,MDJ1,246,129,541,10,87.1938495934959,70.3598139534884,46.3633918669131,567.9479,213.60675203252,202.171294573643,200.232883548983,97.6622
27,0.09573381294964,0.076631578947368,0.103186356073211,0.0258,0,1,0,0,0,0,0,Chaperone,MDJ2,139,95,601,15,94.6324676258993,76.4177684210526,44.3200349417637,615.155866666667,18.3327625899281,19.5532210526316,12.4303760399334,20.6075333333333
28,0.075777777777778,0.090363636363636,-0.044614993782696,0.060478260869565,0,0,1,0,0,0,0,Chaperone,SCJ1,81,55,497,46,107.851728395062,84.8386181818182,45.8602112676056,412.332630434783,149.637358024691,148.463127272727,136.434488933602,102.1435
29,0.018444444444444,0.090071428571429,-0.033121951219512,-0.183666666666667,0,1,1,0,0,0,0,Chaperone,SEC63,9,14,41,3,78.4868888888889,41.5166428571429,43.1385609756098,1202.533,109.646,96.7177857142857,105.62112195122,96.7673333333333
30,0.120941175572519,0.106859504132231,0.045056921086675,0.105607142857143,1,0,0,1,0,0,0,Chaperone,SIS1,131,242,773,28,135.260870229008,88.2658760330579,50.9563337645537,597.502035714286,687.747175572519,662.547297520661,573.846328589909,267.210142857143
31,0.037280487804878,0.016339130434783,0.011387951807229,0.024428571428571,1,0,0,0,0,0,0,,SWA2,82,115,830,7,108.478402439024,78.3279217391304,47.1084493975904,713.207285714286,53.758512195122,49.4901565217391,44.8506963855422,54.084
32,0.101881578947368,0.096538461538462,0.195757396449704,0.112,0,1,0,0,0,0,0,,TIM14,76,65,169,2,94.5227894736842,80.8514307692308,55.0042189349112,18.5245,249.920131578947,261.316630769231,193.950550295858,4.412
33,0.106936170212766,0.0455,0.22111544991511,0.185333333333333,0,1,0,1,0,0,0,Chaperone,XDJ1,94,104,589,3,109.336585106383,74.2857307692308,45.6391901528014,239.862333333333,39.9532021276596,30.1424807692308,28.3140373514431,59.748
34,0.092986768421053,0.037411764705882,0.022100011618257,0,1,0,0,0,0,0,0,Chaperone,YDJ1,209,221,723,1,134.592923444976,80.2062443438914,51.7456237897649,1348.241,1383.09124880383,1330.69814932127,1239.26199861687,833.613
35,-0.009841463414634,-0.013686274509804,0.009819964349376,0.223333333333333,1,1,0,1,0,0,0,Chaperone,ZUO1,82,102,561,3,99.8076829268293,84.1347450980392,45.5992549019608,181.482666666667,711.156512195122,749.826911764706,684.957495543672,316.231333333333
36,0.031424242424242,0.006828054298643,-0.001903165735568,0.057,0,1,0,0,0,0,0,Chaperone,HSP60,99,221,537,4,98.8637777777778,79.8017466063348,46.5935959031657,431.16825,10.1746464646465,8.51480090497738,6.59576722532588,42.398
37,0.046024242424242,0.002928571428571,-0.03247551281296,-0.097090909090909,0,0,1,0,0,0,0,Chaperone,KAR2,165,70,679,11,96.6635818181818,93.4739571428571,49.6060854197349,592.595909090909,1461.57930909091,1503.58374285714,1367.64531369661,460.565363636364
38,0.040554744525547,0.038493827160494,-0.017411001372213,0.021470588235294,0,0,1,0,0,0,0,Chaperone,LHS1,137,81,583,17,104.200474452555,85.3404691358025,46.149807890223,520.689294117647,33.1923868613139,35.3156172839506,25.5621646655232,19.5289411764706
39,0.136505050505051,0.085868217054264,0.032953667953668,-0.044388888888889,1,0,0,1,1,0,0,Chaperone,SSA1,99,129,518,18,115.667080808081,97.0656356589147,53.9851351351351,514.541944444444,2795.61696969697,2819.10054263566,2345.31634555985,1115.56055555556
40,0.190622641509434,0.097059523809524,0.036358649211357,0.207542857142857,1,1,0,0,0,1,0,Chaperone,SSA2,53,84,317,35,154.525,125.789321428571,71.3684132492114,553.4114,9633.12732075472,9429.8578452381,7545.47194952681,2457.12914285714
41,0.014013513513514,0.010026086956522,0.011035617098446,0.058730769230769,1,0,0,0,0,0,0,Chaperone,SSA3,74,115,579,26,105.136040540541,77.8731043478261,45.1399464594128,513.501846153846,27.2474054054054,21.1547043478261,15.774530224525,14.8214615384615
42,0.028595704545455,0.011058823529412,0.038129182290562,0.122,1,0,0,1,0,0,0,Chaperone,SSA4,88,119,943,23,92.8640909090909,77.5543613445378,45.932079533404,858.558304347826,125.778,130.622067226891,133.96958854719,79.4531739130435
43,0.01940625,0.028977011494253,0.006238478158915,0,1,0,0,0,0,1,0,Chaperone,SSB1,64,87,516,2,107.1535625,105.260034482759,56.6454302325581,750.5675,3415.626515625,3635.11120689655,3186.16343604651,2401.5695
44,0.031666666666667,0.004764705882353,0.009107692307692,0,1,0,0,0,0,1,0,Chaperone,SSB2,81,136,650,3,143.630567901235,90.6852426470588,56.3334061538462,1335.14666666667,2616.69644444444,2593.07969852941,2431.58434615385,1558.923
45,0.016639534883721,0.000915887850467,0.01364068027735,0,1,0,0,1,1,1,0,Metabolism,TOR1,86,107,649,1,87.5076627906977,63.7725607476636,43.3346040061633,69.827,14.7635930232558,14.3755700934579,12.3467118644068,76.612
46,0.081527397260274,0.043740740740741,0.210391373801917,NA,0,1,0,0,0,0,0,Chaperone,SSC2/SSQ1,146,108,626,NA,101.177219178082,80.2338518518519,46.4158402555911,NA,49.6185890410959,44.9721944444444,43.184678913738,NA
47,0.022715277777778,0.055997452941177,0.090859038717633,0.196,0,1,0,0,0,0,0,Chaperone,SSC3/ECM10,144,153,811,2,93.2162083333333,76.096862745098,45.728205918619,1483.8965,15.1466527777778,14.3060784313725,10.4444907521578,55.62
48,0.061633333333333,0.077502057613169,0.037870415647922,0.54775,1,0,0,0,0,0,0,Chaperone,SSE1,150,243,409,4,95.1552466666667,76.4536748971193,51.9861784841076,514.2285,1289.6814,1265.41574485597,1292.18490709046,714.689
49,0.038962264150943,0.042489361702128,0.01276575060241,0.10725,1,0,0,0,0,0,0,Chaperone,SSE2,159,94,498,12,94.5720314465409,82.5712234042553,47.3114156626506,726.345666666667,111.519968553459,97.1776063829787,94.1756044176707,47.1786666666667
50,0.000470588235294,0.007703125,0.031364891518738,0.183692307692308,1,0,0,0,0,0,0,Chaperone,SSZ1,34,64,507,13,103.533058823529,76.633234375,47.7317554240631,882.776,611.761470588235,619.783625,595.609069033531,244.681230769231
51,0.03718045112782,0.032821428571429,0.008039625718028,-0.004820512820513,1,0,0,0,0,0,0,Chaperone,FES1,133,112,649,39,99.5287894736842,75.4868928571429,45.8833081664099,540.16982051282,188.072503759399,171.635758928571,152.617266563945,86.8905641025641
52,0.080805031446541,0.072073033707865,0.258919331918009,0.0826,0,1,0,0,0,0,0,Chaperone,MGE1P,159,178,683,45,87.3972012578616,70.1121179775281,46.5610512445095,406.449311111111,315.246006289308,349.895207865169,278.550503660322,69.3986666666667
53,0.054227848101266,0.028885416666667,-0.018374659400545,0.1929,0,0,1,0,0,0,0,Chaperone,SIL1,79,96,734,50,101.989025316456,83.78153125,43.9151730245232,462.28196,98.8529493670886,79.3843020833333,82.5091403269755,19.01996
54,0.072620689655172,0.034357664233577,-0.001366749690083,0,0,1,1,0,0,0,0,Structural,SNL1,174,137,968,5,108.487735632184,81.3990510948905,48.1348925619835,864.8238,70.2343275862069,62.1014233576642,57.2928305785124,33.9438
55,0.148075,0.063223404255319,0.004875,0.154166666666667,1,1,0,0,0,1,0,Chaperone,HSC82,80,94,504,6,136.9724,97.4157021276596,56.6066349206349,442.530333333333,4417.431475,4159.26324468085,3388.10040277778,1267.70333333333
56,0.094891666666667,0.056861111111111,0.005085365116279,0.421,1,0,0,0,0,0,0,Chaperone,HSP82,120,108,516,1,113.908158333333,84.1057962962963,50.3239399224806,26.72,2027.30410833333,2008.7702962963,1659.1195755814,50.159
57,0.05988,0.001768,0.036157222715736,NA,1,0,0,0,0,0,0,Chaperone,AHA1,100,125,788,NA,103.46664,75.711432,45.6284555837563,NA,155.38924,145.602576,139.127076142132,NA
58,0.071222222222222,0.021593333333333,0.025424188049451,0,1,0,0,0,0,0,0,Chaperone,CDC37,144,150,728,1,112.456777777778,79.5244533333333,48.6560288461538,886.656,182.912090277778,190.465853333333,170.636450549451,80.38
59,0.042954022988506,0.037889830508475,-0.001246860750853,0.277,1,0,0,0,0,0,0,Chaperone,CNS1,87,118,586,3,102.516045977011,75.6169576271186,47.3295494880546,631.916,95.8378390804598,88.5849491525424,89.9398600682594,170.225333333333
60,0.060871391558442,0.014044105,0.036069565217391,0.1025,1,0,0,0,0,0,0,Chaperone,CPR6,154,220,345,4,103.626857142857,68.8788318181818,45.805884057971,118.98875,389.151584415584,355.311022727273,367.949655072464,92.67375
61,0.024747663551402,-0.012594936708861,0.003068622333333,-0.00483645,1,0,0,0,0,0,0,Chaperone,CPR7,107,79,600,20,94.8384579439252,83.6908101265823,46.06649,636.72355,16.3127663551402,24.2064683544304,14.7911133333333,11.7776
62,0.08915625,0.052333333333333,0.036688013136289,0.06719512195122,1,0,0,1,0,0,0,Chaperone,HCH1,64,66,609,41,104.226515625,79.2491060606061,47.9658013136289,570.269487804878,497.129375,561.208545454545,466.582760262726,291.036317073171
