,wt,fiber,half,nothing,cytosol,mitochondria,ER,Nucleus,Vacuole,Plasma-membrane,budneck,Category,names,nwt,nfiber,nhalf,nnothing,ywt,yfiber,yhalf,ynothing,rwt,rfiber,rhalf,rnothing
1,1012,1241.93801652893,1299.31182795699,NA,1,0,0,1,0,0,0,Chaperone,HSP104,2,242,93,NA,166.788,797.423367768595,100.116021505376,NA,383.048,609.509723140496,489.61276344086,NA
2,1501,1949.49726775956,1993.85714285714,NA,0,1,0,0,0,0,0,Chaperone,HSP78,3,183,42,NA,509.643,703.636431693989,130.493238095238,NA,141.338333333333,196.707846994536,212.244,NA
3,391.142857142857,319.588850174216,260.8,NA,0,1,0,0,0,0,0,Chaperone,MCX1,7,287,50,NA,581.999571428571,775.554554006969,108.69528,NA,69.8382857142857,35.1524529616725,37.35362,NA
4,2021.6,1711.45012787724,1382.98412698413,NA,0,0,0,1,0,0,0,DNA-related,RVB1,5,391,63,NA,469.4526,765.21878516624,143.064587301587,NA,252.8336,276.480071611253,225.738015873016,NA
5,1210.11111111111,1040.51038575668,655.369230769231,NA,0,0,0,1,0,0,0,DNA-related,RVB2,9,337,65,NA,503.255666666667,725.357848664688,99.5584923076923,NA,205.404111111111,197.770005934718,133.600938461538,NA
6,37,52.4619883040936,81.2127659574468,NA,0,0,1,0,0,0,0,Chaperone,CNE1,1,342,47,NA,703.396,683.744470760234,112.381468085106,NA,5.722,12.6376228070175,32.8900212765957,NA
7,444,495.491764705882,420.7,NA,0,0,0,0,0,1,0,Chaperone,TCP1,7,425,50,NA,782.039142857143,687.856696470588,126.3858,NA,233.297714285714,260.515557647059,242.48658,NA
8,77.8888888888889,58.7229219143577,80.7878787878788,NA,1,0,0,0,0,0,0,Chaperone,CCT2,9,397,66,NA,593.501444444444,955.690768261965,132.463924242424,NA,35.322,14.3129420654912,36.4930151515152,NA
9,168.285714285714,119.544554455446,159.208333333333,NA,1,0,0,0,0,0,0,Chaperone,CCT3,7,606,24,NA,677.666714285714,886.351349834983,132.040666666667,NA,78.49,53.7204372937294,82.8473333333333,NA
10,406.75,316.720588235294,324.727272727273,NA,1,0,0,0,0,0,0,Chaperone,CCT4,4,68,22,NA,426.6315,484.381147058824,77.9482727272727,NA,241.461,180.6415,146.886045454545,NA
11,431.6,347.456310679612,396.964285714286,NA,1,0,0,0,0,0,0,Chaperone,CCT5,5,206,28,NA,764.192,661.631859223301,139.193178571429,NA,203.127,214.374640776699,237.774321428571,NA
12,140.375,52.25,65.9,NA,1,0,0,0,0,0,0,Chaperone,CCT6,8,220,20,NA,564.258375,611.996890909091,141.5111,NA,53.3915,11.1246045454545,26.43555,NA
13,4876,8667.59836065574,5215.97014925373,NA,0,1,0,0,0,0,0,Chaperone,HSP10,2,122,67,NA,793.4435,760.416581967213,80.5207164179104,NA,756.403,894.101131147541,536.576701492537,NA
14,105.4,84.256157635468,128.709677419355,NA,1,1,0,1,0,0,0,Chaperone,APJ1,5,203,31,NA,712.8716,688.719088669951,136.614516129032,NA,38.2494,22.8122266009852,25.8184193548387,NA
15,249,217.030701754386,148.555555555556,NA,1,0,0,1,0,0,0,Chaperone,CAJ1,4,228,45,NA,811.37075,805.846969298246,91.5196888888889,NA,152.95325,138.881469298246,92.8626888888889,NA
16,137.333333333333,100.940063091483,66.3333333333333,NA,0,0,0,1,0,0,0,RNA-related,CWC23,9,317,51,NA,859.676777777778,758.414536277603,91.397137254902,NA,60.0866666666667,27.4040914826498,17.1635882352941,NA
17,377.75,272.711618257261,237.963302752294,NA,1,0,1,0,0,0,1,Peroxisom-related,DJP1,12,482,109,NA,656.2925,812.731798755187,81.3982568807339,NA,195.830333333333,148.735883817427,117.598440366972,NA
18,106.333333333333,93.6683291770574,80.3939393939394,NA,0,0,1,0,0,0,0,Folding-related,ERJ5,6,401,66,NA,625.2885,871.923266832918,124.243439393939,NA,48.5171666666667,28.8603840399003,28.0978333333333,NA
19,148.428571428571,94.4496487119438,108.490196078431,NA,0,0,1,0,0,0,0,Chaperone,HLJ1,7,427,51,NA,610.677142857143,803.914035128806,135.013254901961,NA,53.6951428571429,37.202831381733,40.4393137254902,NA
