,3n75 wt,half,fiber,wt,cytosol,mitochondria,ER,Nucleus,Vacuole,Plasma-membrane,budneck,Peroxisome,golgi,lipid droplet,Category,SGA-hit,names,n3n75 wt,nhalf,nfiber,nwt,y3n75 wt,yhalf,yfiber,ywt,r3n75 wt,rhalf,rfiber,rwt
1,0.9915,0.959543654365437,0.927338983050847,0.961814814814815,1,0,0,0,0,0,0,0,0,0,Oxidative-stress,1,GND1,2,1111,295,54,347.096,28.733100810081,93.3824847457627,152.08787037037,628.766,1820.58729792979,1851.51863050847,1015.46846296296
2,0.872272727272727,0.91567775974026,0.886808333333333,0.9238,0,1,1,0,0,0,0,0,0,1,Lipid-Related,1,ERG6,11,1232,960,5,572.714363636364,22.1492743506493,75.2688791666667,117.9942,246.979363636364,318.346369318182,277.071183333333,245.3404
3,0.950285714285714,0.953654580152672,0.945514778325123,0.982785714285714,1,0,0,0,0,0,0,0,0,0,Stress-related,0,PUB1,14,524,812,28,786.392642857143,22.7370305343511,76.1411108374384,149.737928571429,218.306857142857,318.796381679389,289.469371921182,111.036642857143
4,0.925666666666667,NA,0.937582753824757,0.961666666666667,0,0,0,1,0,0,0,0,0,0,Proteasome,0,PRE1,6,NA,719,6,704.792,NA,83.581933240612,115.0385,51.5238333333333,NA,178.933509040334,154.538
5,0.998,0.955152115211521,0.94747193877551,0.985277777777778,1,0,0,0,0,0,0,0,0,0,Protease,0,SDD3,1,1111,392,18,1453.325,21.2699135913591,76.2734617346939,122.633611111111,35.497,50.0511134113411,53.2584285714286,41.6623333333333
6,0.9375,0.833601666666667,0.831850543478261,0.954,0,0,1,0,0,0,0,0,0,0,AA-related,1,BAP2,2,1200,368,1,1110.527,19.6518758333333,86.8434809782609,43.459,367.2165,206.646744166667,234.170442934783,218.327
7,0.968555555555556,0.945774011299435,0.950321495327103,0.96,1,0,0,0,0,0,0,0,0,0,Stress-related,0,TPS1,9,1593,535,1,646.016888888889,21.1858179535468,84.204814953271,11.278,48.765,78.171593220339,77.7227588785047,3.638
8,0.9734,0.947516722408027,0.946599099099099,0.986,1,0,0,0,0,0,0,0,0,0,Lipid-Related,1,PDR17,5,598,222,2,1184.605,21.5139364548495,84.2452702702703,193.152,16.6752,19.9995568561873,20.0077882882883,50.141
9,0.9606,0.951766871165644,0.959452941176471,0.971,1,0,0,0,0,0,0,0,0,0,AA-related,0,ARG4,5,489,170,1,733.8238,22.4571697341513,88.6974705882353,233.046,454.3672,156.652038854806,131.336676470588,692.783
10,0.960375,0.948182328190743,0.894021897810219,0.99,0,1,0,0,0,0,0,0,0,0,Stress-related,0,TPS2,8,713,137,1,104.150875,23.4712454417952,91.801503649635,319.491,78.66425,46.7201683029453,45.0431897810219,88.611
11,0.9535,0.952115602836879,0.952394833948339,0.983333333333333,1,0,0,1,0,0,0,0,0,0,Oxygen-growth,1,SPE2,6,1410,271,3,365.5935,21.5587914893617,89.1782361623616,91.463,125.303666666667,96.2891035460993,99.3667158671587,181.408333333333
12,0.982,0.941884375,0.960465991316932,0.553,1,0,0,1,0,0,0,0,0,0,Stress-related,0,GSY2,7,1280,691,1,407.856428571429,21.89800859375,88.3492387843705,325.225,74.7161428571429,29.11451953125,27.981008683068,190.621
