,3n75 fiber,half,fiber,wt,cytosol,mitochondria,ER,Nucleus,Vacuole,Plasma-membrane,budneck,Peroxisome,golgi,lipid droplet,Category,SGA-hit,names,n3n75 fiber,nhalf,nfiber,nwt,y3n75 fiber,yhalf,yfiber,ywt,r3n75 fiber,rhalf,rfiber,rwt
1,0.57772972972973,0.067760661348898,0.045982532751092,0.274084905660377,1,0,0,0,0,0,0,0,0,0,Oxidative-stress,1,GND1,37,2313,229,106,633.952297297297,50.0629645482058,76.2782751091703,119.924509433962,879.443,1780.24682230869,1513.9621790393,1477.94911320755
2,0.0082,0.149709325631769,0.156507485786802,0.030136363636364,0,1,1,0,0,0,0,0,0,1,Lipid-Related,1,ERG6,5,831,197,44,669.6072,47.0269121540313,68.9572233502538,116.238590909091,269.5374,351.208534296029,293.174715736041,310.007954545455
3,0.414888888888889,0.089047607267833,0.02252380952381,0.258971830985915,1,0,0,0,0,0,0,0,0,0,Stress-related,0,PUB1,9,743,210,142,724.477,47.0382247644684,76.9870571428571,125.78376056338,160.806111111111,336.071495289367,296.157952380952,270.805443661972
4,0.403333333333333,0.045458466559486,0.148806722689076,0.0566,0,0,0,1,0,0,0,0,0,0,Proteasome,0,PRE1,6,311,238,50,282.215333333333,47.3048553054662,71.8899789915966,126.72268,90.1273333333333,150.800250803859,139.732453781513,145.73424
5,0.507363636363636,0.150662979582876,0.071768494339623,0.218208955223881,1,0,0,0,0,0,0,0,0,0,Protease,0,SDD3,11,911,53,67,740.764454545455,44.8519868276619,77.3876037735849,115.266253731343,40.8375454545455,58.6442469813392,53.9797169811321,46.7547014925373
6,0.693333333333333,-0.315875163326653,-0.154225352112676,-0.234441176470588,0,0,1,0,0,0,0,0,0,0,AA-related,1,BAP2,3,1497,71,68,102.866666666667,42.9406847027388,90.6071126760563,119.983573529412,119.242,226.558213092852,296.446577464789,280.854338235294
7,0.558888888888889,0.054502669374168,0.0375,0.191204225352113,1,0,0,0,0,0,0,0,0,0,Stress-related,0,TPS1,9,751,58,142,759.232444444444,45.6562023968043,82.0873620689655,129.248929577465,70.0701111111111,81.9675312916112,91.311,81.7676690140845
8,0.503111111111111,-0.023848679610895,0.020333333333333,0.021686868686869,1,0,0,0,0,0,0,0,0,0,Lipid-Related,1,PDR17,9,257,21,99,499.369333333333,46.7658249027237,81.1588095238095,129.805676767677,22.5055555555556,25.3191439688716,30.5160476190476,26.6899494949495
9,0.7544,0.023788827513228,0.063620689655172,0.22485,1,0,0,0,0,0,0,0,0,0,AA-related,0,ARG4,5,189,29,40,814.6128,49.1587671957672,83.3095172413793,133.9814,149.935,150.206222222222,140.065310344828,100.3001
10,NA,0.021406504065041,0.180166666666667,0.273518518518518,0,1,0,0,0,0,0,0,0,0,Stress-related,0,TPS2,NA,246,12,27,NA,51.5557764227642,96.1179166666667,132.288259259259,NA,50.907906504065,63.7886666666667,53.1081111111111
11,0.6894,0.038690993965517,0.136076708841463,0.180532110091743,1,0,0,1,0,0,0,0,0,0,Oxygen-growth,1,SPE2,5,464,328,109,747.4004,48.7768965517241,70.1378597560976,130.319495412844,121.9224,102.66638362069,90.2093292682927,95.8307431192661
12,0.342142857142857,0.089890658459176,0.156274924471299,0.108200607902736,1,0,0,1,0,0,0,0,0,0,Stress-related,0,GSY2,7,3907,331,329,497.299142857143,45.3719736370617,74.8338429003021,124.693234042553,103.343428571429,28.4172928077809,31.067163141994,32.5531489361702
13,0.183666666666667,-0.000752393069815,-0.003130678294574,-0.060663528571429,1,0,0,0,0,0,0,0,0,0,Multivesicular-body-sorting,1,IST1,15,1948,258,70,625.449266666667,42.719635523614,62.8565891472868,106.725042857143,69.2766,9.57057289527721,11.2922558139535,11.1132142857143
14,0.4144,0.004310596327684,0.008719298245614,0.0058,1,0,1,0,0,0,0,0,0,0,Multivesicular-body-sorting,0,VPS4,5,708,57,50,570.7428,45.3261129943503,73.3110877192982,120.62396,48.1616,43.9141892655367,41.5695789473684,44.3211
15,0.452666666666667,0.059194248003714,-0.03825,0.144641791044776,0,0,0,0,0,0,0,0,0,0,Stress-related,1,TIF3,3,2154,56,67,467.628,43.6656620241411,77.3287678571429,125.859104477612,216.450333333333,379.446653203343,343.033964285714,334.23723880597
16,0.681666666666667,0.125831120194863,0.146316239316239,0.274632352941176,1,0,0,1,0,0,0,0,0,0,Chaperone,1,HCH1,3,1129,117,272,572.351666666667,44.6679636846767,71.4719658119658,120.741205882353,187.985,309.202328609389,264.708717948718,256.952974264706
17,0.0685,0.688929184549356,0.279738587378641,0.446690909090909,0,1,0,0,0,0,0,0,0,0,Protease,0,CYM1,4,1398,103,110,580.5025,45.4461838340486,77.8849223300971,123.312290909091,17.58025,40.0111072961373,39.128640776699,41.8962545454545
18,0.736583333333333,0.012323879069767,0.309533333333333,0.054143335238095,0,0,0,1,0,0,0,0,0,0,Proteasome,0,PRE9,12,1075,60,210,399.362333333333,46.3948920930233,78.5141666666667,115.452395238095,150.177166666667,150.094186976744,158.521866666667,148.37279047619
19,0.4452,0.021739145438597,0.103254901960784,0.080087378640777,0,0,0,1,0,0,0,0,0,0,Proteasome,0,RPN2,5,684,51,103,743.7186,41.3347865497076,65.9354117647059,115.627873786408,87.2948,162.655328947368,139.694882352941,166.505417475728
20,0.4194,0.007257220394737,0.219198470072993,0.053591397849462,0,0,0,1,0,0,0,0,0,0,Proteasome,0,PRE6,5,304,137,93,680.106,46.9015,85.0209927007299,125.185096774194,139.3264,151.344401315789,156.458116788321,152.565107526882
21,0.4902,-0.036446809950249,0.05179347826087,-0.0395,0,0,0,1,0,0,0,0,0,0,RNA-related,1,REF2,10,1005,92,92,672.347,45.8902865671642,68.7074347826087,121.700695652174,48.439,19.8638009950249,18.5927934782609,25.1400543478261
