,3n75 fiber,half,fiber,wt,cytosol,mitochondria,ER,Nucleus,Vacuole,Plasma-membrane,budneck,Peroxisome,golgi,lipid droplet,Category,SGA-hit,names,n3n75 fiber,nhalf,nfiber,nwt,y3n75 fiber,yhalf,yfiber,ywt,r3n75 fiber,rhalf,rfiber,rwt
1,0.388325616100623,0.101846554108707,0.256332055824644,0.409826094151877,1,0,0,0,0,0,0,0,0,0,Oxidative-stress,1,GND1,4401,3186,2936,2339,1518.33854919337,47.2296723163842,80.9098419618529,155.282690038478,1725.60803362872,1736.06015599498,1652.95579427793,1731.98577126977
2,0.039095103977975,0.245254429444717,0.174404476143597,0.103384890726491,0,1,1,0,0,0,0,0,0,1,Lipid-Related,1,ERG6,1775,1008,2525,744,1653.06234535211,44.4946785714286,74.8045112871287,150.251733870968,332.216801690141,339.615083333333,300.567115247525,333.50675672043
3,0.338014604928136,0.099108711304315,0.23811155392371,0.371856626048984,1,0,0,0,0,0,0,0,0,0,Stress-related,0,PUB1,1559,917,2936,1840,1524.45057985888,44.1523685932388,76.8912234332425,148.961489673913,310.198029506094,325.852258451472,310.564379087193,309.420999456522
4,0.511102014156665,0.13941906764495,0.201636454616779,0.056205830697881,0,0,0,1,0,0,0,0,0,0,Proteasome,0,PRE1,573,361,2557,893,1615.76466841187,45.2430831024931,75.0338642940946,151.578488241881,153.608972076789,150.394512465374,150.936818146265,147.763481522956
5,0.299201120115662,0.138015056851307,0.244522510226624,0.36212894573324,1,0,0,0,0,0,0,0,0,0,Protease,0,SDD3,1192,1107,523,831,1591.26291442953,41.7209069557362,81.5076921606119,152.434640192539,54.1524018456376,53.4297100271003,52.5563862332696,52.307797833935
6,0.004237515742265,0.020371568111159,0.008946186476456,0.008987345744173,0,0,1,0,0,0,0,0,0,0,AA-related,1,BAP2,674,1805,1018,1118,1727.54537388724,39.7489324099723,76.144699410609,147.556472271914,222.843666172107,207.485267590028,209.597033398821,203.647394454383
7,0.28140999098206,0.098794495685981,0.227295923264185,0.321397124383154,1,0,0,0,0,0,0,0,0,0,Stress-related,0,TPS1,1139,896,842,2221,1534.91250219491,43.0436383928571,81.0618657957245,148.465797838811,77.1183257243196,78.1511707589286,77.9722992874109,75.0495826204412
8,0.1637021289787,0.096126113340424,0.099292412717256,0.100431862172373,1,0,0,0,0,0,0,0,0,0,Lipid-Related,1,PDR17,1331,301,339,1432,1586.13806386176,44.3802325581395,81.3692182890856,152.22061103352,23.7575462058603,21.3929534883721,20.3692684365782,20.5650384078212
9,0.322978244525628,0.07790745408311,0.239928599830277,0.345683690944888,1,0,0,0,0,0,0,0,0,0,AA-related,0,ARG4,362,235,326,498,1786.23038674033,47.6302808510638,84.1024662576687,156.120154618474,189.515386740331,156.709961702128,165.470312883436,120.833518072289
10,0.249649607087154,0.087359690638178,0.165744444887728,0.319607173403996,0,1,0,0,0,0,0,0,0,0,Stress-related,0,TPS2,182,381,153,462,1719.82321428571,48.2819265091863,85.625908496732,177.022753246753,47.2077032967033,49.2874120734908,44.7951045751634,46.7212077922078
11,0.5742303545642,0.112171860757468,0.247748984862967,0.241874329549787,1,0,0,1,0,0,0,0,0,0,Oxygen-growth,1,SPE2,716,561,3974,2001,1699.13718575419,45.9871443850267,73.7023978359336,149.986503248376,100.120224860335,96.9913885918004,90.8656550075491,91.9659500249875
12,0.382961258664125,0.118240654195253,0.177447857265115,0.12446403703517,1,0,0,1,0,0,0,0,0,0,Stress-related,0,GSY2,1327,4586,4109,4610,1650.9869706104,42.077360880942,72.4227262107569,141.353471149675,26.960430293896,24.5476613606629,26.4590455098564,26.3568264642082
13,0.041488288539875,0.059333746510015,0.045326566415016,0.051279695843511,1,0,0,0,0,0,0,0,0,0,Multivesicular-body-sorting,1,IST1,4313,2625,2874,1026,1491.40531787619,39.8596944761905,72.4655716771051,144.050481481481,7.74122629260376,6.31256076190476,6.08859498956159,6.56390740740741
14,0.290806203310025,0.100289746433555,0.142776902539995,0.088070175408828,1,0,1,0,0,0,0,0,0,0,Multivesicular-body-sorting,0,VPS4,923,890,906,751,1537.2614539545,42.9357258426966,78.0422880794702,149.632351531292,40.8535742145179,39.2880213483146,40.1320132450331,40.9969560585886
15,0.392820505114648,0.096071678876269,0.244890701872344,0.345445452579364,0,0,0,0,0,0,0,0,0,0,Stress-related,1,TIF3,1222,2588,833,880,1481.91254991817,40.3443481452859,79.894569027611,146.863013636364,366.787776595745,360.362576893354,366.379363745498,383.429011363636
16,0.512159607625311,0.115620086819411,0.256236883998592,0.325079392529836,1,0,0,1,0,0,0,0,0,0,Chaperone,1,HCH1,1007,1328,1822,3442,1530.25519761668,40.723719126506,73.0034072447859,142.371633062173,293.580626613704,293.5379375,284.141151481888,287.104922138292
17,0.02577509378424,0.678235411881734,0.442638400078048,0.390982062792638,0,1,0,0,0,0,0,0,0,0,Protease,0,CYM1,2226,1812,1496,1608,1468.30739442947,42.5793543046358,77.6776203208556,139.368644900498,34.2274604672058,34.7648217439294,34.3011136363636,34.3215876865672
18,0.488069962169376,0.127688279818599,0.202169799752105,0.048704388826883,0,0,0,1,0,0,0,0,0,0,Proteasome,0,PRE9,1866,1272,1485,2642,1528.24516720257,43.3260762578616,71.4903595959596,137.453506434519,144.590819935691,147.37226336478,149.584522558923,142.986168811506
19,0.51752272896741,0.126072321366295,0.187010624671719,0.042787172832297,0,0,0,1,0,0,0,0,0,0,Proteasome,0,RPN2,1407,839,816,1636,1381.96411371713,38.7377616209774,72.1896556372549,132.041718215159,163.845873489694,161.940662693683,168.731568627451,171.962798288509
20,0.482289142644534,0.122106913248096,0.205512873808298,0.049550776772246,0,0,0,1,0,0,0,0,0,0,Proteasome,0,PRE6,1112,365,2326,1604,1514.13848830935,44.8251890410959,79.4731870163371,148.966836658354,142.273910071942,148.052380821918,145.168229578676,140.585266209476
21,0.427719695964553,0.086641982270599,0.151702037214242,0.0103439202878,0,0,0,1,0,0,0,0,0,0,RNA-related,1,REF2,2215,1203,1401,1407,1626.05642257336,42.6424563591022,74.4205810135617,141.83971641791,18.4006040632054,17.348889443059,16.6473683083512,16.8036460554371
22,0.150486580394225,0.125090914953187,0.138661424122679,0.203032657504457,1,0,0,0,0,0,0,0,0,0,Lipid-Related,1,YPK1,393,3382,737,1844,1447.24774554707,39.9583350088705,76.11602578019,143.735386659436,36.8277557251908,34.8087927261975,35.1482428765265,34.4883449023861
23,0.097610515527934,0.105598437465428,0.113801838179738,0.155027105210983,1,0,0,0,0,0,0,0,0,0,Autophagy,0,ATG3,1609,4220,1780,2778,1503.49222809198,40.9193758293839,79.1570466292135,136.443341972642,16.8278701056557,14.8247985781991,15.3793314606742,15.1674006479482
24,0.083353089894382,0.05646630710741,0.051722508001578,0.045846361868352,1,0,0,0,1,0,0,0,0,0,Autophagy,0,ATG18,1761,803,1652,1677,1548.2410959682,45.1234943960149,80.0127536319613,150.441792486583,26.9118353208404,26.3087596513076,25.5999588377724,25.7155414430531
25,0.100043681523062,0.069265788622538,0.077256908929383,0.080086269412574,1,0,0,1,0,0,0,0,0,0,Proteasome,0,RPN14,2641,2157,2098,3500,1568.43997463082,40.8018321743162,74.2506034318398,137.869345714286,12.5512340022719,7.45827955493741,9.69380076263108,11.0758254285714
26,0.025308866241715,0.120897110733,0.072167632769364,0.073586013737081,0,0,1,0,0,0,0,0,0,0,Autophagy,0,ATG40,1467,2243,2794,2633,1491.32042876619,38.2817489968792,75.7876689334288,131.456395366502,13.2105719154738,11.4081404369148,11.9027322834646,10.8670668439043
27,0.047573124754702,0.065091801602316,0.061191781770736,0.076288973378977,1,0,0,0,0,0,0,0,0,0,Signaling,1,STE50,509,1401,1048,859,1503.64377799607,41.4125146324054,75.7139465648855,141.770616996508,10.1402593320236,7.84568879371877,8.83975095419847,8.89938533178114
28,0.011143265384908,0.039900558487012,0.027481918350254,0.020343782132489,0,0,1,0,0,0,0,0,0,0,Autophagy,0,ATG15,413,1622,611,2367,1615.56513075061,38.8603082614057,75.7965842880524,132.503463033376,18.3180556900726,15.32401972873,16.8875499181669,16.5683413603718
29,0.035635005861946,0.058385311941964,0.048895179290313,0.057596246312088,1,0,0,1,0,0,0,0,0,0,-,1,PTC1,3034,2080,1666,3150,1514.87152801582,39.6950966346154,71.8528163265306,130.274172380952,7.28767732366513,6.29658221153846,6.61420888355342,6.58862825396825
30,0.274039812893708,0.083643427906974,0.158220895807031,0.147533921205638,1,0,0,0,0,0,0,0,0,0,Stress-related,0,PGM2,1310,1578,2455,2147,1549.70459007634,42.2574245880862,71.7011201629328,132.577495575221,24.2344167938931,22.8836558935361,23.8434883910387,22.5039129017233
31,0.514119253216874,0.129150343512243,0.246611063980189,0.123270752670299,1,0,0,1,0,0,0,0,0,0,Stress-related,0,PBP1,694,2416,2384,3336,1552.7619610951,40.3112491721854,71.7987667785235,137.076451438849,53.1154510086455,51.9739225993377,52.8098657718121,51.308178057554
32,0.400597768765702,0.084849496706423,0.152066354594165,0.013172255279807,0,0,0,1,0,0,0,0,0,0,Proteasome,0,BLM10,2171,774,2898,735,1521.13042653155,44.342680878553,74.5586128364389,145.357191836735,27.6208443113772,28.1958875968992,25.1936956521739,25.1570544217687
33,0.339997587850929,0.075654121620487,0.125686779792315,0.020761672024529,1,0,0,1,0,0,0,0,0,0,Stress-related,0,YAP1,1128,592,852,914,1542.62462588652,44.4824239864865,78.2742676056338,145.065901531729,15.8510159574468,14.8651959459459,14.7899072769953,14.5358205689278
34,0.153542923751238,0.087132686117084,0.138270437946058,0.186405073422069,1,0,0,0,0,0,0,0,0,0,Stress-related,0,TSL1,890,1108,1034,1947,1628.12986741573,42.1707870036101,78.474085106383,143.325545454545,24.6416348314607,21.5167328519856,22.1718820116054,22.3595028248588
35,0.078867449697673,0.044932670360384,0.041968921000197,0.010919796859053,0,0,0,1,0,0,0,0,0,0,-,1,LRS4,2406,1751,1564,1324,1479.23816043225,42.3469640205597,79.7046572890026,143.069753021148,12.6239467996675,11.554924614506,11.9726585677749,11.0794063444109
36,0.03586772354095,0.071117189410782,0.061253689116504,0.065899734395793,0,0,0,0,0,0,0,0,0,0,Vacuole-related,1,VPS3,2019,2762,1028,802,1613.71705943536,41.3181035481535,76.8094844357977,149.085622194514,11.1745002476473,9.16037074583635,10.200969844358,9.98183665835412
37,0.307210142005173,0.097845477263651,0.151670395327633,0.041063854507463,0,0,0,0,0,0,0,0,0,0,Structural,1,KRE28,3295,935,5785,3273,1425.45546555387,38.7847197860963,67.1193439930856,131.740319584479,20.5497745068285,19.277664171123,17.7602914433881,18.5909508096547
38,0.052841889485614,0.096408928567709,0.091801251572757,0.11841982744196,0,0,0,0,0,1,1,0,0,0,Structural,1,BNI1,838,1548,1930,2508,1514.8418353222,41.192084625323,70.8365943005181,131.4117284689,17.8996575178998,15.2163049095607,15.6358906735751,15.7679972089314
39,0.032525048021919,0.062827997253015,0.062545877856301,0.062174372614657,1,0,0,0,0,0,0,0,0,0,Autophagy,0,ATG2,237,1263,1312,1005,1550.604092827,41.8707513855899,76.4198628048781,141.528186069652,9.83187341772152,8.43076880443389,8.02658079268293,8.20296915422885
40,0.41861721960014,0.076778664827163,0.16809092439763,0.02549328011809,0,0,0,1,0,0,0,0,0,0,RNA-related,1,MED1,1486,2110,1521,3727,1552.89269515478,39.7427075829384,76.1341485864563,118.55775664073,24.2768815612382,22.4493800947867,24.1474424720579,22.4842889723638
41,0.420024988728633,0.083068593946002,0.167137665924916,0.015638903132709,0,0,0,1,0,0,0,0,0,0,DNA-related,1,RSC1,2453,2227,3721,1863,1466.1823257236,37.8193462056578,63.580758667025,129.800736446592,18.7092996331023,16.5657480916031,17.5207903789304,17.8493403113258
42,0.200027181695202,0.11775472177538,0.158779015351101,0.245810951498443,1,0,0,0,0,0,0,0,0,0,RNA-related,1,BUD27,1052,2964,868,3460,1486.92998479087,37.463371120108,72.0316912442396,129.161970520231,23.966144486692,21.6947047908232,22.2145207373272,22.1871485549133
43,0.048950970726041,0.069299420521848,0.074199629920036,0.077270133149388,1,0,0,0,0,0,0,0,0,0,Stress-related,0,CTT1,373,1290,4258,3732,1550.61727077748,40.3198713178295,64.3960199624237,128.575407020364,8.69400268096515,8.58995891472868,8.86408548614373,7.85743569131833
44,0.039584316563765,0.057489031281168,0.049372816105623,0.061176342611434,1,0,0,0,0,0,0,0,0,0,Autophagy,0,ATG13,1853,333,2446,2617,1471.07184889369,44.3541051051051,75.7824043336059,136.868367214368,9.51488181327577,8.69233033033033,8.0770482420278,8.22911157814291
45,0.148365649179503,0.058378588881179,0.09953203200845,0.074642828911654,1,0,0,0,1,0,0,0,0,0,Stress-related,0,TFS1,1623,1364,96,356,1535.98826124461,43.1137734604106,82.4616979166667,141.284404494382,17.8999026494147,14.5450696480938,30.326125,17.6316994382022
46,0.194409146548605,0.097224901074194,0.148162281735983,0.154080831248188,1,0,0,1,0,0,0,0,0,0,Stress-related,0,MSN2,478,1955,885,398,1593.8165167364,44.1944787723785,83.5117231638418,146.607007537688,17.7509748953975,16.594704859335,17.6145559322034,16.5379246231156
47,0.157536448274784,0.075437828940898,0.088321575147236,0.038857697694395,1,0,0,0,1,0,0,0,0,0,-,1,RMD1,1723,1493,4825,2088,1513.28261752757,41.8672913596785,71.4966410362694,134.36675335249,13.3931027278003,12.133597454789,11.7734694300518,12.3939090038314
48,0.056743579801963,0.050564791076725,0.041917598421562,0.039209010849858,1,0,0,0,0,0,0,0,0,0,Stress-related,0,GLC3,992,2952,3413,3333,1597.93951512097,40.822085704607,73.5211453266921,142.503669066907,9.10150302419355,7.01051592140921,7.61060972751245,7.9425502550255
49,0.106270431572144,0.033292534776846,0.041744452247183,0.018282171881201,0,0,0,1,0,0,0,0,0,0,RNA-related,1,NSI1,6052,3228,3924,6079,1389.41921678784,39.4672379182156,70.6451870540265,120.315220266491,11.4505052875083,9.95710285006196,9.85448012232416,9.79065931896694
50,0.496012096721092,0.115563685152672,0.169999986034839,0.050279176142653,1,0,0,1,0,0,0,0,0,0,Proteasome,0,RPT1,1319,930,2952,3856,1493.31171645186,41.6372537634409,66.4771246612466,121.187107105809,158.57120318423,160.830968817204,156.910190718157,160.198199170124
51,0.359565279319951,0.070164473594607,0.143543031505292,0.020735665289831,1,0,0,1,0,0,0,0,0,0,DNA-related,1,TOF1,351,1674,3026,2871,1527.56873789174,41.4120627240143,71.0271787838731,125.827993730408,15.3774501424501,14.397335125448,13.8798678122935,14.8111692789969
52,0.233244009638432,0.063504256122235,0.083685178531889,0.018329158977566,0,0,0,1,0,0,0,0,0,0,RNA-related,1,INO2,1010,502,2273,2716,1590.38888118812,41.4278187250996,73.1720545534536,128.524399116348,10.5883475247525,8.93806175298805,8.61809766827981,9.54319955817379
53,0.045512526553538,0.066721398870968,0.05319327620818,0.067779627753342,1,0,0,0,0,0,0,0,0,0,Autophagy,0,ATG1,593,1940,272,2103,1563.57571332209,41.832274742268,77.0472132352941,125.646411317166,10.2445548060708,8.15835051546392,8.04058455882353,8.17299429386591
54,0.040357850185236,0.062119206586191,0.039020690614501,0.048401836385132,1,0,0,1,0,0,0,0,0,0,Autophagy,0,ATG17,1759,2080,1782,3663,1489.5488709494,37.7850418269231,72.369728956229,124.194461370461,6.88183683911313,5.52052692307692,5.66757351290685,5.46277668577669
55,0.02347877490542,0.053186500883298,0.033169706151055,0.032787934855409,0,0,0,0,1,0,0,0,0,0,Stress-related,0,WSC3,3042,1802,1153,1084,1459.91593786982,39.6358063263041,69.7703642671292,134.064599630996,7.75027514792899,7.10978468368479,6.60388638334779,6.65458856088561
56,0.014359005462495,0.057525223080509,0.026313346800224,0.021712375137921,1,1,1,0,0,0,0,0,0,0,Apoptosis ,1,YSP2,888,223,1064,1560,1542.7855045045,42.9604125560538,73.9543543233083,134.463878205128,8.29072072072072,7.87852466367713,6.8435272556391,7.06933012820513
57,0.381184271924923,0.078676038744467,0.151817486261597,0.012045145296768,0,1,0,1,0,0,0,0,0,0,Stress-related,0,HSF1,1780,669,1199,938,1511.30542696629,42.7145859491779,75.4785396163469,137.517654584222,19.3367376404494,18.6297713004484,19.9815738115096,18.246632196162
58,0.198913176391145,0.067759156188774,0.094000889248447,0.047104280848482,0,0,0,0,0,0,0,1,0,0,Proteasome,1,UBI4,639,816,1180,1512,1523.53226917058,40.4833970588235,71.2523966101695,139.615031084656,16.054303599374,13.7904656862745,13.6343110169492,14.1488306878307
59,0.378018494943162,0.094553548181388,0.176485241455716,0.14492001826207,1,0,0,0,1,0,0,0,0,0,Autophagy,0,ATG8,1552,3313,1677,1543,1548.12213466495,39.359301237549,74.2454973166369,136.840814646792,28.4903144329897,25.4367117416239,24.7449344066786,26.1312741412832
60,0.199904035128041,0.089765786677932,0.119433810001396,0.046982268454991,0,0,0,0,0,0,0,0,0,0,Structural,0,SPC42,2067,3087,3356,3898,1537.19931881955,40.7977240038873,70.0048095947557,128.992647511544,17.0191915820029,15.6329501133787,15.9729451728248,16.0444866598256
61,0.032057232171129,0.058323109961979,0.047358725426841,0.035003990598848,0,0,1,0,0,0,0,0,0,0,Autophagy,0,ATG39,3110,2915,6390,5189,1465.54890289389,38.7024024013722,64.4925372456964,123.593245904799,7.70081189710611,6.34312933104631,6.14315117370892,6.17703160531894
62,0.020850235420056,0.064963732568199,0.049804069072196,0.029476087827353,0,0,0,0,1,0,0,0,0,0,Protease,0,PFF1,2643,17,2423,3077,1458.73286946652,45.9526470588235,68.1343669005365,123.711033149171,8.04623647370412,8.46605882352941,6.96661576557986,7.09649138771531
