,nothing,half,fiber,wt,cytosol,mitochondria,ER,Nucleus,Vacuole,Plasma-membrane,budneck,Peroxisome,golgi,lipid droplet,Category,SGA-hit,names,nnothing,nhalf,nfiber,nwt,ynothing,yhalf,yfiber,ywt,rnothing,rhalf,rfiber,rwt
1,NA,0.003042134831461,0.022372970558638,0.069083333333333,1,0,0,0,0,0,0,0,0,0,Oxidative-stress,1,GND1,NA,356,793,156,NA,279.275210674157,880.05019924338,695.506480769231,NA,1964.08796348315,1847.77021311475,1206.25631410256
2,NA,0.007831168831169,0.047378571428571,0.027179487179487,0,1,1,0,0,0,0,0,0,1,Lipid-Related,1,ERG6,NA,154,140,39,NA,253.795662337662,755.208592857143,690.766256410256,NA,326.230467532468,384.161835714286,402.762153846154
3,NA,-0.0115,0.032548892513369,0.07532,1,0,0,0,0,0,0,0,0,0,Stress-related,0,PUB1,NA,32,187,25,NA,297.842125,983.638326203209,679.6404,NA,330.29165625,375.329315508021,412.45992
4,NA,0.035131736526946,-0.112,0.01975,0,0,0,1,0,0,0,0,0,0,Proteasome,0,PRE1,NA,167,10,108,NA,258.221119760479,973.6812,707.069472222222,NA,157.556221556886,176.2962,242.352888888889
5,NA,0.006059113300493,0.178951612903226,0.000609756097561,1,0,0,0,0,0,0,0,0,0,Protease,0,SDD3,NA,203,62,82,NA,266.995315270936,886.665629032258,724.853109756098,NA,55.4970492610837,53.9099677419355,61.9030731707317
6,-0.020139004149378,-0.007825520833333,0.013712035714286,-0.069254901960784,0,0,1,0,0,0,0,0,0,0,AA-related,1,BAP2,482,768,56,51,24.5616597510373,274.46871484375,514.089446428571,634.123352941176,747.059095435685,245.588890625,313.902214285714,388.578078431373
7,NA,0.010622222222222,0.056354430379747,0.017338709677419,1,0,0,0,0,0,0,0,0,0,Stress-related,0,TPS1,NA,270,79,62,NA,262.148377777778,783.703898734177,740.835193548387,NA,99.2399481481481,229.70946835443,707.881177419355
8,NA,0.010315642458101,0.105513888888889,0.047307692307692,1,0,0,0,0,0,0,0,0,0,Lipid-Related,1,PDR17,NA,358,72,13,NA,267.147930167598,673.237666666667,694.424615384615,NA,24.2647458100559,33.8137361111111,58.0209230769231
9,NA,0.023617647058824,0.0185486125,0.088615384615385,1,0,0,0,0,0,0,0,0,0,AA-related,0,ARG4,NA,34,80,13,NA,264.985705882353,714.4212125,671.868,NA,172.917441176471,488.1129875,1017.76838461538
10,NA,-0.019727272727273,0.030758333333333,0.058647058823529,0,1,0,0,0,0,0,0,0,0,Stress-related,0,TPS2,NA,22,120,17,NA,263.641,577.3062,709.364117647059,NA,80.9035,210.1101,329.580352941176
11,NA,0.014589473684211,0.132476,0.086333333333333,1,0,0,1,0,0,0,0,0,0,Oxygen-growth,1,SPE2,NA,380,250,30,NA,257.512147368421,697.040196,789.812633333333,NA,89.3618657894737,100.134364,105.948833333333
12,NA,0.025066941297631,0.046054266292135,-0.015682997118156,1,0,0,1,0,0,0,0,0,0,Stress-related,0,GSY2,NA,971,89,347,NA,276.622882595263,830.114820224719,701.950688760807,NA,38.6892183316169,141.201685393258,390.085809798271
13,NA,0.004775409836066,0.175683916083916,-0.00451143908046,1,0,0,0,0,0,0,0,0,0,Multivesicular-body-sorting,1,IST1,NA,610,715,87,NA,283.686372131148,977.71100979021,668.581137931035,NA,9.34748852459016,14.6848125874126,48.7912413793103
14,NA,-0.0077,0.130251196172249,0.04249593495935,1,0,1,0,0,0,0,0,0,0,Multivesicular-body-sorting,0,VPS4,NA,90,418,123,NA,307.300455555556,1137.93600478469,726.148853658537,NA,46.8701444444444,51.6146674641148,83.0335203252033
15,NA,0.003998191681736,0.1605,0.035428571428571,0,0,0,0,0,0,0,0,0,0,Stress-related,1,TIF3,NA,553,6,21,NA,255.485231464738,261.1695,895.713619047619,NA,379.676341772152,254.574166666667,322.319761904762
16,0.322,0.024659574468085,0.08325,0,1,0,0,1,0,0,0,0,0,0,Chaperone,1,HCH1,5,94,28,6,10.552,292.221861702128,881.465142857143,815.726,102.695,309.949585106383,316.336107142857,427.4345
17,NA,0.020258064516129,0.091186666666667,-0.047703703703704,0,1,0,0,0,0,0,0,0,0,Protease,0,CYM1,NA,62,75,27,NA,227.261677419355,1007.05916,705.785,NA,29.5192419354839,40.9876666666667,65.6013333333333
18,NA,0.036931279620853,0.057923076923077,NA,0,0,0,1,0,0,0,0,0,0,Proteasome,0,PRE9,NA,422,169,NA,NA,285.167431279621,1069.06853254438,NA,NA,175.597369668246,204.132159763314,NA
19,NA,0.017966026587888,0.095552083333333,NA,0,0,0,1,0,0,0,0,0,0,Proteasome,0,RPN2,NA,677,96,NA,NA,236.535010339734,952.040875,NA,NA,203.874248153619,190.369802083333,NA
20,NA,0.021577519379845,0.042882974493927,0.018333333333333,0,0,0,1,0,0,0,0,0,0,Proteasome,0,PRE6,NA,258,247,51,NA,283.679949612403,984.150975708502,776.731607843137,NA,161.613313953488,189.781214574899,229.832705882353
